,id,municipio,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes
3010,3010,CAETITE,25/02/2002,0.0,30.4,18.6,24.18,61.25,1
3011,3011,CAETITE,04/03/2002,0.0,28.0,18.2,21.3,80.75,4
3012,3012,CAETITE,18/03/2002,0.0,29.0,19.2,23.44,62.75,2
3013,3013,CAETITE,04/04/2002,0.0,26.7,18.3,21.74,67.5,2
3014,3014,CAETITE,23/04/2002,3.4,25.6,18.5,22.98,74.75,1
3015,3015,CAETITE,25/04/2002,0.2,26.5,17.6,21.88,71.75,1
3016,3016,CAETITE,13/11/2002,0.0,27.6,17.4,22.84,48.75,2
3017,3017,CAETITE,19/11/2002,0.0,32.0,18.2,24.7,51.75,1
3018,3018,CAETITE,21/11/2002,0.0,30.8,19.6,24.9,54.0,1
3019,3019,CAETITE,26/11/2002,0.0,30.6,17.7,24.44,41.5,1
3020,3020,CAETITE,09/12/2002,31.0,25.6,15.6,20.78,91.75,1
3021,3021,CAETITE,13/12/2002,0.0,30.0,19.2,23.8,64.75,2
3022,3022,CAETITE,24/12/2002,0.0,32.9,22.0,26.92,58.75,2
3023,3023,CAETITE,30/12/2002,42.0,26.2,15.0,20.54,87.5,2
3024,3024,CAETITE,10/01/2003,0.0,30.0,19.9,24.6,62.75,1
3025,3025,CAETITE,13/01/2003,1.9,29.6,22.2,23.86,79.5,2
3026,3026,CAETITE,15/01/2003,0.8,25.0,19.8,21.66,87.5,1
3027,3027,CAETITE,17/01/2003,3.0,29.4,19.0,22.66,80.0,2
3028,3028,CAETITE,23/01/2003,0.0,27.6,19.2,22.18,76.25,2
3029,3029,CAETITE,26/01/2003,0.0,27.6,19.4,22.7,61.5,1
3030,3030,CAETITE,28/01/2003,4.0,28.2,19.0,22.86,79.75,2
3031,3031,CAETITE,29/01/2003,0.0,29.0,17.0,22.86,82.0,1
3032,3032,CAETITE,30/01/2003,9.2,27.8,15.0,21.74,72.25,4
3033,3033,CAETITE,31/01/2003,1.8,28.0,17.3,21.88,69.25,4
3034,3034,CAETITE,03/02/2003,0.0,26.4,18.4,21.98,77.0,2
3035,3035,CAETITE,04/02/2003,0.0,27.9,19.0,22.2,74.75,3
3036,3036,CAETITE,05/02/2003,0.0,28.8,19.4,23.3,64.25,3
3037,3037,CAETITE,06/02/2003,0.0,29.3,18.3,23.7,60.5,4
3038,3038,CAETITE,07/02/2003,0.0,28.7,18.4,23.08,62.0,5
3039,3039,CAETITE,10/02/2003,0.0,29.4,18.2,22.94,53.75,2
3040,3040,CAETITE,11/02/2003,0.0,28.8,19.2,23.42,58.5,5
3041,3041,CAETITE,12/02/2003,0.0,29.4,19.0,23.9,41.0,5
3042,3042,CAETITE,13/02/2003,0.0,29.7,19.2,23.52,53.75,13
3043,3043,CAETITE,14/02/2003,0.0,29.2,18.8,23.66,58.5,4
3044,3044,CAETITE,17/02/2003,0.0,32.0,20.4,25.58,47.75,7
3045,3045,CAETITE,18/02/2003,0.0,30.2,20.8,24.26,63.0,19
3046,3046,CAETITE,19/02/2003,0.0,31.5,20.5,25.42,40.0,7
3047,3047,CAETITE,20/02/2003,0.0,31.0,19.6,24.94,48.75,13
3048,3048,CAETITE,21/02/2003,0.0,30.2,19.4,24.3,47.25,10
3049,3049,CAETITE,23/02/2003,0.0,29.4,18.6,23.26,57.75,1
3050,3050,CAETITE,24/02/2003,8.2,27.6,18.6,21.86,77.0,11
3051,3051,CAETITE,25/02/2003,0.2,30.0,18.7,24.3,49.25,7
3052,3052,CAETITE,26/02/2003,0.0,31.2,17.5,24.72,48.75,12
3053,3053,CAETITE,27/02/2003,0.0,32.3,19.9,25.94,52.5,3
3054,3054,CAETITE,28/02/2003,0.0,31.8,20.4,25.54,47.75,8
3055,3055,CAETITE,01/03/2003,0.0,29.6,19.3,24.16,58.0,7
3056,3056,CAETITE,03/03/2003,0.0,30.4,18.8,23.9,62.75,4
3057,3057,CAETITE,04/03/2003,0.0,30.5,19.6,24.88,49.25,7
3058,3058,CAETITE,05/03/2003,0.0,30.6,19.5,24.12,58.5,11
3059,3059,CAETITE,06/03/2003,0.0,30.0,18.6,24.12,49.75,23
3060,3060,CAETITE,07/03/2003,0.0,31.3,19.3,24.22,59.0,9
3061,3061,CAETITE,10/03/2003,0.0,29.5,19.7,24.34,58.5,18
3062,3062,CAETITE,11/03/2003,0.0,31.2,20.4,24.18,64.5,6
3063,3063,CAETITE,12/03/2003,0.0,31.1,19.2,24.1,66.75,11
3064,3064,CAETITE,13/03/2003,0.6,30.6,20.4,23.92,78.25,1
3065,3065,CAETITE,14/03/2003,7.8,29.4,20.6,23.8,76.25,3
3066,3066,CAETITE,15/03/2003,0.0,31.4,19.9,25.42,53.25,1
3067,3067,CAETITE,17/03/2003,0.0,30.6,19.2,24.34,46.0,11
3068,3068,CAETITE,18/03/2003,0.0,28.8,19.2,23.06,80.0,3
3069,3069,CAETITE,19/03/2003,0.4,29.5,19.4,23.84,58.0,3
3070,3070,CAETITE,20/03/2003,0.0,28.5,19.6,23.4,61.25,4
3071,3071,CAETITE,21/03/2003,0.0,29.7,19.2,23.96,53.75,13
3072,3072,CAETITE,22/03/2003,0.0,31.5,20.0,25.4,51.75,1
3073,3073,CAETITE,24/03/2003,72.4,28.7,19.0,22.36,81.25,3
3074,3074,CAETITE,25/03/2003,2.3,28.4,19.7,23.76,65.75,6
3075,3075,CAETITE,26/03/2003,0.0,27.8,19.9,23.24,69.75,3
3076,3076,CAETITE,27/03/2003,0.0,27.4,19.3,23.54,60.25,21
3077,3077,CAETITE,28/03/2003,0.0,30.0,19.2,24.38,60.0,22
3078,3078,CAETITE,31/03/2003,0.0,29.8,20.8,24.3,55.0,4
3079,3079,CAETITE,01/04/2003,0.0,29.8,20.8,25.06,57.0,1
3080,3080,CAETITE,02/04/2003,0.0,30.0,19.8,24.38,55.75,23
3081,3081,CAETITE,03/04/2003,0.0,30.3,20.0,24.96,50.75,1
