,id,municipio,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes
5333,5333,CIPO,18/01/2001,0.0,30.8,19.5,25.06,78.5,2
5334,5334,CIPO,25/01/2001,0.0,34.6,20.1,26.3,67.5,21
5335,5335,CIPO,06/02/2001,0.0,37.2,21.0,28.16,57.0,1
5336,5336,CIPO,11/02/2001,0.0,35.6,20.2,27.12,54.25,2
5337,5337,CIPO,12/02/2001,0.0,36.2,19.6,27.32,55.0,2
5338,5338,CIPO,14/02/2001,0.0,35.4,22.2,28.0,52.0,1
5339,5339,CIPO,17/02/2001,0.0,35.4,21.2,27.48,61.5,2
5340,5340,CIPO,21/02/2001,2.8,35.5,23.0,27.82,63.25,2
5341,5341,CIPO,22/02/2001,0.0,35.8,22.8,27.78,63.5,1
5342,5342,CIPO,01/03/2001,4.6,34.9,23.2,27.58,63.0,1
5343,5343,CIPO,02/03/2001,0.0,35.6,23.2,27.72,67.0,1
5344,5344,CIPO,03/03/2001,0.0,35.3,22.8,28.08,62.0,1
5345,5345,CIPO,05/03/2001,0.0,36.4,22.4,28.36,58.0,2
5346,5346,CIPO,06/03/2001,0.0,36.2,22.4,28.0,61.5,3
5347,5347,CIPO,22/03/2001,0.3,32.3,21.8,26.58,70.0,1
5348,5348,CIPO,05/04/2001,2.4,32.6,21.8,25.94,73.0,4
5349,5349,CIPO,06/04/2001,0.5,31.5,22.0,25.74,73.5,3
5350,5350,CIPO,12/04/2001,0.0,33.2,20.8,25.78,66.0,1
5351,5351,CIPO,15/04/2001,0.0,32.6,20.6,26.16,66.0,1
5352,5352,CIPO,20/04/2001,0.0,34.2,20.2,26.6,64.0,2
5353,5353,CIPO,21/04/2001,0.0,34.0,22.4,27.0,77.5,1
5354,5354,CIPO,25/04/2001,0.0,32.2,19.0,25.8,61.75,1
5355,5355,CIPO,28/04/2001,3.0,31.4,20.8,24.96,71.0,1
5356,5356,CIPO,29/04/2001,0.0,32.2,22.0,25.96,68.25,1
5357,5357,CIPO,05/05/2001,0.0,31.6,21.2,25.04,80.75,1
5358,5358,CIPO,12/05/2001,0.0,34.6,20.2,26.28,66.75,2
5359,5359,CIPO,22/05/2001,0.0,30.3,21.6,25.02,73.5,1
5360,5360,CIPO,10/06/2001,15.2,29.4,21.0,23.4,80.75,1
5361,5361,CIPO,12/07/2001,0.8,30.0,19.9,24.18,78.25,1
5362,5362,CIPO,03/08/2001,0.0,29.1,14.8,21.8,73.25,1
5363,5363,CIPO,25/08/2001,1.9,27.6,19.4,22.24,83.75,2
5364,5364,CIPO,26/08/2001,0.2,29.9,18.7,23.36,74.5,1
5365,5365,CIPO,24/01/2002,0.0,32.6,21.6,26.0,76.75,4
5366,5366,CIPO,26/01/2002,17.5,32.3,23.2,26.42,74.75,1
5367,5367,CIPO,28/01/2002,0.0,33.0,20.4,26.04,64.25,1
5368,5368,CIPO,02/02/2002,0.0,34.8,21.2,27.2,59.5,1
5369,5369,CIPO,03/02/2002,0.0,35.6,20.4,27.24,60.0,1
5370,5370,CIPO,04/02/2002,0.0,34.8,24.6,28.2,58.75,1
5371,5371,CIPO,05/02/2002,0.0,29.2,22.2,24.68,86.5,2
5372,5372,CIPO,10/02/2002,0.0,32.8,21.8,26.2,73.25,4
5373,5373,CIPO,17/02/2002,1.3,32.8,21.4,26.02,73.25,1
5374,5374,CIPO,22/02/2002,0.0,33.8,24.0,27.2,69.25,1
5375,5375,CIPO,24/02/2002,0.0,35.2,20.4,27.04,64.5,1
5376,5376,CIPO,27/02/2002,0.0,33.2,21.8,26.56,69.25,3
5377,5377,CIPO,28/02/2002,0.0,33.4,20.4,26.08,69.5,1
5378,5378,CIPO,02/03/2002,0.0,34.0,21.2,26.72,66.25,2
5379,5379,CIPO,03/03/2002,1.9,31.9,22.4,25.98,68.75,1
5380,5380,CIPO,04/03/2002,0.0,31.8,20.3,25.82,72.5,1
5381,5381,CIPO,10/03/2002,0.0,33.8,20.4,26.32,66.25,1
5382,5382,CIPO,15/03/2002,0.0,34.6,20.4,26.94,61.5,1
5383,5383,CIPO,17/03/2002,0.0,34.8,21.6,27.44,61.0,2
5384,5384,CIPO,24/03/2002,0.0,34.5,20.7,27.0,59.0,1
5385,5385,CIPO,30/03/2002,8.5,32.2,22.8,26.44,74.5,1
5386,5386,CIPO,31/03/2002,2.6,32.8,22.6,26.66,72.25,3
5387,5387,CIPO,07/04/2002,0.0,31.4,23.2,26.08,76.5,1
5388,5388,CIPO,13/04/2002,0.0,35.6,23.0,27.68,66.25,1
5389,5389,CIPO,14/04/2002,2.4,32.8,22.8,26.04,74.75,2
5390,5390,CIPO,21/04/2002,1.0,33.0,22.4,25.68,69.25,1
5391,5391,CIPO,28/04/2002,0.0,33.2,16.1,24.78,60.0,1
5392,5392,CIPO,10/05/2002,0.0,32.2,20.8,25.92,76.75,1
5393,5393,CIPO,08/06/2002,0.1,30.2,19.7,23.9,75.25,1
5394,5394,CIPO,10/06/2002,0.0,29.6,19.3,23.78,80.0,2
5395,5395,CIPO,05/07/2002,0.3,28.5,19.9,22.52,86.0,1
5396,5396,CIPO,09/07/2002,0.0,30.6,14.0,22.24,77.75,1
5397,5397,CIPO,03/08/2002,0.0,30.9,21.0,24.26,76.0,1
5398,5398,CIPO,18/08/2002,0.1,29.9,18.7,23.68,80.25,1
5399,5399,CIPO,15/09/2002,0.0,33.0,20.4,25.28,67.0,1
5400,5400,CIPO,01/01/2003,0.0,34.7,22.2,27.78,59.25,1
5401,5401,CIPO,19/01/2003,0.0,36.0,22.8,28.48,57.75,1
5402,5402,CIPO,15/02/2003,0.0,35.2,22.8,27.84,61.0,1
5403,5403,CIPO,16/02/2003,0.0,35.6,24.6,28.56,60.5,3
5404,5404,CIPO,17/02/2003,0.0,36.7,21.8,28.42,56.0,1
5405,5405,CIPO,01/03/2003,0.0,36.0,23.2,27.96,60.75,1
5406,5406,CIPO,11/03/2003,0.0,34.2,24.0,27.82,66.5,1
5407,5407,CIPO,23/03/2003,4.1,34.2,25.0,27.72,75.25,1
5408,5408,CIPO,29/03/2003,0.2,33.7,24.9,27.84,65.0,3
5409,5409,CIPO,21/04/2003,0.2,33.0,23.2,27.16,67.5,1
5410,5410,CIPO,26/04/2003,0.0,35.2,22.0,27.36,62.0,1
5411,5411,CIPO,28/04/2003,0.0,32.2,21.6,26.48,71.25,2
5412,5412,CIPO,07/05/2003,1.5,34.8,22.4,27.12,67.5,1
5413,5413,CIPO,15/05/2003,1.1,31.2,21.7,25.18,77.5,1
5414,5414,CIPO,20/05/2003,0.2,29.6,21.8,24.9,79.75,2
5415,5415,CIPO,21/05/2003,2.2,29.4,21.6,24.72,81.75,1
5416,5416,CIPO,27/05/2003,0.0,32.6,23.8,26.52,82.25,2
5417,5417,CIPO,29/05/2003,20.4,26.6,22.0,23.4,87.0,1
