,id,municipio,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes
9828,9828,GUARATINGA,09/01/2001,0.0,31.3,22.5,25.98,73.0,1
9829,9829,GUARATINGA,18/01/2001,0.0,31.5,21.1,25.46,73.5,1
9830,9830,GUARATINGA,14/02/2002,0.4,32.0,20.9,25.68,70.5,1
9831,9831,GUARATINGA,15/02/2002,0.0,32.5,20.7,26.06,66.0,1
9832,9832,GUARATINGA,18/02/2002,0.0,32.9,21.5,26.28,72.75,1
9833,9833,GUARATINGA,21/02/2002,0.0,33.3,21.3,26.4,63.75,1
9834,9834,GUARATINGA,27/02/2002,0.0,31.7,20.1,24.9,74.75,2
9835,9835,GUARATINGA,05/04/2002,9.5,29.8,19.5,24.34,86.25,1
9836,9836,GUARATINGA,09/04/2002,0.0,31.7,21.0,25.48,77.5,1
9837,9837,GUARATINGA,23/04/2002,8.5,28.7,21.1,24.78,73.25,1
9838,9838,GUARATINGA,24/04/2002,13.5,28.7,20.9,24.14,84.5,1
9839,9839,GUARATINGA,18/07/2002,0.0,23.9,18.7,20.5,89.75,1
9840,9840,GUARATINGA,25/09/2002,37.8,23.5,20.4,21.48,92.5,1
9841,9841,GUARATINGA,16/10/2002,0.0,30.5,18.4,23.68,71.5,1
9842,9842,GUARATINGA,12/11/2002,0.0,31.4,22.4,25.14,73.75,1
9843,9843,GUARATINGA,22/11/2002,0.2,31.0,22.4,25.0,76.5,1
9844,9844,GUARATINGA,26/11/2002,0.0,32.5,20.9,25.38,67.75,1
9845,9845,GUARATINGA,17/12/2002,0.0,33.7,21.5,26.66,68.5,1
9846,9846,GUARATINGA,10/01/2003,0.0,33.7,22.3,27.3,65.0,1
9847,9847,GUARATINGA,12/01/2003,0.0,34.7,23.1,26.84,74.0,1
9848,9848,GUARATINGA,13/01/2003,1.0,32.3,22.3,25.46,88.25,4
9849,9849,GUARATINGA,14/01/2003,64.1,31.1,23.3,25.46,86.0,2
9850,9850,GUARATINGA,15/01/2003,12.2,29.5,23.2,25.92,79.5,1
9851,9851,GUARATINGA,16/01/2003,0.0,32.5,23.4,26.68,70.0,2
9852,9852,GUARATINGA,18/01/2003,0.0,32.8,21.2,26.18,68.5,1
9853,9853,GUARATINGA,19/01/2003,0.0,33.0,21.7,26.78,69.5,1
9854,9854,GUARATINGA,20/01/2003,0.5,32.8,23.2,26.86,71.0,5
9855,9855,GUARATINGA,21/01/2003,0.0,32.6,23.3,26.9,71.25,1
9856,9856,GUARATINGA,22/01/2003,0.0,33.6,23.3,26.52,73.25,2
9857,9857,GUARATINGA,23/01/2003,0.0,33.3,22.7,26.66,72.0,2
9858,9858,GUARATINGA,24/01/2003,0.0,33.5,22.6,26.84,66.5,2
9859,9859,GUARATINGA,27/01/2003,0.0,31.4,20.4,25.42,77.5,1
9860,9860,GUARATINGA,28/01/2003,0.0,34.4,22.5,27.34,69.0,6
9861,9861,GUARATINGA,30/01/2003,0.6,37.3,24.4,27.52,74.25,5
9862,9862,GUARATINGA,31/01/2003,0.6,32.1,22.9,26.14,74.75,5
9863,9863,GUARATINGA,01/02/2003,0.6,30.0,23.3,25.92,79.25,1
9864,9864,GUARATINGA,02/02/2003,11.4,29.1,21.5,24.84,83.0,2
9865,9865,GUARATINGA,03/02/2003,3.7,29.1,22.2,25.3,85.75,1
9866,9866,GUARATINGA,04/02/2003,7.9,29.2,23.0,25.44,80.5,6
9867,9867,GUARATINGA,06/02/2003,0.2,31.0,21.0,25.24,75.75,3
9868,9868,GUARATINGA,07/02/2003,0.0,30.1,21.0,24.78,80.75,3
9869,9869,GUARATINGA,08/02/2003,4.4,28.3,21.6,24.24,86.75,2
9870,9870,GUARATINGA,11/02/2003,0.0,32.9,21.3,25.88,74.5,1
9871,9871,GUARATINGA,12/02/2003,0.0,32.2,21.8,25.52,72.75,2
9872,9872,GUARATINGA,13/02/2003,0.0,30.0,20.7,25.12,83.75,3
9873,9873,GUARATINGA,15/02/2003,0.0,32.5,19.9,25.64,75.25,1
9874,9874,GUARATINGA,17/02/2003,1.3,33.6,22.3,26.54,71.5,2
9875,9875,GUARATINGA,19/02/2003,0.0,34.1,24.3,27.56,69.5,2
9876,9876,GUARATINGA,21/02/2003,0.0,33.5,21.5,25.98,72.25,2
9877,9877,GUARATINGA,22/02/2003,0.0,32.7,22.4,26.44,72.25,1
9878,9878,GUARATINGA,24/02/2003,0.2,32.7,23.4,26.38,72.75,1
9879,9879,GUARATINGA,25/02/2003,0.0,34.0,20.8,26.42,67.0,1
9880,9880,GUARATINGA,27/02/2003,0.0,32.7,22.3,27.3,65.5,3
9881,9881,GUARATINGA,28/02/2003,0.0,33.4,22.5,26.86,69.25,1
9882,9882,GUARATINGA,03/03/2003,0.2,33.1,21.7,26.4,82.25,3
9883,9883,GUARATINGA,04/03/2003,0.0,34.1,21.1,26.7,70.75,1
9884,9884,GUARATINGA,02/04/2003,0.0,32.6,21.2,25.78,67.25,3
9885,9885,GUARATINGA,09/04/2003,2.6,30.7,20.6,25.64,81.5,1
9886,9886,GUARATINGA,14/04/2003,6.1,26.7,22.3,24.26,79.5,1
9887,9887,GUARATINGA,16/04/2008,0.0,31.5,22.3,25.86,84.25,1
9888,9888,GUARATINGA,13/05/2008,0.0,28.1,19.0,22.48,69.25,1
9889,9889,GUARATINGA,09/02/2009,0.0,31.4,24.1,26.52,83.0,1
9890,9890,GUARATINGA,17/02/2009,12.6,30.5,20.7,25.08,85.5,1
9891,9891,GUARATINGA,19/02/2009,0.7,30.5,22.5,25.42,82.0,1
9892,9892,GUARATINGA,20/02/2009,0.7,31.9,20.9,25.56,79.25,1
9893,9893,GUARATINGA,21/02/2009,0.0,32.5,21.3,26.02,76.0,1
9894,9894,GUARATINGA,22/02/2009,0.0,32.3,21.2,25.96,78.5,1
9895,9895,GUARATINGA,24/02/2009,0.0,33.4,22.7,26.78,75.5,1
9896,9896,GUARATINGA,28/02/2009,2.6,30.3,20.9,25.36,82.25,2
9897,9897,GUARATINGA,02/03/2009,0.0,32.9,21.5,26.2,78.75,1
9898,9898,GUARATINGA,03/03/2009,0.0,33.9,21.9,26.58,73.75,1
9899,9899,GUARATINGA,04/03/2009,0.0,34.3,22.5,27.08,77.0,1
9900,9900,GUARATINGA,07/03/2009,0.0,34.4,24.3,27.46,76.5,1
9901,9901,GUARATINGA,08/03/2009,0.0,30.7,23.6,26.26,87.25,1
9902,9902,GUARATINGA,10/03/2009,0.0,33.6,21.9,26.22,74.0,1
9903,9903,GUARATINGA,11/03/2009,0.0,31.9,21.8,26.04,80.0,5
9904,9904,GUARATINGA,12/03/2009,2.7,33.4,22.4,26.5,77.5,1
9905,9905,GUARATINGA,13/03/2009,0.0,34.8,21.5,26.86,74.5,13
9906,9906,GUARATINGA,14/03/2009,0.0,36.3,22.7,28.3,70.5,1
9907,9907,GUARATINGA,15/03/2009,0.0,37.3,21.9,27.78,74.5,1
