,id,municipio,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes
12811,12811,ITIRUCU,01/01/2001,0.0,28.8,18.1,22.88,73.5,7
12812,12812,ITIRUCU,08/01/2001,0.0,27.3,16.3,21.26,72.5,1
12813,12813,ITIRUCU,09/01/2001,0.0,24.6,17.1,20.38,92.75,1
12814,12814,ITIRUCU,10/01/2001,4.7,23.9,17.9,20.14,93.25,1
12815,12815,ITIRUCU,11/01/2001,2.6,27.1,17.7,21.32,79.0,1
12816,12816,ITIRUCU,12/01/2001,0.0,27.2,16.5,20.74,90.25,1
12817,12817,ITIRUCU,16/01/2001,0.5,25.7,15.7,20.26,82.75,3
12818,12818,ITIRUCU,23/01/2001,0.0,29.5,19.2,22.44,76.25,3
12819,12819,ITIRUCU,24/01/2001,0.0,28.4,16.7,21.6,73.25,3
12820,12820,ITIRUCU,25/01/2001,0.0,29.3,17.1,21.82,73.0,1
12821,12821,ITIRUCU,29/01/2001,0.0,29.3,17.5,22.2,73.25,1
12822,12822,ITIRUCU,30/01/2001,0.0,29.5,18.0,21.96,73.75,3
12823,12823,ITIRUCU,01/02/2001,0.0,30.9,16.5,22.22,67.25,2
12824,12824,ITIRUCU,02/02/2001,0.0,31.9,16.4,22.64,73.0,1
12825,12825,ITIRUCU,05/02/2001,0.0,32.0,18.8,23.68,71.75,2
12826,12826,ITIRUCU,06/02/2001,0.0,32.9,18.0,23.12,75.25,3
12827,12827,ITIRUCU,08/02/2001,0.0,31.2,19.2,23.52,69.0,3
12828,12828,ITIRUCU,10/02/2001,0.0,29.9,16.5,22.06,68.75,2
12829,12829,ITIRUCU,11/02/2001,0.0,29.6,15.9,21.56,72.25,1
12830,12830,ITIRUCU,12/02/2001,0.5,30.4,17.1,22.4,69.5,4
12831,12831,ITIRUCU,13/02/2001,0.0,30.7,17.9,22.74,73.0,2
12832,12832,ITIRUCU,14/02/2001,0.0,31.1,19.0,23.54,69.75,2
12833,12833,ITIRUCU,16/02/2001,0.0,30.0,19.0,22.66,77.25,5
12834,12834,ITIRUCU,17/02/2001,0.0,29.8,18.2,22.44,77.5,24
12835,12835,ITIRUCU,18/02/2001,0.0,30.4,17.6,22.84,69.0,64
12836,12836,ITIRUCU,19/02/2001,0.0,28.0,18.6,21.8,77.25,17
12837,12837,ITIRUCU,20/02/2001,0.0,29.7,17.6,22.82,70.0,6
12838,12838,ITIRUCU,21/02/2001,0.0,30.2,18.0,22.66,73.75,5
12839,12839,ITIRUCU,22/02/2001,0.0,30.2,18.8,22.8,72.5,6
12840,12840,ITIRUCU,23/02/2001,0.0,31.1,17.7,23.06,70.5,12
12841,12841,ITIRUCU,24/02/2001,0.3,30.0,19.0,23.08,76.5,7
12842,12842,ITIRUCU,26/02/2001,0.6,27.5,19.2,21.78,94.25,3
12843,12843,ITIRUCU,27/02/2001,22.4,25.7,19.5,21.38,90.0,6
12844,12844,ITIRUCU,28/02/2001,23.9,29.0,18.3,22.26,90.0,1
12845,12845,ITIRUCU,02/03/2001,7.2,27.6,19.2,22.28,89.0,1
12846,12846,ITIRUCU,04/03/2001,0.0,29.5,19.8,23.12,80.5,4
12847,12847,ITIRUCU,05/03/2001,0.0,29.6,19.0,22.94,76.75,11
12848,12848,ITIRUCU,06/03/2001,0.2,28.3,18.1,22.3,84.25,2
12849,12849,ITIRUCU,15/03/2001,7.4,24.4,18.8,20.48,92.5,1
12850,12850,ITIRUCU,16/03/2001,9.2,26.9,17.2,21.1,82.0,3
12851,12851,ITIRUCU,10/04/2001,0.1,29.4,16.5,21.32,73.25,2
12852,12852,ITIRUCU,09/08/2001,1.0,23.3,14.5,17.48,82.25,1
12853,12853,ITIRUCU,22/08/2001,0.1,23.6,16.1,18.84,90.75,1
12854,12854,ITIRUCU,28/01/2002,0.0,29.7,16.3,21.76,72.75,2
12855,12855,ITIRUCU,30/01/2002,0.0,29.7,16.1,22.36,71.0,3
12856,12856,ITIRUCU,31/01/2002,0.0,29.3,17.9,22.2,73.75,3
12857,12857,ITIRUCU,04/02/2002,21.7,24.3,18.6,20.76,93.75,1
12858,12858,ITIRUCU,18/02/2002,0.0,29.1,17.6,22.68,78.5,1
12859,12859,ITIRUCU,23/02/2002,0.0,30.7,17.8,23.34,67.75,1
12860,12860,ITIRUCU,27/02/2002,0.0,28.6,16.9,21.62,69.0,3
12861,12861,ITIRUCU,03/03/2002,1.0,27.5,19.3,22.1,81.25,1
12862,12862,ITIRUCU,04/03/2002,2.1,28.2,19.3,21.94,83.75,1
12863,12863,ITIRUCU,05/03/2002,0.8,23.5,18.2,20.32,95.75,1
12864,12864,ITIRUCU,06/03/2002,1.0,24.5,18.1,21.28,88.25,1
12865,12865,ITIRUCU,08/03/2002,0.6,23.1,17.0,20.52,84.0,1
12866,12866,ITIRUCU,11/03/2002,1.4,26.5,18.6,21.32,86.25,1
12867,12867,ITIRUCU,15/03/2002,0.0,29.3,17.7,22.34,78.5,1
12868,12868,ITIRUCU,16/03/2002,0.0,28.5,18.4,22.16,79.75,4
12869,12869,ITIRUCU,20/03/2002,0.0,29.0,18.9,22.46,80.5,1
12870,12870,ITIRUCU,29/03/2002,1.1,27.7,18.0,21.78,78.25,1
12871,12871,ITIRUCU,17/04/2002,0.0,28.6,18.2,22.38,78.75,2
12872,12872,ITIRUCU,19/04/2002,0.8,25.1,18.4,20.48,89.0,1
12873,12873,ITIRUCU,24/04/2002,6.6,24.7,18.1,20.44,94.0,1
12874,12874,ITIRUCU,30/04/2002,0.4,27.3,17.5,20.74,83.0,1
12875,12875,ITIRUCU,04/05/2002,0.0,22.3,17.9,20.36,78.75,1
12876,12876,ITIRUCU,20/05/2002,0.0,27.1,16.5,21.14,78.0,2
12877,12877,ITIRUCU,21/05/2002,0.0,22.3,16.9,20.76,76.75,1
12878,12878,ITIRUCU,24/05/2002,6.1,21.7,16.0,17.96,86.5,1
12879,12879,ITIRUCU,01/06/2002,0.0,25.7,17.6,20.18,82.0,1
12880,12880,ITIRUCU,02/06/2002,0.0,25.2,16.7,19.52,79.25,1
12881,12881,ITIRUCU,20/11/2002,0.0,27.7,17.3,22.06,75.25,1
12882,12882,ITIRUCU,27/11/2002,0.0,29.5,16.5,22.0,69.5,1
12883,12883,ITIRUCU,30/11/2002,0.1,28.9,18.7,22.18,70.5,2
12884,12884,ITIRUCU,03/12/2002,0.0,30.8,16.6,22.0,69.0,2
12885,12885,ITIRUCU,08/12/2002,0.3,30.1,20.4,22.76,84.0,1
12886,12886,ITIRUCU,09/12/2002,34.0,28.4,19.3,22.84,81.5,1
12887,12887,ITIRUCU,14/12/2002,0.0,29.3,17.0,22.34,78.75,1
12888,12888,ITIRUCU,16/12/2002,0.0,30.9,19.8,23.52,73.5,1
12889,12889,ITIRUCU,20/12/2002,0.0,30.9,17.8,23.26,70.25,1
12890,12890,ITIRUCU,24/12/2002,0.0,32.5,19.1,25.12,67.0,1
12891,12891,ITIRUCU,26/12/2002,0.0,27.1,20.9,23.04,85.0,1
12892,12892,ITIRUCU,27/12/2002,28.9,26.5,18.6,20.62,93.25,1
12893,12893,ITIRUCU,28/12/2002,25.6,24.7,18.6,21.0,93.5,1
12894,12894,ITIRUCU,30/12/2002,0.0,28.6,19.0,22.32,77.0,1
12895,12895,ITIRUCU,02/01/2003,0.0,28.6,18.0,22.8,80.5,2
12896,12896,ITIRUCU,03/01/2003,0.0,29.1,19.8,23.2,82.75,1
12897,12897,ITIRUCU,04/01/2003,0.0,29.9,20.2,23.06,77.5,1
12898,12898,ITIRUCU,07/01/2003,0.0,32.4,19.3,25.4,67.0,11
12899,12899,ITIRUCU,08/01/2003,0.0,30.7,18.9,23.58,72.25,2
12900,12900,ITIRUCU,09/01/2003,0.0,29.9,18.4,23.68,70.25,2
12901,12901,ITIRUCU,10/01/2003,0.0,31.1,18.2,23.52,66.5,3
12902,12902,ITIRUCU,11/01/2003,0.0,31.7,17.0,23.82,67.0,7
12903,12903,ITIRUCU,13/01/2003,0.2,29.1,20.5,23.1,80.75,5
12904,12904,ITIRUCU,14/01/2003,0.4,30.7,20.0,23.8,73.75,5
12905,12905,ITIRUCU,15/01/2003,0.0,31.1,19.6,23.66,73.25,3
12906,12906,ITIRUCU,16/01/2003,0.0,28.9,21.1,23.46,72.25,5
12907,12907,ITIRUCU,17/01/2003,0.0,31.5,17.1,23.26,75.5,8
12908,12908,ITIRUCU,18/01/2003,0.0,30.9,18.6,23.52,75.0,2
12909,12909,ITIRUCU,20/01/2003,0.0,30.9,19.3,23.62,72.75,1
12910,12910,ITIRUCU,21/01/2003,0.0,30.3,18.9,23.38,74.75,4
12911,12911,ITIRUCU,22/01/2003,0.0,31.2,19.2,23.86,70.25,2
12912,12912,ITIRUCU,23/01/2003,0.0,30.5,19.6,23.72,73.25,1
12913,12913,ITIRUCU,24/01/2003,1.0,31.1,19.4,23.56,76.5,3
12914,12914,ITIRUCU,26/01/2003,0.0,30.5,18.3,23.38,72.25,12
12915,12915,ITIRUCU,27/01/2003,0.0,31.9,17.7,23.54,70.0,13
12916,12916,ITIRUCU,28/01/2003,0.0,29.9,20.0,23.24,78.0,3
12917,12917,ITIRUCU,29/01/2003,8.8,30.2,19.6,23.62,82.25,4
12918,12918,ITIRUCU,30/01/2003,2.9,29.3,19.0,22.94,77.25,5
12919,12919,ITIRUCU,31/01/2003,1.3,25.9,19.1,21.48,84.5,1
12920,12920,ITIRUCU,02/02/2003,1.0,23.9,19.3,20.84,98.0,5
12921,12921,ITIRUCU,03/02/2003,7.8,28.1,19.3,22.78,78.0,1
12922,12922,ITIRUCU,04/02/2003,0.0,27.5,18.7,22.26,85.5,6
12923,12923,ITIRUCU,05/02/2003,0.5,26.5,18.5,21.5,84.0,5
12924,12924,ITIRUCU,06/02/2003,0.5,28.2,19.3,22.68,83.0,3
12925,12925,ITIRUCU,07/02/2003,0.0,29.1,18.2,22.54,82.25,1
12926,12926,ITIRUCU,08/02/2003,2.1,28.2,17.8,21.72,81.25,2
12927,12927,ITIRUCU,09/02/2003,3.3,29.1,18.6,22.68,77.0,1
12928,12928,ITIRUCU,10/02/2003,0.0,30.1,18.7,23.02,71.0,2
12929,12929,ITIRUCU,11/02/2003,0.0,29.6,18.4,22.74,70.5,4
12930,12930,ITIRUCU,13/02/2003,0.0,27.7,19.1,22.26,80.75,4
12931,12931,ITIRUCU,17/02/2003,0.0,31.6,19.0,24.14,68.75,1
12932,12932,ITIRUCU,18/02/2003,0.0,31.9,19.2,23.9,73.5,2
12933,12933,ITIRUCU,19/02/2003,0.0,31.1,18.7,23.66,68.0,3
12934,12934,ITIRUCU,20/02/2003,0.0,29.7,20.2,23.54,73.75,5
12935,12935,ITIRUCU,21/02/2003,0.0,28.5,18.1,22.94,71.5,1
12936,12936,ITIRUCU,22/02/2003,0.0,28.3,19.6,22.6,85.0,14
12937,12937,ITIRUCU,23/02/2003,0.0,26.5,18.9,22.34,80.25,8
12938,12938,ITIRUCU,25/02/2003,0.1,30.1,18.0,23.08,69.25,5
12939,12939,ITIRUCU,26/02/2003,0.0,30.6,17.5,23.2,72.0,6
12940,12940,ITIRUCU,27/02/2003,0.0,31.1,18.2,23.2,72.0,7
12941,12941,ITIRUCU,03/03/2003,0.0,30.8,20.6,23.52,77.0,1
12942,12942,ITIRUCU,04/03/2003,0.2,30.3,18.9,23.4,72.0,6
12943,12943,ITIRUCU,05/03/2003,0.0,30.1,19.6,23.12,77.0,4
12944,12944,ITIRUCU,06/03/2003,0.0,30.5,19.0,23.36,73.0,4
12945,12945,ITIRUCU,07/03/2003,0.0,30.1,19.3,23.18,74.0,1
12946,12946,ITIRUCU,08/03/2003,0.0,30.1,18.0,23.04,71.0,1
12947,12947,ITIRUCU,09/03/2003,0.0,30.6,18.4,23.32,72.0,1
12948,12948,ITIRUCU,10/03/2003,0.0,30.6,19.1,23.66,76.0,16
12949,12949,ITIRUCU,11/03/2003,0.0,30.3,19.5,22.76,82.0,6
12950,12950,ITIRUCU,12/03/2003,0.0,30.7,18.1,23.74,70.0,7
12951,12951,ITIRUCU,13/03/2003,0.0,29.3,19.1,23.54,75.0,6
12952,12952,ITIRUCU,14/03/2003,0.0,31.6,19.8,24.3,74.0,1
12953,12953,ITIRUCU,15/03/2003,0.0,30.8,19.9,23.84,74.0,2
12954,12954,ITIRUCU,18/03/2003,0.2,30.7,19.3,23.4,85.0,1
12955,12955,ITIRUCU,19/03/2003,7.7,29.0,18.7,22.64,77.0,3
12956,12956,ITIRUCU,22/03/2003,2.6,30.2,20.2,23.68,85.0,5
12957,12957,ITIRUCU,23/03/2003,1.0,28.5,20.9,23.1,89.0,5
12958,12958,ITIRUCU,26/03/2003,0.1,29.5,18.4,22.76,79.0,2
12959,12959,ITIRUCU,27/03/2003,0.0,28.7,19.3,22.3,81.0,1
12960,12960,ITIRUCU,03/04/2003,0.0,29.9,17.8,22.98,71.0,1
