,id,municipio,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes
15723,15723,MONTE SANTO,29/01/2001,0.0,33.9,21.5,26.96,55.25,1
15724,15724,MONTE SANTO,05/02/2001,0.0,34.7,22.6,28.28,53.0,1
15725,15725,MONTE SANTO,12/02/2001,0.0,34.6,20.7,27.2,54.25,2
15726,15726,MONTE SANTO,13/02/2001,0.0,30.6,20.8,26.82,54.25,1
15727,15727,MONTE SANTO,14/02/2001,0.0,34.2,21.5,27.74,41.0,2
15728,15728,MONTE SANTO,15/02/2001,0.0,34.6,21.0,27.62,46.5,5
15729,15729,MONTE SANTO,17/02/2001,0.0,33.6,23.5,26.96,56.25,1
15730,15730,MONTE SANTO,18/02/2001,0.0,33.8,20.1,26.28,55.25,2
15731,15731,MONTE SANTO,20/02/2001,0.0,32.2,21.1,26.48,54.5,2
15732,15732,MONTE SANTO,21/02/2001,0.0,33.8,20.8,26.58,55.5,11
15733,15733,MONTE SANTO,23/02/2001,0.0,33.5,20.9,26.42,54.25,2
15734,15734,MONTE SANTO,27/02/2001,0.0,34.2,20.8,26.86,54.5,1
15735,15735,MONTE SANTO,28/02/2001,0.0,33.0,20.9,25.52,63.75,5
15736,15736,MONTE SANTO,01/03/2001,0.6,33.4,21.5,26.08,59.0,5
15737,15737,MONTE SANTO,02/03/2001,0.0,34.2,21.5,27.0,53.75,1
15738,15738,MONTE SANTO,03/03/2001,0.0,33.9,20.8,26.92,53.0,2
15739,15739,MONTE SANTO,04/03/2001,0.0,34.2,20.7,27.26,54.5,2
15740,15740,MONTE SANTO,05/03/2001,0.0,34.0,20.3,26.8,53.0,3
15741,15741,MONTE SANTO,06/03/2001,0.0,35.2,21.8,28.2,46.75,1
15742,15742,MONTE SANTO,07/03/2001,0.0,34.2,20.8,26.92,52.75,6
15743,15743,MONTE SANTO,08/03/2001,0.0,33.9,21.0,27.32,52.0,10
15744,15744,MONTE SANTO,09/03/2001,0.0,34.2,21.0,27.7,48.75,10
15745,15745,MONTE SANTO,11/03/2001,0.0,33.8,21.9,27.18,55.5,1
15746,15746,MONTE SANTO,12/03/2001,0.0,30.0,20.7,24.8,66.75,6
15747,15747,MONTE SANTO,13/03/2001,9.0,33.4,20.8,24.7,79.0,4
15748,15748,MONTE SANTO,14/03/2001,5.0,27.2,20.5,23.24,86.5,1
15749,15749,MONTE SANTO,15/03/2001,6.8,27.2,20.1,23.72,70.0,7
15750,15750,MONTE SANTO,16/03/2001,0.0,25.2,20.1,22.68,82.25,1
15751,15751,MONTE SANTO,18/03/2001,0.0,31.8,21.5,25.5,70.0,2
15752,15752,MONTE SANTO,19/03/2001,0.0,32.2,20.0,25.84,59.0,3
15753,15753,MONTE SANTO,20/03/2001,0.0,29.8,20.7,25.28,67.25,11
15754,15754,MONTE SANTO,21/03/2001,0.0,29.2,21.9,25.04,73.25,1
15755,15755,MONTE SANTO,22/03/2001,0.0,31.2,20.7,25.44,68.0,6
15756,15756,MONTE SANTO,23/03/2001,0.0,31.8,20.9,26.04,58.75,3
15757,15757,MONTE SANTO,24/03/2001,0.0,31.5,20.3,25.78,62.75,1
15758,15758,MONTE SANTO,25/03/2001,0.0,31.9,21.0,25.92,62.75,2
15759,15759,MONTE SANTO,26/03/2001,0.0,32.9,20.3,26.48,58.25,7
15760,15760,MONTE SANTO,27/03/2001,0.0,33.5,20.8,26.52,58.5,7
15761,15761,MONTE SANTO,28/03/2001,0.0,32.5,20.8,26.06,62.0,3
15762,15762,MONTE SANTO,29/03/2001,0.0,32.9,20.8,26.3,61.75,6
15763,15763,MONTE SANTO,30/03/2001,0.0,33.9,20.9,26.02,67.25,1
15764,15764,MONTE SANTO,01/04/2001,0.1,32.1,20.1,25.44,69.75,1
15765,15765,MONTE SANTO,02/04/2001,0.0,30.7,20.3,25.16,69.0,8
15766,15766,MONTE SANTO,03/04/2001,0.0,33.1,20.7,26.18,62.5,14
15767,15767,MONTE SANTO,04/04/2001,0.0,29.5,20.6,24.56,72.5,25
15768,15768,MONTE SANTO,05/04/2001,2.0,29.5,20.0,24.24,73.25,3
15769,15769,MONTE SANTO,06/04/2001,0.0,30.9,20.1,24.96,68.0,2
15770,15770,MONTE SANTO,07/04/2001,0.0,29.9,20.3,24.54,66.0,3
15771,15771,MONTE SANTO,08/04/2001,0.0,30.7,20.5,24.7,69.5,2
15772,15772,MONTE SANTO,09/04/2001,0.0,30.9,20.0,24.76,66.25,9
15773,15773,MONTE SANTO,10/04/2001,0.0,30.5,20.0,24.8,65.75,5
15774,15774,MONTE SANTO,11/04/2001,0.0,32.1,20.1,25.38,60.75,1
15775,15775,MONTE SANTO,12/04/2001,0.0,31.9,20.3,25.62,63.5,1
15776,15776,MONTE SANTO,13/04/2001,0.0,32.7,20.0,25.52,58.5,2
15777,15777,MONTE SANTO,14/04/2001,0.0,29.6,20.3,23.24,80.75,1
15778,15778,MONTE SANTO,16/04/2001,0.0,31.5,20.8,25.48,66.0,6
15779,15779,MONTE SANTO,17/04/2001,3.7,32.5,21.0,25.76,66.25,1
15780,15780,MONTE SANTO,18/04/2001,0.0,32.8,20.0,25.62,62.75,2
15781,15781,MONTE SANTO,19/04/2001,0.0,31.0,20.1,25.48,62.5,1
15782,15782,MONTE SANTO,20/04/2001,0.0,33.9,20.0,26.8,56.5,4
15783,15783,MONTE SANTO,21/04/2001,0.0,32.5,21.0,26.46,57.25,4
15784,15784,MONTE SANTO,22/04/2001,0.0,33.8,22.7,26.48,58.5,1
15785,15785,MONTE SANTO,23/04/2001,0.0,33.5,20.1,25.54,63.5,4
15786,15786,MONTE SANTO,24/04/2001,0.0,30.9,20.0,24.76,62.75,3
15787,15787,MONTE SANTO,25/04/2001,0.0,31.1,19.6,25.06,54.75,7
15788,15788,MONTE SANTO,26/04/2001,0.0,32.0,20.0,25.16,63.75,14
15789,15789,MONTE SANTO,27/04/2001,0.0,24.5,20.3,21.96,90.75,9
15790,15790,MONTE SANTO,28/04/2001,4.8,30.5,20.0,23.84,69.0,4
15791,15791,MONTE SANTO,29/04/2001,0.0,30.9,19.8,24.7,67.75,1
15792,15792,MONTE SANTO,30/04/2001,0.0,29.5,20.0,24.36,69.25,8
15793,15793,MONTE SANTO,01/05/2001,0.0,26.9,20.3,23.6,80.25,2
15794,15794,MONTE SANTO,02/05/2001,6.0,30.5,20.3,23.9,78.25,2
15795,15795,MONTE SANTO,03/05/2001,2.0,31.0,20.1,24.04,75.75,2
15796,15796,MONTE SANTO,08/05/2001,0.0,34.1,21.3,27.58,53.0,4
15797,15797,MONTE SANTO,09/05/2001,0.0,32.9,21.9,26.36,65.25,4
15798,15798,MONTE SANTO,11/05/2001,0.0,34.1,21.6,27.48,51.75,1
15799,15799,MONTE SANTO,13/05/2001,0.0,34.1,20.1,26.62,59.0,1
15800,15800,MONTE SANTO,14/05/2001,0.0,32.8,21.0,26.26,58.25,3
15801,15801,MONTE SANTO,16/05/2001,0.0,32.0,21.0,26.14,56.5,1
15802,15802,MONTE SANTO,17/05/2001,0.0,31.6,19.1,25.64,56.0,7
15803,15803,MONTE SANTO,18/05/2001,0.0,33.9,20.0,26.92,51.5,2
15804,15804,MONTE SANTO,20/05/2001,0.0,28.1,20.5,24.46,60.25,1
15805,15805,MONTE SANTO,21/05/2001,0.0,30.1,20.0,24.38,63.5,3
