,id,municipio,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes
17375,17375,PAULO AFONSO,10/05/2001,0.0,34.3,23.6,28.24,61.0,1
17376,17376,PAULO AFONSO,10/06/2001,2.9,27.7,20.5,23.18,83.75,1
17377,17377,PAULO AFONSO,18/07/2001,0.0,29.4,21.1,23.78,81.75,2
17378,17378,PAULO AFONSO,24/07/2001,0.3,25.9,18.0,21.6,83.5,2
17379,17379,PAULO AFONSO,14/08/2001,0.0,23.9,18.2,20.52,89.75,2
17380,17380,PAULO AFONSO,30/09/2001,0.0,33.2,21.3,26.24,56.25,1
17381,17381,PAULO AFONSO,17/10/2001,5.8,30.6,20.5,25.28,70.0,2
17382,17382,PAULO AFONSO,29/10/2001,0.0,33.6,22.4,26.38,65.25,3
17383,17383,PAULO AFONSO,05/11/2001,0.0,36.2,21.6,28.34,55.0,8
17384,17384,PAULO AFONSO,12/11/2001,0.0,35.0,22.2,27.58,55.75,2
17385,17385,PAULO AFONSO,15/11/2001,0.0,34.5,22.2,27.72,57.5,2
17386,17386,PAULO AFONSO,16/11/2001,0.0,36.5,22.0,28.58,55.0,2
17387,17387,PAULO AFONSO,19/11/2001,0.0,34.9,21.3,27.22,51.0,2
17388,17388,PAULO AFONSO,21/11/2001,0.0,34.1,23.2,27.48,49.75,1
17389,17389,PAULO AFONSO,23/11/2001,0.0,34.1,21.5,27.0,54.75,4
17390,17390,PAULO AFONSO,05/12/2001,0.0,34.9,22.2,27.66,54.25,2
17391,17391,PAULO AFONSO,13/12/2001,1.2,35.0,21.6,27.6,54.5,2
17392,17392,PAULO AFONSO,15/01/2002,0.0,29.7,22.4,26.16,78.0,2
17393,17393,PAULO AFONSO,01/02/2002,0.0,32.3,22.0,26.46,56.0,2
17394,17394,PAULO AFONSO,14/02/2002,0.0,30.7,21.2,24.62,79.75,2
17395,17395,PAULO AFONSO,18/02/2002,0.0,32.2,22.1,26.54,68.75,2
17396,17396,PAULO AFONSO,19/02/2002,0.0,32.2,22.2,26.74,64.25,4
17397,17397,PAULO AFONSO,20/02/2002,0.0,32.0,21.1,26.46,64.25,8
17398,17398,PAULO AFONSO,21/02/2002,0.0,30.7,21.8,26.08,67.0,2
17399,17399,PAULO AFONSO,22/02/2002,0.0,32.7,21.8,27.1,60.5,2
17400,17400,PAULO AFONSO,24/02/2002,0.0,27.1,22.2,26.08,58.25,2
17401,17401,PAULO AFONSO,25/02/2002,0.0,33.8,23.2,27.82,60.0,10
17402,17402,PAULO AFONSO,26/02/2002,0.0,32.9,22.8,27.1,58.25,2
17403,17403,PAULO AFONSO,27/02/2002,0.0,33.7,22.4,27.16,59.0,2
17404,17404,PAULO AFONSO,02/03/2002,0.0,27.1,22.8,26.0,59.0,4
17405,17405,PAULO AFONSO,03/03/2002,0.0,27.1,22.1,25.16,67.0,3
17406,17406,PAULO AFONSO,04/03/2002,0.2,33.6,22.2,26.02,71.25,2
17407,17407,PAULO AFONSO,05/03/2002,5.7,30.1,20.6,24.58,75.0,7
17408,17408,PAULO AFONSO,06/03/2002,0.0,32.8,22.2,26.58,71.75,2
17409,17409,PAULO AFONSO,07/03/2002,0.0,32.7,22.5,26.84,67.5,3
17410,17410,PAULO AFONSO,08/03/2002,0.0,32.9,21.9,26.82,60.5,9
17411,17411,PAULO AFONSO,09/03/2002,0.0,33.2,21.6,26.62,61.25,4
17412,17412,PAULO AFONSO,10/03/2002,0.0,32.9,21.4,26.7,59.5,3
17413,17413,PAULO AFONSO,11/03/2002,0.0,32.2,22.0,26.54,62.25,6
17414,17414,PAULO AFONSO,12/03/2002,0.0,33.8,22.0,27.12,57.75,7
17415,17415,PAULO AFONSO,13/03/2002,0.0,34.1,21.9,27.12,59.5,19
17416,17416,PAULO AFONSO,14/03/2002,0.0,26.9,20.5,25.68,59.5,14
17417,17417,PAULO AFONSO,15/03/2002,0.0,27.9,21.6,26.8,52.25,16
17418,17418,PAULO AFONSO,17/03/2002,0.0,27.7,22.3,26.46,56.5,6
17419,17419,PAULO AFONSO,18/03/2002,0.0,28.1,23.2,26.46,63.5,2
17420,17420,PAULO AFONSO,19/03/2002,0.0,33.4,23.1,27.04,69.0,13
17421,17421,PAULO AFONSO,20/03/2002,0.0,32.8,23.4,27.6,63.0,6
17422,17422,PAULO AFONSO,21/03/2002,0.1,27.7,22.6,27.3,53.25,3
17423,17423,PAULO AFONSO,25/03/2002,0.0,33.6,21.8,27.5,59.25,9
17424,17424,PAULO AFONSO,26/03/2002,0.0,27.7,22.0,26.0,61.0,2
17425,17425,PAULO AFONSO,27/03/2002,0.0,28.2,22.7,27.2,50.5,2
17426,17426,PAULO AFONSO,04/04/2002,0.0,30.5,22.8,25.64,69.25,8
17427,17427,PAULO AFONSO,07/04/2002,0.0,27.6,23.7,25.16,75.5,1
17428,17428,PAULO AFONSO,08/04/2002,4.3,33.4,22.4,27.5,63.75,7
17429,17429,PAULO AFONSO,09/04/2002,0.0,27.6,22.4,26.1,61.0,2
17430,17430,PAULO AFONSO,12/04/2002,0.3,31.4,23.6,26.94,70.75,2
17431,17431,PAULO AFONSO,22/04/2002,0.3,30.5,20.6,24.12,89.75,4
17432,17432,PAULO AFONSO,24/04/2002,0.0,30.8,20.4,25.42,65.5,2
17433,17433,PAULO AFONSO,28/04/2002,0.0,32.9,19.8,26.04,57.25,1
17434,17434,PAULO AFONSO,29/04/2002,0.0,33.2,19.8,26.06,58.75,2
