,id,municipio,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes
18346,18346,REMANSO,09/02/2001,0.0,32.3,20.0,26.16,63.5,1
18347,18347,REMANSO,15/02/2001,0.0,32.7,22.3,27.5,62.25,1
18348,18348,REMANSO,06/03/2001,0.0,32.7,23.3,27.78,69.5,2
18349,18349,REMANSO,14/03/2001,5.1,29.7,20.9,24.3,83.75,1
18350,18350,REMANSO,15/03/2001,3.0,29.5,21.9,25.42,80.5,1
18351,18351,REMANSO,22/03/2001,0.0,31.7,21.0,26.2,64.25,1
18352,18352,REMANSO,23/03/2001,0.0,32.7,22.1,26.86,66.5,1
18353,18353,REMANSO,26/03/2001,0.0,33.7,18.8,26.48,62.5,4
18354,18354,REMANSO,28/03/2001,0.0,33.9,20.1,27.26,62.25,1
18355,18355,REMANSO,30/03/2001,0.0,33.7,21.4,27.24,64.5,2
18356,18356,REMANSO,03/04/2001,0.0,32.1,21.9,26.46,66.75,2
18357,18357,REMANSO,09/04/2001,0.0,32.3,21.9,26.46,59.5,2
18358,18358,REMANSO,10/04/2001,0.0,32.9,20.0,26.36,63.25,2
18359,18359,REMANSO,16/04/2001,0.0,33.1,24.3,27.7,67.5,2
18360,18360,REMANSO,17/04/2001,0.0,33.9,23.3,28.14,65.25,5
18361,18361,REMANSO,18/04/2001,0.0,33.7,18.0,26.96,56.25,2
18362,18362,REMANSO,19/04/2001,0.0,33.7,20.0,27.36,59.75,4
18363,18363,REMANSO,23/04/2001,0.0,33.7,21.7,27.18,55.75,1
18364,18364,REMANSO,24/04/2001,0.0,33.3,21.0,27.32,59.75,3
18365,18365,REMANSO,30/04/2001,0.0,32.9,22.2,27.28,54.0,4
18366,18366,REMANSO,02/05/2001,0.0,31.5,21.5,26.58,63.25,1
18367,18367,REMANSO,04/05/2001,0.0,33.1,21.4,26.72,54.0,4
18368,18368,REMANSO,09/05/2001,3.2,35.3,22.3,28.46,63.5,2
18369,18369,REMANSO,14/11/2001,0.0,36.3,24.8,29.96,49.25,2
18370,18370,REMANSO,01/03/2002,0.0,33.5,24.6,28.08,59.5,1
18371,18371,REMANSO,08/03/2002,0.0,32.9,25.2,28.28,58.75,1
18372,18372,REMANSO,01/06/2002,0.0,35.0,23.5,28.4,51.0,1
18373,18373,REMANSO,13/03/2003,0.0,35.3,25.4,30.64,40.25,1
18374,18374,REMANSO,24/03/2003,16.0,29.9,20.0,24.68,70.75,1
18375,18375,REMANSO,23/04/2003,0.0,32.3,23.7,27.9,48.25,1
18376,18376,REMANSO,25/04/2003,0.0,32.5,24.3,27.14,48.75,2
18377,18377,REMANSO,28/04/2003,0.0,28.7,23.1,25.82,57.0,1
18378,18378,REMANSO,05/05/2003,4.0,27.9,23.5,25.5,71.25,1
18379,18379,REMANSO,08/05/2003,0.0,31.9,21.0,27.0,71.0,1
18380,18380,REMANSO,09/05/2003,0.0,32.3,21.5,27.18,64.0,3
18381,18381,REMANSO,14/05/2003,0.0,31.1,20.0,26.44,60.0,1
18382,18382,REMANSO,15/05/2003,0.0,30.1,22.1,26.54,61.0,1
18383,18383,REMANSO,16/05/2003,0.0,31.1,20.0,25.2,70.0,3
18384,18384,REMANSO,21/05/2003,0.0,31.9,19.0,26.48,56.0,2
18385,18385,REMANSO,27/05/2003,0.0,31.3,22.1,26.62,75.0,1
18386,18386,REMANSO,28/05/2003,0.0,31.3,20.8,26.32,70.0,3
18387,18387,REMANSO,29/05/2003,0.0,30.1,21.9,25.9,69.0,3
18388,18388,REMANSO,02/06/2003,0.0,31.1,21.9,26.42,64.0,4
18389,18389,REMANSO,03/06/2003,0.0,30.7,20.0,26.36,58.0,3
18390,18390,REMANSO,04/06/2003,0.0,31.3,21.0,26.4,60.0,1
18391,18391,REMANSO,05/06/2003,0.0,30.5,21.9,26.18,65.0,6
18392,18392,REMANSO,06/06/2003,0.0,30.3,21.7,25.7,62.0,1
18393,18393,REMANSO,09/06/2003,0.0,29.9,22.3,25.66,87.0,3
18394,18394,REMANSO,10/06/2003,0.0,30.3,22.7,25.78,64.0,3
18395,18395,REMANSO,11/06/2003,0.0,31.3,23.5,26.3,65.0,1
18396,18396,REMANSO,12/06/2003,0.0,31.3,20.8,25.68,69.0,2
18397,18397,REMANSO,13/06/2003,0.0,30.9,19.0,25.2,63.0,1
18398,18398,REMANSO,16/06/2003,0.0,30.3,21.7,25.62,65.0,1
18399,18399,REMANSO,17/06/2003,0.0,30.3,20.0,25.4,54.0,1
18400,18400,REMANSO,26/06/2003,0.0,29.9,21.9,25.26,68.0,6
18401,18401,REMANSO,30/06/2003,0.0,30.1,19.4,24.84,63.0,1
18402,18402,REMANSO,03/07/2003,0.0,30.1,19.0,24.88,55.0,1
18403,18403,REMANSO,07/07/2003,0.0,30.9,21.0,25.6,51.0,1
18404,18404,REMANSO,08/07/2003,0.0,31.3,21.0,25.44,60.0,3
18405,18405,REMANSO,11/07/2003,0.0,31.1,20.0,25.92,63.0,1
18406,18406,REMANSO,14/07/2003,0.0,27.7,20.0,23.64,66.0,3
18407,18407,REMANSO,17/07/2003,0.0,28.5,20.0,24.08,71.0,2
18408,18408,REMANSO,25/07/2003,0.0,28.7,19.8,24.84,63.0,1
18409,18409,REMANSO,13/08/2003,0.0,31.9,19.4,25.8,64.0,1
18410,18410,REMANSO,20/08/2003,0.0,29.7,19.6,25.12,54.0,1
18411,18411,REMANSO,30/03/2004,0.0,30.9,19.6,24.82,71.0,1
18412,18412,REMANSO,14/07/2004,0.0,28.1,19.6,24.82,64.0,1
18413,18413,REMANSO,30/08/2004,0.0,32.9,19.6,24.82,46.0,1
18414,18414,REMANSO,21/03/2005,0.0,31.7,22.9,27.66,77.0,1
18415,18415,REMANSO,22/03/2005,0.0,31.9,22.1,27.9,77.0,6
18416,18416,REMANSO,23/03/2005,0.0,32.3,22.1,27.66,77.0,1
18417,18417,REMANSO,28/03/2005,15.3,27.3,23.1,24.34,77.0,1
18418,18418,REMANSO,29/03/2005,0.0,31.3,21.5,25.78,77.0,2
18419,18419,REMANSO,30/03/2005,22.6,29.7,21.5,25.22,77.0,2
18420,18420,REMANSO,31/03/2005,26.4,30.5,22.7,26.26,77.0,3
18421,18421,REMANSO,01/04/2005,0.0,30.7,23.1,26.54,77.0,3
18422,18422,REMANSO,04/04/2005,0.0,31.1,24.1,27.02,77.0,6
18423,18423,REMANSO,05/04/2005,0.0,31.5,24.7,27.18,77.0,2
18424,18424,REMANSO,06/04/2005,0.0,31.9,24.5,27.34,77.0,1
18425,18425,REMANSO,08/04/2005,0.0,31.3,23.7,27.38,77.0,7
18426,18426,REMANSO,11/04/2005,0.0,31.3,24.9,27.7,77.0,4
18427,18427,REMANSO,12/04/2005,0.0,31.1,24.7,27.62,77.0,7
18428,18428,REMANSO,13/04/2005,0.4,30.1,22.9,26.9,77.0,10
18429,18429,REMANSO,14/04/2005,0.0,30.9,24.1,27.58,77.0,11
18430,18430,REMANSO,15/04/2005,0.0,31.3,24.5,27.38,77.0,7
18431,18431,REMANSO,17/04/2005,0.0,31.1,22.5,27.02,77.0,1
18432,18432,REMANSO,18/04/2005,0.0,31.5,25.1,27.7,77.0,13
18433,18433,REMANSO,19/04/2005,0.2,31.1,25.1,27.86,77.0,14
18434,18434,REMANSO,20/04/2005,0.0,30.5,22.3,26.62,77.0,12
18435,18435,REMANSO,21/04/2005,0.0,31.3,24.1,27.5,77.0,5
