,id,municipio,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes
19275,19275,SALVADOR,01/01/2001,0.0,30.6,24.0,26.56,78.75,2
19276,19276,SALVADOR,02/01/2001,0.0,31.0,23.2,26.26,76.75,3
19277,19277,SALVADOR,03/01/2001,0.0,30.1,23.4,26.88,73.25,3
19278,19278,SALVADOR,04/01/2001,29.6,29.9,22.7,25.92,81.75,2
19279,19279,SALVADOR,05/01/2001,0.8,29.6,23.2,25.84,80.75,2
19280,19280,SALVADOR,06/01/2001,1.7,29.2,23.4,25.66,85.75,2
19281,19281,SALVADOR,07/01/2001,2.3,30.2,22.7,25.28,85.5,3
19282,19282,SALVADOR,12/01/2001,7.8,29.2,23.8,25.82,84.5,1
19283,19283,SALVADOR,13/01/2001,2.2,28.3,24.1,26.02,80.75,2
19284,19284,SALVADOR,15/01/2001,0.1,30.2,24.4,26.34,76.75,2
19285,19285,SALVADOR,16/01/2001,0.0,30.0,23.7,26.8,71.0,2
19286,19286,SALVADOR,17/01/2001,0.0,29.6,23.8,26.5,77.5,1
19287,19287,SALVADOR,18/01/2001,3.6,29.9,24.0,25.88,83.5,1
19288,19288,SALVADOR,19/01/2001,1.5,30.3,23.8,26.7,77.25,2
19289,19289,SALVADOR,20/01/2001,6.4,29.7,24.4,26.46,79.25,2
19290,19290,SALVADOR,21/01/2001,0.2,30.6,23.8,26.74,75.25,1
19291,19291,SALVADOR,22/01/2001,0.0,30.1,23.2,26.54,85.75,2
19292,19292,SALVADOR,23/01/2001,7.2,30.4,23.1,26.64,80.0,2
19293,19293,SALVADOR,24/01/2001,0.0,30.4,23.2,26.52,76.75,9
19294,19294,SALVADOR,25/01/2001,0.0,30.6,23.3,26.54,79.5,4
19295,19295,SALVADOR,26/01/2001,0.3,31.2,24.4,27.26,75.25,3
19296,19296,SALVADOR,27/01/2001,0.0,31.6,25.1,27.68,73.25,6
19297,19297,SALVADOR,29/01/2001,0.0,31.6,24.4,27.28,74.0,1
19298,19298,SALVADOR,30/01/2001,0.0,31.4,24.3,27.48,70.0,11
19299,19299,SALVADOR,31/01/2001,0.0,31.6,23.6,27.2,69.25,4
19300,19300,SALVADOR,01/02/2001,0.0,31.0,23.5,26.3,72.5,3
19301,19301,SALVADOR,02/02/2001,0.0,31.9,24.3,27.16,79.25,3
19302,19302,SALVADOR,03/02/2001,0.0,31.9,25.0,27.56,79.25,6
19303,19303,SALVADOR,04/02/2001,0.0,30.8,25.3,27.32,78.0,1
19304,19304,SALVADOR,05/02/2001,10.2,31.2,24.2,27.02,76.0,79
19305,19305,SALVADOR,07/02/2001,0.0,32.2,25.0,27.6,76.75,9
19306,19306,SALVADOR,08/02/2001,0.0,32.2,24.5,27.32,78.25,8
19307,19307,SALVADOR,09/02/2001,0.6,32.0,25.4,27.42,75.25,2
19308,19308,SALVADOR,10/02/2001,0.0,31.2,24.6,27.36,71.0,5
19309,19309,SALVADOR,12/02/2001,0.0,31.4,24.8,27.58,73.5,17
19310,19310,SALVADOR,13/02/2001,0.0,31.9,24.8,27.74,75.5,17
19311,19311,SALVADOR,14/02/2001,0.0,32.8,25.2,28.06,72.75,18
19312,19312,SALVADOR,15/02/2001,0.0,32.4,25.7,28.38,71.75,17
19313,19313,SALVADOR,16/02/2001,0.0,32.9,25.8,28.5,70.25,12
19314,19314,SALVADOR,17/02/2001,1.8,31.6,25.0,27.14,79.5,11
19315,19315,SALVADOR,18/02/2001,0.0,29.6,25.4,26.92,79.0,5
19316,19316,SALVADOR,19/02/2001,0.3,32.0,24.4,27.6,77.25,5
19317,19317,SALVADOR,20/02/2001,0.0,31.0,24.4,27.28,78.75,19
19318,19318,SALVADOR,21/02/2001,0.0,32.4,25.3,28.18,76.0,11
19319,19319,SALVADOR,22/02/2001,0.0,32.1,26.0,28.28,73.25,7
