,id,municipio,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes
24322,24322,SENHOR DO BONFIM,08/02/2001,0.0,33.8,21.9,27.34,46.5,1
24323,24323,SENHOR DO BONFIM,20/02/2001,0.1,31.2,21.0,25.12,67.0,1
24324,24324,SENHOR DO BONFIM,09/03/2001,0.0,34.3,21.9,27.5,42.25,1
24325,24325,SENHOR DO BONFIM,16/04/2001,0.0,30.4,21.3,25.6,62.25,1
24326,24326,SENHOR DO BONFIM,24/04/2001,0.0,28.7,20.8,23.92,73.5,1
24327,24327,SENHOR DO BONFIM,28/01/2002,0.0,30.4,19.7,24.32,60.75,1
24328,24328,SENHOR DO BONFIM,01/02/2002,0.0,31.5,21.3,26.04,57.5,1
24329,24329,SENHOR DO BONFIM,12/02/2002,5.7,28.8,19.6,23.68,69.5,1
24330,24330,SENHOR DO BONFIM,14/02/2002,0.0,29.3,20.1,24.4,66.0,1
24331,24331,SENHOR DO BONFIM,18/02/2002,0.0,29.8,21.0,24.76,65.75,1
24332,24332,SENHOR DO BONFIM,20/02/2002,0.0,29.4,21.0,24.2,73.25,1
24333,24333,SENHOR DO BONFIM,21/02/2002,0.4,30.0,21.0,25.08,59.0,1
24334,24334,SENHOR DO BONFIM,25/02/2002,0.0,30.8,20.2,24.9,56.25,2
24335,24335,SENHOR DO BONFIM,26/02/2002,0.0,29.6,20.5,24.92,56.0,1
24336,24336,SENHOR DO BONFIM,28/02/2002,0.0,30.0,19.8,24.7,51.75,1
24337,24337,SENHOR DO BONFIM,05/03/2002,0.5,28.7,21.0,23.24,79.75,1
24338,24338,SENHOR DO BONFIM,14/03/2002,0.0,31.0,21.0,25.48,56.25,1
24339,24339,SENHOR DO BONFIM,26/03/2002,0.0,31.0,19.8,25.42,56.5,1
24340,24340,SENHOR DO BONFIM,22/11/2002,0.0,33.0,21.5,27.04,47.25,1
24341,24341,SENHOR DO BONFIM,27/11/2002,0.0,31.8,20.8,26.04,45.0,1
24342,24342,SENHOR DO BONFIM,04/12/2002,0.0,34.0,22.3,27.5,52.5,1
24343,24343,SENHOR DO BONFIM,07/01/2003,0.0,36.3,23.8,29.96,37.25,1
24344,24344,SENHOR DO BONFIM,27/01/2003,0.0,31.8,22.4,26.98,52.25,1
24345,24345,SENHOR DO BONFIM,10/02/2003,1.0,32.6,20.5,26.06,57.0,1
24346,24346,SENHOR DO BONFIM,12/02/2003,0.0,31.6,20.1,25.8,46.5,1
24347,24347,SENHOR DO BONFIM,19/02/2003,0.0,34.6,21.0,27.16,55.5,1
24348,24348,SENHOR DO BONFIM,23/02/2003,0.5,32.0,21.0,26.14,59.25,1
24349,24349,SENHOR DO BONFIM,24/02/2003,0.0,32.8,21.3,25.88,63.25,1
24350,24350,SENHOR DO BONFIM,27/02/2003,0.0,34.4,19.7,27.26,38.0,3
24351,24351,SENHOR DO BONFIM,24/03/2003,5.6,30.8,22.0,25.52,63.75,1
24352,24352,SENHOR DO BONFIM,04/04/2003,0.0,32.6,22.0,26.98,57.75,1
24353,24353,SENHOR DO BONFIM,19/05/2003,0.0,27.6,19.8,23.1,81.75,1
24354,24354,SENHOR DO BONFIM,22/05/2003,1.7,27.4,20.2,23.16,85.5,1
24355,24355,SENHOR DO BONFIM,26/05/2003,0.0,31.9,21.3,26.08,67.25,2
24356,24356,SENHOR DO BONFIM,09/09/2003,0.0,27.7,18.2,22.0,73.0,1
24357,24357,SENHOR DO BONFIM,04/11/2003,95.0,27.6,19.8,21.66,95.0,1
24358,24358,SENHOR DO BONFIM,27/12/2003,0.0,31.6,20.2,26.48,47.0,1
24359,24359,SENHOR DO BONFIM,09/01/2004,0.0,33.7,22.5,27.86,51.25,1
24360,24360,SENHOR DO BONFIM,27/01/2004,2.8,29.7,21.0,24.52,73.25,1
24361,24361,SENHOR DO BONFIM,28/01/2004,1.7,29.4,20.3,23.36,83.75,1
24362,24362,SENHOR DO BONFIM,17/03/2004,0.0,31.6,21.2,26.36,63.25,1
24363,24363,SENHOR DO BONFIM,22/03/2004,0.0,31.6,21.9,25.62,69.5,1
24364,24364,SENHOR DO BONFIM,29/07/2004,0.4,24.7,16.0,20.36,72.5,1
24365,24365,SENHOR DO BONFIM,14/04/2005,6.4,27.2,19.8,22.78,78.0,1
24366,24366,SENHOR DO BONFIM,21/12/2005,0.0,31.6,19.7,25.62,51.75,1
24367,24367,SENHOR DO BONFIM,05/04/2006,0.0,28.9,21.0,24.4,73.0,1
24368,24368,SENHOR DO BONFIM,22/05/2006,0.0,28.2,17.8,22.48,61.0,2
24369,24369,SENHOR DO BONFIM,02/06/2006,0.0,26.8,17.9,21.2,69.5,1
24370,24370,SENHOR DO BONFIM,14/07/2006,1.2,23.0,17.3,19.2,83.0,1
24371,24371,SENHOR DO BONFIM,25/07/2006,1.2,24.2,16.8,20.24,79.5,1
24372,24372,SENHOR DO BONFIM,14/11/2006,0.0,30.8,19.8,24.26,61.25,1
24373,24373,SENHOR DO BONFIM,16/11/2006,12.4,25.6,20.1,22.3,85.0,1
24374,24374,SENHOR DO BONFIM,05/12/2006,0.0,30.4,20.8,25.22,63.0,1
24375,24375,SENHOR DO BONFIM,11/01/2007,0.0,35.9,22.0,28.7,42.0,1
24376,24376,SENHOR DO BONFIM,29/01/2007,0.0,35.3,21.6,28.28,44.5,1
24377,24377,SENHOR DO BONFIM,01/02/2007,0.0,35.6,21.6,28.34,42.5,2
24378,24378,SENHOR DO BONFIM,14/02/2007,8.4,28.8,21.9,24.48,85.5,1
24379,24379,SENHOR DO BONFIM,23/02/2007,13.0,28.0,20.3,22.56,86.5,1
24380,24380,SENHOR DO BONFIM,26/02/2007,0.2,30.0,22.0,24.2,82.5,1
24381,24381,SENHOR DO BONFIM,28/02/2007,0.0,30.0,21.0,24.78,68.75,1
24382,24382,SENHOR DO BONFIM,20/03/2007,0.0,31.4,21.1,25.92,66.5,2
24383,24383,SENHOR DO BONFIM,21/03/2007,0.0,31.0,22.4,25.82,68.75,1
24384,24384,SENHOR DO BONFIM,23/03/2007,0.0,30.6,21.2,25.38,66.0,1
24385,24385,SENHOR DO BONFIM,26/03/2007,5.9,30.6,20.8,24.58,73.5,2
24386,24386,SENHOR DO BONFIM,29/03/2007,0.0,29.8,19.8,24.22,64.5,1
24387,24387,SENHOR DO BONFIM,09/04/2007,0.0,33.8,19.8,26.44,55.25,2
24388,24388,SENHOR DO BONFIM,11/04/2007,0.0,27.0,22.2,24.14,80.0,1
24389,24389,SENHOR DO BONFIM,12/04/2007,2.0,30.8,21.0,25.14,69.25,1
24390,24390,SENHOR DO BONFIM,16/04/2007,0.2,30.4,21.0,25.02,67.75,1
24391,24391,SENHOR DO BONFIM,18/04/2007,0.0,29.6,21.1,24.76,67.25,1
24392,24392,SENHOR DO BONFIM,26/04/2007,0.0,30.2,20.5,25.1,62.0,1
24393,24393,SENHOR DO BONFIM,03/05/2007,0.0,28.6,21.0,24.26,70.75,1
24394,24394,SENHOR DO BONFIM,04/05/2007,0.0,25.3,20.9,22.94,71.75,1
24395,24395,SENHOR DO BONFIM,14/05/2007,0.0,24.9,18.8,21.46,81.0,1
24396,24396,SENHOR DO BONFIM,25/05/2007,0.0,31.6,19.1,24.76,64.25,2
24397,24397,SENHOR DO BONFIM,21/06/2007,6.4,25.2,18.8,20.82,83.75,1
24398,24398,SENHOR DO BONFIM,19/07/2007,0.0,31.0,17.7,22.72,73.0,1
24399,24399,SENHOR DO BONFIM,20/07/2007,0.0,29.0,18.0,22.2,67.5,2
24400,24400,SENHOR DO BONFIM,29/08/2007,0.0,29.5,17.8,22.86,64.75,1
