,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,03/07/2005,0.0,32.2,19.6,24.98,58.5,1,Não ciclo
1,05/02/2007,3.1,27.5,22.8,23.96,82.25,1,Não ciclo
2,15/02/2007,51.2,28.6,21.8,24.14,86.5,1,Não ciclo
3,16/02/2007,57.8,24.4,20.8,22.56,91.75,1,Não ciclo
4,13/07/2007,0.0,32.1,18.2,24.4,54.25,1,Não ciclo
5,31/03/2008,0.0,28.2,22.2,24.1,87.25,1,Não ciclo
6,11/04/2008,0.0,31.4,19.6,25.6,60.75,3,Não ciclo
7,16/04/2008,0.0,31.7,21.6,26.34,58.75,1,Não ciclo
8,22/04/2008,0.0,32.0,18.8,24.86,65.5,2,Não ciclo
9,22/10/2008,0.0,35.8,23.0,29.26,42.5,1,Não ciclo
10,31/10/2008,0.0,38.9,21.8,30.44,37.0,1,Não ciclo
11,26/11/2008,0.0,34.4,21.8,27.86,57.25,1,Não ciclo
12,17/12/2008,7.4,33.4,19.8,25.48,77.5,1,Não ciclo
13,19/02/2009,0.0,30.2,23.0,25.86,69.0,1,Não ciclo
14,20/02/2009,0.0,33.6,21.8,27.68,59.5,2,Não ciclo
15,24/02/2009,3.0,34.0,21.2,26.34,57.5,2,Não ciclo
16,25/02/2009,0.0,35.2,21.8,28.14,47.0,1,Não ciclo
17,26/02/2009,0.0,35.1,20.2,26.66,57.75,1,Não ciclo
18,05/03/2009,0.0,34.8,23.0,28.06,64.25,3,Não ciclo
19,07/03/2009,0.7,31.2,22.6,25.54,77.0,1,Não ciclo
20,09/03/2009,0.0,35.2,21.8,28.22,46.25,1,Não ciclo
21,11/03/2009,0.0,35.9,24.0,28.4,50.25,4,Não ciclo
22,12/03/2009,0.0,35.2,19.8,27.3,51.25,1,Não ciclo
23,13/03/2009,0.0,35.2,21.4,28.28,47.25,1,Não ciclo
24,14/03/2009,0.0,35.6,22.2,27.94,58.5,2,Não ciclo
25,15/03/2009,55.4,33.8,21.2,25.32,85.25,1,Não ciclo
26,16/03/2009,0.0,31.8,21.2,25.62,74.5,1,Não ciclo
27,17/03/2009,0.0,33.0,22.5,26.78,61.5,1,Não ciclo
28,18/03/2009,4.0,32.0,21.8,26.46,63.25,1,Não ciclo
29,23/03/2009,2.2,32.8,23.0,26.34,72.5,1,Não ciclo
30,24/03/2009,56.8,29.2,20.8,24.56,81.0,1,Não ciclo
31,26/03/2009,0.4,33.2,22.2,26.0,68.5,1,Não ciclo
32,27/03/2009,31.0,29.8,21.0,24.68,75.75,2,Não ciclo
33,01/04/2009,0.0,32.2,21.8,26.3,75.75,1,Não ciclo
34,03/04/2009,44.4,29.2,21.2,24.5,80.5,1,Não ciclo
35,08/04/2009,0.0,32.8,22.8,27.62,63.75,1,Não ciclo
36,13/04/2009,0.0,30.6,22.1,25.66,69.5,2,Não ciclo
37,14/04/2009,0.0,32.2,21.8,26.66,68.0,1,Não ciclo
38,15/04/2009,1.2,31.8,21.8,26.46,66.5,3,Não ciclo
39,16/04/2009,0.0,31.6,21.8,26.18,62.75,1,Não ciclo
40,18/04/2009,0.0,30.6,20.7,25.32,64.75,1,Não ciclo
41,22/04/2009,0.0,31.1,22.6,25.84,65.75,3,Não ciclo
42,24/04/2009,0.0,31.0,23.4,25.76,62.5,1,Não ciclo
43,30/04/2009,0.0,30.4,21.0,25.1,75.0,1,Não ciclo
44,03/05/2009,0.0,27.6,21.0,23.46,78.75,1,Não ciclo
45,04/05/2009,0.0,30.2,21.8,25.54,72.25,1,Não ciclo
46,05/05/2009,0.0,31.1,21.8,24.72,76.0,2,Não ciclo
47,18/05/2009,4.7,30.0,21.6,24.66,68.75,1,Não ciclo
48,19/05/2009,0.0,27.8,20.6,23.76,70.0,2,Não ciclo
49,20/05/2009,0.0,27.9,19.5,24.0,59.0,1,Não ciclo
50,21/05/2009,0.0,30.0,19.0,24.38,59.0,1,Não ciclo
51,25/05/2009,0.0,31.2,17.6,23.86,67.25,1,Não ciclo
52,26/05/2009,0.0,30.2,21.8,24.46,73.5,2,Não ciclo
53,28/05/2009,0.0,31.6,19.4,25.22,63.75,1,Não ciclo
54,02/06/2009,0.0,33.2,20.6,26.68,63.0,1,Não ciclo
55,04/06/2009,0.0,30.3,20.2,24.6,67.0,3,Não ciclo
56,05/06/2009,0.0,31.2,19.6,24.5,68.75,3,Não ciclo
