,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,10/01/2001,0.0,33.1,18.4,24.38,75.75,1,Não ciclo
1,14/01/2001,0.0,33.3,18.5,25.84,66.75,1,Não ciclo
2,16/01/2001,0.0,31.5,18.8,24.42,72.25,2,Não ciclo
3,17/01/2001,0.0,31.4,19.0,24.06,75.0,5,Não ciclo
4,18/01/2001,0.0,32.1,15.8,23.26,77.25,1,Não ciclo
5,22/01/2001,4.0,31.1,20.1,24.06,82.25,2,Não ciclo
6,23/01/2001,0.0,28.1,21.0,23.74,92.75,8,Não ciclo
7,24/01/2001,0.0,32.0,20.5,25.62,81.0,4,Não ciclo
8,26/01/2001,0.0,33.5,19.8,25.5,75.5,4,Não ciclo
9,29/01/2001,0.0,34.3,20.4,26.76,75.25,10,Ciclo
10,30/01/2001,0.0,33.1,20.0,26.32,76.25,15,Ciclo
11,31/01/2001,0.0,34.1,21.0,25.78,68.5,11,Ciclo
12,01/02/2001,1.5,32.5,19.4,24.46,82.0,1,Ciclo
13,02/02/2001,0.0,34.0,19.7,24.86,82.0,1,Ciclo
14,05/02/2001,0.0,34.9,21.1,27.22,71.0,10,Ciclo
15,06/02/2001,0.0,36.5,20.3,27.9,68.5,16,Ciclo
16,07/02/2001,0.0,36.2,21.4,27.0,75.75,2,Ciclo
17,09/02/2001,14.8,33.6,22.3,26.64,78.25,39,Ciclo
18,10/02/2001,0.0,33.8,22.3,27.06,77.5,20,Ciclo
19,12/02/2001,0.0,34.6,20.5,26.4,70.75,8,Ciclo
20,13/02/2001,0.0,35.7,19.2,25.96,70.25,7,Ciclo
21,14/02/2001,0.0,32.5,22.5,25.9,78.25,7,Ciclo
22,15/02/2001,1.0,32.1,20.3,24.5,81.0,8,Ciclo
23,16/02/2001,0.0,32.1,21.2,25.5,82.0,4,Ciclo
24,17/02/2001,1.7,33.6,21.2,25.42,80.25,1,Ciclo
25,19/02/2001,0.0,33.6,20.7,25.64,68.75,8,Ciclo
26,20/02/2001,2.2,33.4,20.8,24.76,77.75,13,Ciclo
27,22/02/2001,13.3,31.5,19.8,23.52,84.0,4,Ciclo
28,23/02/2001,0.0,34.6,19.2,25.24,78.5,2,Ciclo
29,28/02/2001,4.3,29.8,19.5,24.34,81.75,1,Ciclo
30,01/03/2001,0.0,31.6,21.5,25.52,78.5,2,Ciclo
