,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,25/02/2002,0.0,30.4,18.6,24.18,61.25,1,Não ciclo
1,04/03/2002,0.0,28.0,18.2,21.3,80.75,4,Não ciclo
2,18/03/2002,0.0,29.0,19.2,23.44,62.75,2,Não ciclo
3,04/04/2002,0.0,26.7,18.3,21.74,67.5,2,Não ciclo
4,23/04/2002,3.4,25.6,18.5,22.98,74.75,1,Não ciclo
5,25/04/2002,0.2,26.5,17.6,21.88,71.75,1,Não ciclo
6,13/11/2002,0.0,27.6,17.4,22.84,48.75,2,Não ciclo
7,19/11/2002,0.0,32.0,18.2,24.7,51.75,1,Não ciclo
8,21/11/2002,0.0,30.8,19.6,24.9,54.0,1,Não ciclo
9,26/11/2002,0.0,30.6,17.7,24.44,41.5,1,Não ciclo
10,09/12/2002,31.0,25.6,15.6,20.78,91.75,1,Não ciclo
11,13/12/2002,0.0,30.0,19.2,23.8,64.75,2,Não ciclo
12,24/12/2002,0.0,32.9,22.0,26.92,58.75,2,Não ciclo
13,30/12/2002,42.0,26.2,15.0,20.54,87.5,2,Não ciclo
14,10/01/2003,0.0,30.0,19.9,24.6,62.75,1,Não ciclo
15,13/01/2003,1.9,29.6,22.2,23.86,79.5,2,Não ciclo
16,15/01/2003,0.8,25.0,19.8,21.66,87.5,1,Não ciclo
17,17/01/2003,3.0,29.4,19.0,22.66,80.0,2,Não ciclo
18,23/01/2003,0.0,27.6,19.2,22.18,76.25,2,Não ciclo
19,26/01/2003,0.0,27.6,19.4,22.7,61.5,1,Não ciclo
20,28/01/2003,4.0,28.2,19.0,22.86,79.75,2,Não ciclo
21,29/01/2003,0.0,29.0,17.0,22.86,82.0,1,Não ciclo
22,30/01/2003,9.2,27.8,15.0,21.74,72.25,4,Ciclo
23,31/01/2003,1.8,28.0,17.3,21.88,69.25,4,Ciclo
24,03/02/2003,0.0,26.4,18.4,21.98,77.0,2,Ciclo
25,04/02/2003,0.0,27.9,19.0,22.2,74.75,3,Ciclo
26,05/02/2003,0.0,28.8,19.4,23.3,64.25,3,Ciclo
27,06/02/2003,0.0,29.3,18.3,23.7,60.5,4,Ciclo
28,07/02/2003,0.0,28.7,18.4,23.08,62.0,5,Ciclo
29,10/02/2003,0.0,29.4,18.2,22.94,53.75,2,Ciclo
30,11/02/2003,0.0,28.8,19.2,23.42,58.5,5,Ciclo
31,12/02/2003,0.0,29.4,19.0,23.9,41.0,5,Ciclo
32,13/02/2003,0.0,29.7,19.2,23.52,53.75,13,Ciclo
33,14/02/2003,0.0,29.2,18.8,23.66,58.5,4,Ciclo
34,17/02/2003,0.0,32.0,20.4,25.58,47.75,7,Ciclo
35,18/02/2003,0.0,30.2,20.8,24.26,63.0,19,Ciclo
36,19/02/2003,0.0,31.5,20.5,25.42,40.0,7,Ciclo
37,20/02/2003,0.0,31.0,19.6,24.94,48.75,13,Ciclo
38,21/02/2003,0.0,30.2,19.4,24.3,47.25,10,Ciclo
39,23/02/2003,0.0,29.4,18.6,23.26,57.75,1,Ciclo
40,24/02/2003,8.2,27.6,18.6,21.86,77.0,11,Ciclo
41,25/02/2003,0.2,30.0,18.7,24.3,49.25,7,Ciclo
42,26/02/2003,0.0,31.2,17.5,24.72,48.75,12,Ciclo
43,27/02/2003,0.0,32.3,19.9,25.94,52.5,3,Ciclo
44,28/02/2003,0.0,31.8,20.4,25.54,47.75,8,Ciclo
45,01/03/2003,0.0,29.6,19.3,24.16,58.0,7,Ciclo
46,03/03/2003,0.0,30.4,18.8,23.9,62.75,4,Ciclo
47,04/03/2003,0.0,30.5,19.6,24.88,49.25,7,Ciclo
48,05/03/2003,0.0,30.6,19.5,24.12,58.5,11,Ciclo
49,06/03/2003,0.0,30.0,18.6,24.12,49.75,23,Ciclo
50,07/03/2003,0.0,31.3,19.3,24.22,59.0,9,Ciclo
51,10/03/2003,0.0,29.5,19.7,24.34,58.5,18,Ciclo
52,11/03/2003,0.0,31.2,20.4,24.18,64.5,6,Ciclo
53,12/03/2003,0.0,31.1,19.2,24.1,66.75,11,Ciclo
54,13/03/2003,0.6,30.6,20.4,23.92,78.25,1,Ciclo
55,14/03/2003,7.8,29.4,20.6,23.8,76.25,3,Ciclo
56,15/03/2003,0.0,31.4,19.9,25.42,53.25,1,Ciclo
57,17/03/2003,0.0,30.6,19.2,24.34,46.0,11,Ciclo
58,18/03/2003,0.0,28.8,19.2,23.06,80.0,3,Ciclo
59,19/03/2003,0.4,29.5,19.4,23.84,58.0,3,Ciclo
60,20/03/2003,0.0,28.5,19.6,23.4,61.25,4,Ciclo
61,21/03/2003,0.0,29.7,19.2,23.96,53.75,13,Ciclo
62,22/03/2003,0.0,31.5,20.0,25.4,51.75,1,Ciclo
63,24/03/2003,72.4,28.7,19.0,22.36,81.25,3,Ciclo
64,25/03/2003,2.3,28.4,19.7,23.76,65.75,6,Ciclo
65,26/03/2003,0.0,27.8,19.9,23.24,69.75,3,Ciclo
66,27/03/2003,0.0,27.4,19.3,23.54,60.25,21,Ciclo
67,28/03/2003,0.0,30.0,19.2,24.38,60.0,22,Ciclo
68,31/03/2003,0.0,29.8,20.8,24.3,55.0,4,Ciclo
69,01/04/2003,0.0,29.8,20.8,25.06,57.0,1,Ciclo
70,02/04/2003,0.0,30.0,19.8,24.38,55.75,23,Ciclo
71,03/04/2003,0.0,30.3,20.0,24.96,50.75,1,Ciclo
72,04/04/2003,0.0,30.0,19.4,24.06,50.25,1,Ciclo
73,07/04/2003,0.0,32.4,22.0,26.5,62.75,1,Ciclo
74,08/04/2003,29.4,26.2,19.9,21.74,88.5,1,Ciclo
75,10/04/2003,0.0,30.2,20.4,25.06,59.0,1,Não ciclo
76,11/04/2003,0.0,31.0,19.8,25.32,58.75,8,Não ciclo
77,14/04/2003,0.0,26.8,17.5,21.52,72.5,1,Não ciclo
78,15/04/2003,0.6,25.3,18.2,20.52,76.75,4,Não ciclo
79,16/04/2003,0.0,27.2,18.6,21.94,65.5,1,Não ciclo
80,22/04/2003,0.0,27.4,17.3,22.36,58.25,1,Não ciclo
81,23/04/2003,7.6,26.2,17.0,20.22,79.0,1,Não ciclo
82,30/04/2003,0.0,29.5,19.4,23.68,53.5,4,Ciclo
83,16/05/2003,1.0,25.8,16.4,19.54,72.25,1,Ciclo
84,26/05/2003,0.0,31.5,15.8,23.92,55.0,3,Ciclo
85,28/05/2003,0.0,26.4,18.4,21.54,74.75,1,Ciclo
86,30/05/2003,0.0,26.4,16.4,20.62,61.0,4,Ciclo
87,27/04/2005,0.0,28.4,20.0,22.66,82.5,1,Ciclo
88,20/05/2005,0.0,28.8,15.6,21.94,49.75,1,Não ciclo
89,24/05/2005,0.0,30.4,17.6,23.86,62.0,1,Não ciclo
90,04/08/2005,1.2,25.2,15.0,18.98,65.5,1,Não ciclo
91,15/08/2005,0.0,26.8,15.8,21.02,51.75,1,Não ciclo
92,24/08/2005,0.0,26.0,16.2,20.34,61.75,1,Não ciclo
93,01/09/2005,0.0,28.6,16.8,22.62,40.75,1,Não ciclo
94,11/05/2006,0.0,27.4,16.7,21.24,72.0,1,Não ciclo
95,04/09/2006,0.0,34.3,18.2,26.4,40.0,1,Não ciclo
96,12/01/2007,2.8,29.8,20.0,23.82,73.25,1,Não ciclo
97,15/01/2007,0.2,30.2,20.4,23.62,75.0,1,Não ciclo
98,30/01/2007,3.0,28.3,19.2,22.6,78.75,1,Não ciclo
99,20/02/2007,0.2,28.2,19.6,22.58,78.25,1,Não ciclo
100,06/03/2007,0.0,25.9,18.4,21.12,83.0,1,Não ciclo
101,08/03/2007,0.0,26.2,17.6,21.14,75.25,1,Não ciclo
102,12/04/2007,0.0,26.8,18.0,21.38,67.25,1,Não ciclo
103,16/04/2007,0.0,26.6,18.7,22.24,69.25,2,Não ciclo
104,17/04/2007,0.0,27.1,18.0,21.88,69.5,1,Não ciclo
105,18/04/2007,0.0,27.6,19.2,22.44,72.5,2,Não ciclo
106,02/05/2007,0.0,28.3,19.1,22.42,61.25,2,Não ciclo
107,04/05/2007,0.0,27.0,17.2,20.9,57.75,1,Não ciclo
108,30/05/2007,0.0,30.2,19.6,24.02,59.75,1,Não ciclo
109,15/06/2007,0.0,25.7,16.3,20.34,62.5,1,Não ciclo
110,18/06/2007,0.0,25.7,15.3,19.14,64.75,2,Não ciclo
111,03/08/2007,0.0,25.2,14.7,19.44,57.25,2,Não ciclo
112,16/08/2007,0.5,24.0,13.8,18.8,62.75,2,Não ciclo
113,03/09/2007,0.0,26.0,15.0,20.3,60.5,1,Não ciclo
114,04/09/2007,0.0,25.8,15.2,20.98,51.25,1,Não ciclo
115,19/09/2007,0.0,27.6,16.6,21.28,51.0,1,Não ciclo
116,16/10/2007,0.0,30.6,16.0,22.98,45.25,2,Não ciclo
117,05/12/2007,0.0,25.4,20.0,23.5,68.5,1,Não ciclo
118,13/12/2007,0.0,28.0,16.6,22.34,50.5,1,Não ciclo
119,14/12/2007,0.0,30.4,16.4,23.74,52.75,1,Não ciclo
120,20/12/2007,22.6,28.4,19.0,22.98,81.25,1,Não ciclo
121,24/03/2008,0.0,28.2,18.3,22.48,65.0,1,Não ciclo
122,28/03/2008,3.4,24.6,18.8,20.46,94.25,1,Não ciclo
123,31/03/2008,9.4,28.2,18.7,22.72,75.25,1,Não ciclo
124,02/04/2008,0.0,26.7,19.1,22.22,75.0,2,Não ciclo
125,03/04/2008,0.0,28.1,19.7,23.14,72.25,1,Não ciclo
126,07/04/2008,0.4,27.6,19.2,22.62,78.5,2,Não ciclo
127,10/04/2008,0.0,29.4,20.0,23.26,63.5,2,Não ciclo
128,13/04/2008,0.0,29.6,20.4,24.34,64.0,1,Não ciclo
129,14/04/2008,0.0,29.6,19.0,24.06,72.25,1,Não ciclo
130,15/04/2008,0.3,28.8,20.6,23.86,70.25,1,Não ciclo
131,16/04/2008,0.0,28.0,19.7,22.56,71.0,4,Ciclo
132,17/04/2008,0.0,26.2,18.8,21.46,76.0,4,Ciclo
133,18/04/2008,0.0,27.6,19.0,22.4,68.25,3,Ciclo
134,19/04/2008,0.0,27.6,18.3,22.72,58.75,1,Ciclo
135,21/04/2008,0.0,27.3,18.8,22.16,65.25,1,Ciclo
136,22/04/2008,0.0,28.0,17.2,21.82,67.5,2,Ciclo
137,23/04/2008,0.0,29.8,16.4,22.38,59.75,1,Não ciclo
138,24/04/2008,0.0,29.0,19.6,24.22,58.0,2,Não ciclo
139,29/04/2008,0.0,28.0,19.4,22.72,70.0,2,Não ciclo
140,30/04/2008,0.0,28.4,17.8,22.8,64.5,3,Não ciclo
141,02/05/2008,0.0,24.8,17.6,20.7,76.25,2,Não ciclo
142,06/05/2008,0.0,30.6,17.6,24.7,52.25,4,Não ciclo
143,07/05/2008,0.0,30.2,20.4,24.22,55.0,2,Não ciclo
144,08/05/2008,0.0,28.8,19.6,23.38,62.25,1,Não ciclo
145,12/05/2008,0.0,25.4,16.6,20.38,61.75,3,Não ciclo
146,13/05/2008,0.0,24.2,16.0,19.34,67.75,3,Não ciclo
147,16/05/2008,0.0,27.6,18.2,21.82,67.5,1,Não ciclo
148,19/05/2008,0.0,27.2,15.0,20.42,60.25,1,Não ciclo
149,20/05/2008,0.0,27.5,14.6,20.8,54.75,1,Não ciclo
150,21/05/2008,0.0,26.0,15.3,19.88,58.25,1,Não ciclo
151,23/05/2008,0.0,28.4,16.6,21.94,53.75,1,Não ciclo
152,24/05/2008,0.0,28.6,16.3,22.4,53.25,1,Não ciclo
153,26/05/2008,0.0,29.0,17.6,22.82,55.25,1,Não ciclo
154,29/05/2008,0.0,26.8,16.4,21.18,61.25,2,Não ciclo
155,30/05/2008,0.0,27.9,16.1,21.58,61.5,2,Não ciclo
156,02/06/2008,0.0,23.8,16.6,19.58,70.0,1,Não ciclo
157,04/06/2008,0.0,24.2,16.8,19.46,74.25,3,Não ciclo
158,05/06/2008,0.0,25.6,16.6,20.7,65.5,2,Não ciclo
159,06/06/2008,0.0,26.8,16.8,20.86,69.5,2,Não ciclo
160,09/06/2008,0.0,26.2,17.4,20.7,57.25,1,Não ciclo
161,26/06/2008,0.0,23.4,15.7,19.7,63.75,2,Não ciclo
162,27/06/2008,0.0,23.6,15.8,18.78,69.5,1,Não ciclo
163,27/01/2009,0.0,29.2,19.6,23.34,67.0,1,Não ciclo
164,12/02/2009,0.0,32.3,19.0,25.12,56.0,1,Não ciclo
165,16/02/2009,0.0,27.8,18.7,22.88,66.75,1,Não ciclo
166,17/02/2009,0.0,29.1,18.5,23.66,59.25,1,Não ciclo
167,09/03/2009,0.0,30.2,19.2,24.9,54.5,1,Não ciclo
168,10/03/2009,0.0,30.4,18.8,24.38,53.25,1,Não ciclo
169,11/03/2009,0.0,31.5,19.3,25.02,43.75,1,Não ciclo
170,12/03/2009,0.0,30.5,19.6,24.76,48.0,2,Não ciclo
171,19/03/2009,22.5,27.5,20.4,22.88,83.5,1,Não ciclo
172,23/03/2009,3.0,26.6,19.6,22.7,83.25,1,Não ciclo
173,24/03/2009,0.0,28.0,20.0,22.66,91.5,1,Não ciclo
174,25/03/2009,54.6,24.0,20.6,22.02,88.0,2,Não ciclo
175,26/03/2009,6.6,28.6,19.7,23.24,85.25,2,Não ciclo
176,30/03/2009,4.0,28.7,21.2,23.62,83.25,4,Não ciclo
177,31/03/2009,0.0,28.2,20.6,24.22,71.25,4,Não ciclo
178,05/04/2009,18.4,27.8,19.8,22.56,88.5,1,Não ciclo
179,07/04/2009,0.0,29.0,19.0,23.14,74.25,1,Não ciclo
180,13/04/2009,16.6,23.4,18.7,20.4,95.75,1,Não ciclo
181,15/04/2009,0.0,27.4,19.5,22.34,77.25,2,Não ciclo
182,16/04/2009,0.0,26.6,18.4,22.26,78.25,1,Não ciclo
183,20/04/2009,0.0,26.0,19.0,21.82,75.25,4,Ciclo
184,22/04/2009,0.3,25.2,17.8,20.86,72.5,4,Ciclo
185,27/04/2009,0.0,29.0,19.4,23.74,72.0,4,Ciclo
186,01/05/2009,0.0,22.4,18.9,20.52,77.0,1,Ciclo
187,05/05/2009,0.0,22.4,18.2,19.82,92.0,1,Ciclo
188,11/05/2009,0.0,26.0,17.8,20.7,68.75,2,Ciclo
189,13/05/2009,0.0,26.4,16.2,20.78,67.0,3,Ciclo
190,25/05/2009,0.0,24.4,13.8,18.76,70.0,1,Ciclo
191,03/06/2009,3.0,23.6,19.2,20.66,90.5,2,Não ciclo
192,15/06/2009,0.0,23.0,16.5,18.98,86.0,1,Não ciclo
193,01/07/2009,0.0,26.2,14.4,19.76,62.5,1,Não ciclo
194,10/08/2009,0.0,27.8,16.4,21.04,54.0,1,Não ciclo
195,05/02/2010,0.0,32.0,20.6,23.82,68.75,1,Não ciclo
196,11/02/2010,0.0,29.8,18.5,23.4,62.25,1,Não ciclo
197,12/02/2010,0.0,26.6,18.6,22.22,68.25,1,Não ciclo
198,15/02/2010,0.4,32.5,19.8,24.9,58.5,1,Não ciclo
199,25/02/2010,0.0,33.7,18.8,26.08,48.5,2,Não ciclo
200,01/03/2010,0.6,27.6,21.6,23.26,81.5,2,Não ciclo
201,02/03/2010,12.4,31.0,20.8,24.92,68.25,2,Não ciclo
202,04/03/2010,2.0,29.2,20.7,23.38,89.75,2,Não ciclo
203,08/03/2010,13.6,29.8,19.4,23.78,73.25,1,Não ciclo
204,09/03/2010,0.4,24.8,21.2,22.34,87.0,3,Não ciclo
205,11/03/2010,0.0,31.8,22.0,26.42,62.25,3,Não ciclo
206,15/03/2010,0.0,29.6,19.2,24.18,63.25,1,Não ciclo
207,16/03/2010,0.0,28.2,19.6,23.7,60.5,2,Não ciclo
208,18/03/2010,0.0,29.4,20.4,24.18,65.0,2,Não ciclo
209,22/03/2010,0.0,25.4,21.0,22.66,83.75,1,Não ciclo
210,23/03/2010,0.0,27.8,21.2,22.82,86.75,2,Não ciclo
211,24/03/2010,31.4,27.2,19.6,22.46,72.0,1,Não ciclo
212,26/03/2010,0.0,28.0,18.8,21.3,79.0,2,Não ciclo
213,29/03/2010,0.0,28.4,19.8,23.22,73.0,1,Não ciclo
214,30/03/2010,0.0,29.6,19.6,24.34,66.5,4,Não ciclo
215,03/04/2010,11.0,28.2,20.6,23.76,75.75,2,Não ciclo
216,04/04/2010,21.0,27.8,20.6,22.96,85.25,1,Não ciclo
217,05/04/2010,1.7,27.6,20.6,22.78,87.0,3,Não ciclo
218,08/04/2010,5.1,27.6,20.3,22.92,65.25,2,Não ciclo
219,09/04/2010,0.0,24.5,18.6,20.64,85.75,1,Não ciclo
220,11/04/2010,0.0,25.2,16.6,20.34,69.5,1,Não ciclo
221,12/04/2010,0.0,24.8,16.8,20.14,71.25,1,Não ciclo
222,13/04/2010,0.0,25.8,17.4,21.06,73.5,2,Não ciclo
223,14/04/2010,0.0,24.6,18.0,20.66,78.5,4,Não ciclo
224,17/04/2010,0.0,29.6,20.0,24.26,68.5,1,Não ciclo
225,20/04/2010,0.0,28.2,18.8,22.38,55.25,1,Não ciclo
226,22/04/2010,0.4,27.0,19.0,22.04,74.5,2,Não ciclo
227,24/04/2010,0.0,29.4,19.2,23.82,56.0,1,Não ciclo
228,26/04/2010,0.0,28.8,18.2,22.86,61.5,4,Não ciclo
229,30/04/2010,0.0,28.4,18.8,23.06,57.75,1,Não ciclo
230,03/05/2010,0.0,26.8,16.2,20.46,71.75,1,Não ciclo
231,04/05/2010,0.0,28.2,16.8,22.38,48.5,1,Não ciclo
232,06/05/2010,0.0,28.0,19.8,23.22,70.5,1,Não ciclo
233,17/05/2010,0.0,29.0,17.6,23.14,65.75,1,Não ciclo
234,18/05/2010,0.0,28.4,19.6,22.84,64.25,1,Não ciclo
235,19/05/2010,0.0,28.2,19.6,22.68,65.75,2,Não ciclo
236,20/05/2010,0.0,29.2,17.0,22.58,64.25,3,Não ciclo
237,24/05/2010,0.0,28.6,20.3,23.72,63.5,1,Não ciclo
238,25/05/2010,0.0,29.0,19.6,23.54,59.0,2,Não ciclo
239,27/05/2010,0.0,27.0,18.0,21.58,57.5,1,Não ciclo
240,31/05/2010,0.0,29.6,15.6,21.34,57.5,5,Não ciclo
241,01/06/2010,0.0,29.8,17.2,23.38,53.0,2,Não ciclo
242,02/06/2010,0.0,24.2,17.0,20.06,69.5,1,Não ciclo
243,04/06/2010,0.0,24.8,16.2,19.66,68.0,3,Ciclo
244,09/06/2010,0.0,26.4,16.3,20.62,58.0,3,Ciclo
245,10/06/2010,0.0,25.4,16.2,20.1,61.75,1,Ciclo
246,11/06/2010,0.0,28.0,15.4,20.94,53.25,1,Ciclo
247,14/06/2010,0.0,23.6,13.1,17.56,56.75,4,Ciclo
