,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,03/01/2001,0.0,29.9,21.0,26.46,76.5,1,Não ciclo
1,29/01/2001,0.0,30.3,22.1,26.84,76.25,1,Não ciclo
2,30/01/2001,0.0,30.5,23.0,26.78,73.75,1,Não ciclo
3,06/03/2001,4.3,29.1,23.0,26.1,86.0,2,Não ciclo
4,07/03/2001,0.8,30.2,22.1,27.12,76.75,1,Não ciclo
5,16/03/2001,0.6,30.5,22.0,26.16,82.75,1,Não ciclo
6,19/03/2001,0.0,30.4,19.9,26.62,72.75,2,Não ciclo
7,21/03/2001,0.0,30.5,22.3,26.08,79.5,1,Não ciclo
8,26/03/2001,0.3,30.4,22.5,26.96,79.0,1,Não ciclo
9,29/03/2001,0.5,30.6,22.1,27.04,72.75,1,Não ciclo
10,05/04/2001,0.8,29.8,21.2,25.4,84.75,1,Não ciclo
11,06/04/2001,7.0,29.5,22.4,26.28,75.5,1,Não ciclo
12,09/04/2001,0.2,29.7,21.2,26.16,76.25,2,Não ciclo
13,18/04/2001,0.9,29.5,21.1,24.8,84.75,1,Não ciclo
14,19/04/2001,6.5,29.6,20.9,25.36,80.25,1,Não ciclo
15,20/04/2001,27.0,28.4,21.6,25.4,82.25,1,Não ciclo
16,27/04/2001,0.5,29.4,20.6,24.76,85.5,1,Não ciclo
17,30/04/2001,3.8,28.2,20.8,24.06,91.0,6,Não ciclo
18,01/05/2001,3.5,30.0,20.6,25.44,83.5,1,Não ciclo
19,02/05/2001,3.3,29.6,22.5,26.98,72.5,4,Não ciclo
20,03/05/2001,0.9,28.8,21.2,24.22,94.25,1,Não ciclo
21,04/05/2001,6.3,28.9,20.8,24.3,80.0,1,Não ciclo
22,05/05/2001,0.0,29.2,19.0,25.24,80.25,1,Não ciclo
23,07/05/2001,0.9,28.4,21.7,24.54,90.5,3,Não ciclo
24,08/05/2001,0.3,28.7,21.9,25.2,84.5,1,Não ciclo
25,09/05/2001,0.0,28.4,21.6,24.78,83.25,1,Não ciclo
26,10/05/2001,0.0,29.1,21.0,25.7,82.0,1,Não ciclo
27,14/05/2001,0.0,29.0,22.1,24.78,86.75,2,Não ciclo
28,15/05/2001,0.0,27.3,20.8,23.86,88.75,2,Não ciclo
29,16/05/2001,28.3,26.0,20.2,22.88,92.5,1,Não ciclo
30,22/05/2001,0.0,27.6,18.0,22.36,80.5,1,Não ciclo
31,23/05/2001,0.0,28.1,17.9,22.72,84.0,1,Não ciclo
32,24/05/2001,0.0,28.2,18.9,23.32,87.25,1,Não ciclo
33,28/05/2001,16.1,26.8,21.4,24.18,92.75,3,Não ciclo
34,29/05/2001,22.4,25.5,21.4,23.58,94.75,1,Não ciclo
35,31/05/2001,15.4,28.2,20.5,23.9,87.0,1,Não ciclo
36,18/06/2001,0.0,27.5,18.1,22.32,83.3,1,Não ciclo
37,22/06/2001,4.0,25.8,19.8,22.32,87.5,1,Não ciclo
38,12/07/2001,0.6,27.0,19.1,23.4,85.3,1,Não ciclo
39,30/07/2001,0.2,24.9,18.9,21.44,91.0,1,Não ciclo
40,21/09/2001,12.3,26.5,19.8,22.42,77.3,1,Não ciclo
41,12/11/2001,0.0,30.2,19.4,25.86,80.25,1,Não ciclo
42,25/02/2002,0.0,30.3,23.5,26.74,76.75,1,Não ciclo
43,27/02/2002,0.0,30.0,20.5,25.94,73.25,3,Não ciclo
44,01/03/2002,0.8,30.8,22.6,26.16,80.25,1,Não ciclo
45,04/03/2002,38.0,30.4,21.8,25.82,86.0,1,Não ciclo
46,05/03/2002,7.8,26.5,22.8,23.94,91.5,1,Não ciclo
47,06/03/2002,40.3,30.4,22.4,26.78,77.75,2,Não ciclo
48,07/03/2002,0.6,30.0,21.7,25.38,77.75,5,Não ciclo
49,11/03/2002,19.5,29.6,22.8,25.76,84.0,1,Não ciclo
50,13/03/2002,7.8,29.8,22.4,26.36,80.75,1,Não ciclo
51,14/03/2002,3.4,30.4,21.4,26.64,71.0,1,Não ciclo
52,19/03/2002,1.4,30.4,22.9,26.22,85.25,1,Não ciclo
53,26/03/2002,0.0,30.0,22.9,27.3,72.75,1,Não ciclo
54,03/04/2002,2.2,29.6,23.2,26.24,76.5,1,Não ciclo
55,04/04/2002,0.0,27.8,21.0,24.76,83.0,1,Não ciclo
56,05/04/2002,2.2,29.7,24.0,25.74,84.25,1,Não ciclo
57,15/04/2002,0.0,30.4,21.6,26.3,75.75,1,Não ciclo
58,17/04/2002,8.2,29.5,22.9,25.3,84.25,1,Não ciclo
59,23/04/2002,11.2,29.8,22.0,24.88,87.5,2,Não ciclo
60,24/04/2002,18.5,29.8,22.0,25.24,84.25,1,Não ciclo
61,25/04/2002,4.3,29.5,22.4,25.38,86.0,1,Não ciclo
62,29/04/2002,0.0,29.5,19.3,24.08,81.0,1,Não ciclo
63,09/05/2002,0.0,27.2,20.2,24.56,80.5,1,Não ciclo
64,15/05/2002,2.2,28.5,21.4,24.26,85.5,1,Não ciclo
65,17/10/2002,1.6,28.6,20.1,24.82,76.0,11,Não ciclo
66,07/11/2002,0.3,26.9,20.7,23.0,86.25,1,Não ciclo
67,09/11/2002,0.0,27.8,20.8,24.18,85.75,1,Não ciclo
68,11/11/2002,0.3,29.0,22.0,26.08,80.0,1,Não ciclo
69,13/11/2002,0.0,29.0,20.5,25.68,73.25,2,Não ciclo
70,29/11/2002,0.0,29.9,21.7,26.18,81.25,1,Não ciclo
71,11/12/2002,4.6,29.9,24.0,26.7,85.25,1,Não ciclo
72,18/12/2002,0.0,30.6,23.5,27.36,82.0,4,Não ciclo
73,07/01/2003,0.0,30.5,24.9,27.26,81.0,1,Não ciclo
74,09/01/2003,0.0,31.2,22.9,26.98,87.0,1,Não ciclo
75,10/01/2003,0.0,30.8,23.2,27.0,82.25,1,Não ciclo
