,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,01/01/2001,0.0,30.4,23.8,26.98,78.25,1,Não ciclo
1,06/01/2001,2.1,30.3,21.5,25.28,76.5,1,Não ciclo
2,25/02/2001,13.4,29.4,23.0,26.5,82.0,1,Não ciclo
3,02/03/2001,0.0,28.3,22.9,25.54,87.0,1,Não ciclo
4,14/03/2001,3.3,30.2,23.1,26.76,77.25,1,Não ciclo
5,15/03/2001,0.0,29.6,23.7,26.48,80.0,1,Não ciclo
6,16/03/2001,1.4,29.8,22.8,26.2,85.25,1,Não ciclo
7,17/03/2001,0.5,30.5,22.9,26.3,80.0,2,Não ciclo
8,19/03/2001,0.0,31.3,22.3,26.2,77.75,1,Não ciclo
9,21/03/2001,0.2,30.5,23.5,26.96,75.0,1,Não ciclo
10,23/03/2001,2.3,30.7,23.2,25.72,82.25,1,Não ciclo
11,24/03/2001,1.0,31.2,22.7,26.9,82.75,2,Não ciclo
12,25/03/2001,0.0,32.2,24.0,27.66,74.75,2,Não ciclo
13,29/03/2001,0.0,30.2,22.2,26.54,72.75,2,Não ciclo
14,31/03/2001,2.6,30.4,22.6,26.34,79.25,1,Não ciclo
15,01/04/2001,7.4,29.2,22.0,25.6,85.0,2,Não ciclo
16,02/04/2001,1.8,31.0,22.3,26.22,77.25,4,Não ciclo
17,03/04/2001,0.1,31.0,22.9,26.26,81.0,5,Não ciclo
18,04/04/2001,4.1,30.0,23.5,26.4,77.5,1,Não ciclo
19,05/04/2001,23.0,29.2,22.6,25.52,86.75,2,Não ciclo
20,06/04/2001,11.9,29.4,22.7,26.2,79.5,1,Não ciclo
21,07/04/2001,0.2,30.1,21.4,25.9,79.0,1,Não ciclo
22,08/04/2001,0.0,29.4,22.1,25.92,79.5,1,Não ciclo
23,10/04/2001,2.6,30.8,22.8,26.3,80.25,2,Não ciclo
24,11/04/2001,0.0,30.8,21.4,26.12,74.75,2,Não ciclo
25,12/04/2001,0.0,30.4,21.4,25.82,75.5,3,Não ciclo
26,13/04/2001,5.5,28.4,22.7,25.7,84.5,2,Não ciclo
27,14/04/2001,1.8,27.0,22.1,24.64,93.5,5,Não ciclo
28,15/04/2001,2.2,27.8,21.8,25.14,88.0,7,Não ciclo
29,16/04/2001,0.2,28.6,22.2,25.5,86.5,3,Não ciclo
30,17/04/2001,0.0,28.3,22.8,25.18,90.25,4,Não ciclo
31,18/04/2001,1.1,27.8,21.6,25.58,72.75,5,Não ciclo
32,19/04/2001,0.0,29.4,19.9,24.62,80.5,4,Não ciclo
33,20/04/2001,0.0,30.2,20.8,25.44,79.0,8,Não ciclo
34,22/04/2001,0.0,30.5,22.5,27.1,76.25,10,Não ciclo
35,23/04/2001,0.3,30.3,23.0,26.1,77.0,7,Não ciclo
36,24/04/2001,2.7,29.5,22.4,25.44,82.5,6,Não ciclo
37,25/04/2001,0.1,28.6,22.1,25.06,84.25,7,Não ciclo
38,26/04/2001,12.9,29.2,22.9,25.36,85.0,10,Ciclo
39,27/04/2001,3.8,28.0,22.1,25.66,80.25,8,Ciclo
40,28/04/2001,3.1,28.2,22.4,25.58,81.0,21,Ciclo
41,29/04/2001,2.6,28.8,21.2,25.64,79.75,10,Ciclo
42,30/04/2001,4.7,28.0,22.3,25.54,87.25,13,Ciclo
43,01/05/2001,4.0,29.5,23.9,26.76,79.25,4,Ciclo
44,02/05/2001,4.6,29.7,23.4,26.4,79.0,19,Ciclo
45,03/05/2001,0.0,29.2,21.8,25.56,85.5,19,Ciclo
46,04/05/2001,0.0,29.7,21.1,25.18,77.5,19,Ciclo
47,05/05/2001,0.0,29.4,20.5,25.7,76.0,21,Ciclo
48,06/05/2001,0.0,28.3,23.0,25.88,82.5,12,Ciclo
49,07/05/2001,0.0,26.8,21.6,24.76,79.5,22,Ciclo
50,08/05/2001,0.0,26.9,22.3,24.42,83.0,21,Ciclo
51,09/05/2001,0.0,27.3,20.9,23.8,81.75,17,Ciclo
52,10/05/2001,0.0,30.5,20.4,25.16,83.5,15,Ciclo
53,11/05/2001,0.0,30.2,21.9,26.14,92.25,13,Ciclo
54,12/05/2001,0.0,32.0,23.8,27.74,82.25,12,Ciclo
55,13/05/2001,0.0,30.5,22.5,25.96,82.5,11,Ciclo
56,14/05/2001,19.4,26.4,21.6,24.78,87.25,12,Ciclo
57,15/05/2001,0.0,26.4,21.7,24.26,89.25,9,Ciclo
58,16/05/2001,5.6,27.0,22.5,23.98,81.5,10,Ciclo
59,17/05/2001,1.2,30.0,21.0,25.6,85.5,6,Ciclo
60,18/05/2001,0.0,32.4,23.2,26.64,84.75,5,Ciclo
61,19/05/2001,0.0,26.6,22.8,24.76,73.0,5,Ciclo
62,20/05/2001,0.0,25.8,22.2,23.72,80.75,7,Ciclo
63,21/05/2001,5.2,26.3,20.1,23.2,72.75,12,Ciclo
64,22/05/2001,0.4,25.4,19.3,22.76,79.25,7,Ciclo
65,23/05/2001,0.2,26.4,18.9,22.94,87.75,8,Ciclo
66,24/05/2001,0.0,25.8,20.4,23.72,85.25,2,Ciclo
67,25/05/2001,0.0,28.4,20.5,23.66,83.75,5,Não ciclo
68,26/05/2001,25.5,26.2,20.2,23.44,94.0,5,Não ciclo
69,28/05/2001,78.0,26.0,21.3,23.9,94.75,2,Não ciclo
70,30/05/2001,4.6,27.6,21.8,24.52,88.75,4,Não ciclo
71,31/05/2001,6.0,27.3,21.6,24.38,89.0,2,Não ciclo
72,01/06/2001,0.0,27.4,22.1,24.86,83.5,7,Não ciclo
73,02/06/2001,8.9,26.2,22.3,23.82,92.25,6,Não ciclo
74,03/06/2001,23.1,27.0,21.7,25.02,78.25,8,Ciclo
75,04/06/2001,4.2,27.3,22.4,24.54,87.5,8,Ciclo
76,05/06/2001,4.8,27.3,21.5,24.2,76.75,11,Ciclo
