,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,17/04/2001,0.0,33.0,20.2,26.22,59.5,3,Não ciclo
1,22/04/2001,0.0,35.6,20.0,27.04,54.75,1,Não ciclo
2,25/04/2001,0.0,32.4,20.2,25.76,49.25,1,Não ciclo
3,26/04/2001,0.0,32.5,22.0,25.68,50.5,1,Não ciclo
4,27/04/2001,0.0,33.0,19.4,25.42,48.75,1,Não ciclo
5,11/05/2001,0.0,33.3,20.5,26.54,64.0,1,Não ciclo
6,12/05/2001,0.0,34.3,21.3,27.52,56.75,1,Não ciclo
7,13/05/2001,0.0,35.0,20.0,27.0,63.0,3,Não ciclo
8,15/05/2001,0.0,31.8,21.2,26.18,58.75,1,Não ciclo
9,05/06/2001,0.0,29.8,18.0,24.14,62.0,1,Não ciclo
10,30/07/2001,0.0,29.6,15.0,22.6,58.5,1,Não ciclo
11,23/10/2001,7.7,34.3,23.0,28.38,57.0,1,Não ciclo
12,24/10/2001,0.0,35.6,23.7,28.46,57.5,2,Não ciclo
13,25/10/2001,0.0,33.4,22.0,27.8,45.25,1,Não ciclo
14,28/10/2001,0.0,34.0,19.3,26.54,38.75,2,Não ciclo
15,29/10/2001,0.0,35.2,20.5,27.52,43.75,1,Não ciclo
16,30/10/2001,0.0,35.6,21.3,27.8,48.0,1,Não ciclo
17,05/11/2001,0.0,34.8,20.8,27.32,60.0,1,Não ciclo
18,06/11/2001,0.0,35.8,22.0,26.24,76.5,1,Não ciclo
19,07/11/2001,3.5,32.1,22.1,26.6,62.5,1,Não ciclo
20,12/11/2001,0.0,37.3,23.0,29.44,44.5,1,Não ciclo
21,14/11/2001,0.0,35.0,23.0,27.12,68.5,1,Não ciclo
22,16/11/2001,0.0,31.3,22.0,25.26,82.5,2,Não ciclo
23,19/11/2001,8.1,29.8,20.3,23.82,80.75,2,Não ciclo
24,20/11/2001,0.0,31.8,20.8,25.2,74.75,1,Não ciclo
25,21/11/2001,5.2,27.9,21.2,24.04,82.0,1,Não ciclo
26,23/11/2001,0.0,32.0,21.5,24.54,74.75,1,Não ciclo
27,25/11/2001,0.0,28.8,21.3,24.72,80.5,1,Não ciclo
28,26/11/2001,0.4,31.7,22.5,26.24,63.25,4,Ciclo
29,27/11/2001,0.0,32.7,20.4,26.8,60.0,5,Ciclo
30,29/11/2001,0.0,32.5,22.0,25.8,76.5,1,Ciclo
31,02/12/2001,18.7,30.7,22.3,25.6,76.75,1,Ciclo
32,03/12/2001,0.0,28.5,22.0,24.98,69.25,3,Ciclo
33,05/12/2001,0.3,32.6,21.1,26.56,59.75,1,Ciclo
34,06/12/2001,0.0,31.6,21.4,25.92,68.0,2,Não ciclo
35,07/12/2001,0.0,31.6,20.5,25.86,54.75,3,Não ciclo
36,08/12/2001,0.0,31.4,19.4,25.3,53.0,1,Não ciclo
37,12/12/2001,0.0,33.2,21.0,26.76,51.25,1,Não ciclo
38,13/12/2001,0.0,33.8,20.0,27.16,50.5,2,Não ciclo
39,14/12/2001,0.0,33.9,21.8,27.22,58.75,2,Não ciclo
40,15/12/2001,0.0,34.4,22.3,27.88,56.5,6,Não ciclo
41,16/12/2001,0.0,35.4,22.5,28.06,53.75,1,Não ciclo
42,17/12/2001,0.0,33.0,22.8,26.5,79.75,4,Não ciclo
43,18/12/2001,14.8,27.4,21.1,23.5,85.0,1,Não ciclo
44,23/12/2001,0.0,30.8,21.6,25.76,71.0,1,Não ciclo
45,24/12/2001,0.0,33.6,21.8,27.46,66.5,3,Ciclo
46,25/12/2001,0.0,30.6,23.7,26.66,67.5,3,Ciclo
47,26/12/2001,0.0,32.6,22.5,27.38,52.0,2,Ciclo
48,27/12/2001,0.0,34.7,22.0,25.74,69.5,2,Ciclo
49,30/12/2001,17.5,24.4,20.7,21.94,95.5,10,Ciclo
50,31/12/2001,2.2,28.6,20.0,23.3,84.25,5,Ciclo
51,01/01/2002,9.2,27.7,19.8,23.5,91.5,7,Ciclo
52,06/01/2002,1.3,31.4,21.5,25.66,73.5,4,Ciclo
53,07/01/2002,0.0,29.3,21.4,23.94,87.75,3,Ciclo
54,08/01/2002,13.9,29.5,21.2,24.9,74.5,6,Ciclo
55,09/01/2002,0.0,28.7,21.4,24.4,77.0,2,Ciclo
56,10/01/2002,0.0,29.3,21.1,25.18,66.25,3,Ciclo
57,12/01/2002,0.3,30.3,21.0,25.02,73.0,2,Ciclo
58,13/01/2002,0.0,31.1,21.3,25.42,74.75,4,Ciclo
59,14/01/2002,0.0,28.3,20.5,23.04,92.75,7,Ciclo
60,15/01/2002,44.0,29.6,20.3,23.46,87.25,4,Ciclo
61,16/01/2002,101.5,27.6,20.8,23.12,90.75,8,Ciclo
62,17/01/2002,15.1,26.7,21.7,23.34,87.5,3,Ciclo
63,20/01/2002,0.0,29.6,21.0,24.68,80.5,6,Ciclo
64,21/01/2002,0.0,31.1,19.5,25.12,73.25,5,Ciclo
65,22/01/2002,0.0,30.5,20.8,25.26,75.25,6,Ciclo
66,23/01/2002,0.0,31.4,19.0,25.02,72.25,6,Ciclo
67,24/01/2002,0.0,32.5,19.8,26.58,59.5,3,Ciclo
68,25/01/2002,0.0,31.6,20.0,25.28,75.75,4,Ciclo
69,28/01/2002,0.0,32.3,22.0,26.88,68.25,6,Ciclo
70,29/01/2002,0.0,33.6,21.4,27.24,68.5,4,Ciclo
71,30/01/2002,0.0,33.7,22.0,27.84,67.25,5,Ciclo
72,31/01/2002,0.0,31.7,22.4,26.46,66.5,3,Ciclo
73,01/02/2002,0.0,32.8,18.0,25.52,64.75,1,Ciclo
74,05/02/2002,15.3,28.6,20.2,23.56,83.25,2,Ciclo
75,06/02/2002,24.4,28.7,21.0,23.96,83.0,4,Ciclo
76,07/02/2002,0.4,30.0,21.3,24.8,74.75,4,Ciclo
77,08/02/2002,16.9,28.6,20.8,24.5,82.75,2,Ciclo
78,11/02/2002,0.0,30.4,20.2,24.68,75.0,6,Ciclo
79,12/02/2002,0.0,30.6,21.0,24.74,70.25,3,Ciclo
80,13/02/2002,0.0,30.4,18.0,24.34,66.75,4,Ciclo
81,14/02/2002,0.0,31.1,18.5,24.68,67.25,3,Ciclo
82,19/02/2002,0.0,31.8,22.0,26.4,72.75,5,Ciclo
83,20/02/2002,0.0,31.9,20.7,26.0,63.0,9,Ciclo
84,21/02/2002,0.0,32.2,18.0,25.12,64.0,3,Ciclo
85,28/02/2002,0.0,30.5,18.7,24.3,62.0,5,Ciclo
86,01/03/2002,0.0,31.6,20.5,26.1,61.0,2,Ciclo
87,04/03/2002,0.0,32.5,19.4,25.18,62.5,3,Ciclo
88,05/03/2002,0.0,31.6,19.5,25.5,59.75,2,Ciclo
89,07/03/2002,0.0,32.8,19.5,26.16,60.0,1,Ciclo
