,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,18/01/2001,0.0,30.8,19.5,25.06,78.5,2,Ciclo
1,25/01/2001,0.0,34.6,20.1,26.3,67.5,21,Ciclo
2,06/02/2001,0.0,37.2,21.0,28.16,57.0,1,Ciclo
3,11/02/2001,0.0,35.6,20.2,27.12,54.25,2,Ciclo
4,12/02/2001,0.0,36.2,19.6,27.32,55.0,2,Ciclo
5,14/02/2001,0.0,35.4,22.2,28.0,52.0,1,Ciclo
6,17/02/2001,0.0,35.4,21.2,27.48,61.5,2,Ciclo
7,21/02/2001,2.8,35.5,23.0,27.82,63.25,2,Ciclo
8,22/02/2001,0.0,35.8,22.8,27.78,63.5,1,Ciclo
9,01/03/2001,4.6,34.9,23.2,27.58,63.0,1,Ciclo
10,02/03/2001,0.0,35.6,23.2,27.72,67.0,1,Ciclo
11,03/03/2001,0.0,35.3,22.8,28.08,62.0,1,Ciclo
12,05/03/2001,0.0,36.4,22.4,28.36,58.0,2,Ciclo
13,06/03/2001,0.0,36.2,22.4,28.0,61.5,3,Ciclo
14,22/03/2001,0.3,32.3,21.8,26.58,70.0,1,Ciclo
15,05/04/2001,2.4,32.6,21.8,25.94,73.0,4,Ciclo
16,06/04/2001,0.5,31.5,22.0,25.74,73.5,3,Ciclo
17,12/04/2001,0.0,33.2,20.8,25.78,66.0,1,Ciclo
18,15/04/2001,0.0,32.6,20.6,26.16,66.0,1,Ciclo
19,20/04/2001,0.0,34.2,20.2,26.6,64.0,2,Ciclo
20,21/04/2001,0.0,34.0,22.4,27.0,77.5,1,Ciclo
21,25/04/2001,0.0,32.2,19.0,25.8,61.75,1,Ciclo
22,28/04/2001,3.0,31.4,20.8,24.96,71.0,1,Não ciclo
23,29/04/2001,0.0,32.2,22.0,25.96,68.25,1,Não ciclo
24,05/05/2001,0.0,31.6,21.2,25.04,80.75,1,Não ciclo
25,12/05/2001,0.0,34.6,20.2,26.28,66.75,2,Não ciclo
26,22/05/2001,0.0,30.3,21.6,25.02,73.5,1,Não ciclo
27,10/06/2001,15.2,29.4,21.0,23.4,80.75,1,Não ciclo
28,12/07/2001,0.8,30.0,19.9,24.18,78.25,1,Não ciclo
29,03/08/2001,0.0,29.1,14.8,21.8,73.25,1,Não ciclo
30,25/08/2001,1.9,27.6,19.4,22.24,83.75,2,Não ciclo
31,26/08/2001,0.2,29.9,18.7,23.36,74.5,1,Não ciclo
32,24/01/2002,0.0,32.6,21.6,26.0,76.75,4,Não ciclo
33,26/01/2002,17.5,32.3,23.2,26.42,74.75,1,Não ciclo
34,28/01/2002,0.0,33.0,20.4,26.04,64.25,1,Não ciclo
35,02/02/2002,0.0,34.8,21.2,27.2,59.5,1,Não ciclo
36,03/02/2002,0.0,35.6,20.4,27.24,60.0,1,Não ciclo
