,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,21/03/2001,0.0,31.3,18.5,24.76,65.25,2,Não ciclo
1,27/06/2001,0.0,31.6,13.7,21.86,54.25,1,Não ciclo
2,05/03/2002,3.3,31.4,20.9,25.42,59.75,2,Não ciclo
3,13/03/2002,0.0,34.7,24.2,28.72,50.5,1,Não ciclo
4,20/03/2002,6.1,32.8,22.6,25.4,74.5,1,Não ciclo
5,26/03/2002,9.6,30.6,22.8,24.66,76.25,1,Não ciclo
6,01/04/2002,0.0,26.2,21.9,25.06,56.25,4,Não ciclo
7,22/04/2002,0.0,32.2,21.9,26.14,47.75,1,Não ciclo
8,24/04/2002,0.0,30.6,19.9,24.68,57.5,1,Não ciclo
9,29/04/2002,0.0,33.6,19.9,25.54,49.25,2,Não ciclo
10,07/05/2002,0.0,33.0,17.3,25.3,48.5,1,Não ciclo
11,08/05/2002,0.0,33.4,18.1,26.08,49.0,2,Não ciclo
12,09/05/2002,0.0,33.8,18.7,25.5,51.25,1,Não ciclo
13,10/05/2002,0.0,30.7,17.7,24.84,53.0,2,Não ciclo
14,23/05/2002,3.6,24.6,20.7,22.78,82.0,1,Não ciclo
15,24/05/2002,0.0,28.5,17.8,22.48,62.0,1,Não ciclo
16,19/02/2003,7.3,30.6,19.4,24.08,88.75,1,Não ciclo
17,29/03/2005,17.5,29.4,20.3,23.64,45.0,1,Não ciclo
18,04/04/2005,0.0,31.2,19.6,24.38,45.0,1,Não ciclo
19,05/04/2005,0.0,31.3,18.6,24.28,45.0,2,Não ciclo
20,08/04/2005,0.0,30.9,16.9,23.66,45.0,1,Não ciclo
21,17/04/2006,0.0,30.6,19.1,23.98,45.0,1,Não ciclo
22,10/05/2007,0.0,34.0,17.3,25.74,60.0,1,Não ciclo
23,04/06/2007,0.0,33.6,12.1,23.46,60.0,1,Não ciclo
24,12/12/2007,0.0,32.2,19.5,24.98,60.0,1,Não ciclo
25,11/04/2008,0.0,31.2,17.7,23.76,60.0,1,Não ciclo
26,15/04/2008,0.0,30.4,20.3,24.6,60.0,2,Não ciclo
27,19/12/2008,26.8,29.4,20.3,24.2,60.0,1,Não ciclo
28,30/12/2008,0.0,31.3,17.4,23.62,60.0,1,Não ciclo
29,26/01/2009,5.7,30.7,20.4,24.66,60.0,1,Não ciclo
30,14/02/2009,0.0,24.6,20.3,22.56,60.0,1,Não ciclo
31,26/02/2009,0.0,32.7,19.2,25.16,60.0,1,Não ciclo
32,26/03/2009,0.0,30.3,21.0,24.98,60.0,1,Não ciclo
33,15/05/2009,0.0,30.6,17.7,23.12,60.0,1,Não ciclo
34,16/05/2009,0.0,29.4,18.3,23.1,60.0,2,Não ciclo
35,27/05/2009,0.0,28.6,11.7,18.9,60.0,1,Não ciclo
36,03/06/2009,1.7,23.4,19.1,20.8,60.0,1,Não ciclo
37,25/06/2009,0.0,30.6,13.1,20.46,60.0,1,Não ciclo
38,26/12/2009,1.6,29.8,20.5,24.42,60.0,1,Não ciclo
39,12/02/2010,0.0,31.1,18.9,24.08,60.0,3,Não ciclo
40,03/03/2010,26.3,31.1,21.5,24.26,60.0,4,Não ciclo
41,05/03/2010,10.1,29.8,21.5,24.38,60.0,1,Não ciclo
42,08/03/2010,13.9,31.5,21.4,25.42,60.0,2,Não ciclo
43,23/04/2010,0.0,33.3,16.2,23.58,60.0,1,Não ciclo
44,26/05/2010,0.0,33.0,18.0,24.14,60.0,1,Não ciclo
45,03/01/2011,27.3,27.5,19.9,23.08,60.0,1,Não ciclo
46,05/01/2011,24.0,30.4,19.7,23.88,60.0,1,Não ciclo
