,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,12/02/2001,1.0,32.0,22.6,25.82,74.25,2,Não ciclo
1,07/04/2001,1.1,29.4,21.6,24.76,78.5,1,Não ciclo
2,18/04/2001,0.0,28.9,21.5,24.26,88.75,2,Não ciclo
3,20/04/2001,0.0,30.4,21.9,25.38,79.75,1,Não ciclo
4,21/04/2001,0.0,31.3,22.1,25.96,81.0,2,Não ciclo
5,22/04/2001,0.0,31.3,22.6,25.78,80.75,1,Não ciclo
6,25/04/2001,4.4,29.4,20.7,23.94,90.75,1,Não ciclo
7,02/05/2001,1.6,29.4,21.8,24.42,93.5,1,Não ciclo
8,29/10/2001,0.0,29.0,19.0,24.04,78.25,1,Não ciclo
9,23/01/2002,0.6,30.4,22.6,24.96,79.75,1,Não ciclo
10,27/01/2002,0.0,31.0,21.7,25.26,72.5,1,Não ciclo
11,28/01/2002,0.0,31.0,20.7,24.98,71.25,4,Não ciclo
12,29/01/2002,0.0,31.0,20.7,24.74,69.5,2,Não ciclo
13,30/01/2002,0.0,31.7,20.7,25.2,67.75,1,Não ciclo
14,01/02/2002,0.0,32.7,22.5,26.44,66.25,1,Não ciclo
15,05/02/2002,40.6,27.4,21.5,24.02,89.0,1,Não ciclo
16,06/02/2002,0.2,28.8,21.6,23.88,89.0,1,Não ciclo
17,08/02/2002,0.0,29.4,22.3,25.06,78.0,1,Não ciclo
18,13/02/2002,0.0,29.8,20.9,24.54,79.0,3,Não ciclo
19,15/02/2002,0.0,30.4,22.9,25.38,78.75,1,Não ciclo
20,16/02/2002,29.0,30.4,23.5,25.66,84.5,1,Não ciclo
21,18/02/2002,0.0,31.8,21.9,25.88,75.75,3,Ciclo
22,19/02/2002,0.0,31.2,22.7,25.78,79.5,3,Ciclo
23,20/02/2002,0.0,32.0,22.5,25.98,70.25,1,Ciclo
24,21/02/2002,0.0,31.2,21.7,25.46,70.0,8,Ciclo
25,22/02/2002,0.0,32.4,21.1,25.98,70.25,1,Ciclo
26,25/02/2002,0.0,31.8,22.7,25.98,66.0,3,Ciclo
27,26/02/2002,0.0,31.0,20.9,25.02,70.75,10,Ciclo
28,27/02/2002,0.0,30.2,20.9,24.66,70.0,4,Ciclo
29,28/02/2002,0.0,30.4,20.4,24.96,77.25,7,Ciclo
30,01/03/2002,0.0,31.4,21.3,25.46,75.25,1,Ciclo
31,03/03/2002,12.0,30.0,22.9,25.6,78.75,1,Ciclo
32,04/03/2002,18.8,30.0,22.1,24.98,84.0,2,Ciclo
33,05/03/2002,6.4,29.4,22.7,24.82,86.75,4,Ciclo
34,06/03/2002,0.5,29.8,23.3,25.34,85.25,2,Ciclo
35,07/03/2002,8.2,28.8,22.9,25.26,83.75,2,Ciclo
36,08/03/2002,2.4,29.6,22.3,24.42,84.0,1,Não ciclo
37,11/03/2002,0.3,29.2,21.9,25.16,81.75,10,Ciclo
38,12/03/2002,3.4,29.8,21.9,24.94,81.0,4,Ciclo
39,13/03/2002,0.0,29.8,21.9,24.98,81.5,4,Ciclo
40,14/03/2002,0.0,30.9,21.3,25.4,74.0,6,Ciclo
41,15/03/2002,0.0,32.1,22.1,26.0,74.25,7,Ciclo
42,18/03/2002,0.0,30.6,21.7,25.46,79.5,4,Ciclo
43,19/03/2002,0.1,31.0,22.5,25.82,76.0,8,Ciclo
44,20/03/2002,0.0,31.4,23.1,25.82,78.25,3,Ciclo
45,21/03/2002,0.0,32.9,21.7,26.4,71.75,7,Ciclo
46,22/03/2002,0.0,32.9,23.3,26.68,71.75,2,Ciclo
47,25/03/2002,0.0,31.6,22.3,25.9,74.75,2,Ciclo
48,27/03/2002,0.0,31.8,22.9,26.06,72.5,1,Ciclo
