,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,02/01/2001,0.0,32.0,16.0,24.32,69.25,1,Não ciclo
1,09/01/2001,0.0,29.2,20.4,24.32,82.25,1,Não ciclo
2,23/01/2001,0.0,32.6,20.9,25.74,71.25,2,Não ciclo
3,25/01/2001,0.0,31.9,20.4,25.1,74.5,1,Não ciclo
4,26/01/2001,0.0,32.2,20.5,25.46,73.25,1,Não ciclo
5,02/02/2001,0.0,34.4,21.7,27.06,65.0,4,Não ciclo
6,04/02/2001,0.0,33.0,22.8,26.64,74.0,1,Não ciclo
7,05/02/2001,1.0,26.2,22.2,26.64,74.0,2,Não ciclo
8,06/02/2001,1.0,34.6,21.2,26.68,65.25,3,Não ciclo
9,08/02/2001,0.0,34.6,23.4,26.88,67.75,2,Não ciclo
10,12/02/2001,0.0,33.8,20.8,26.08,68.5,2,Não ciclo
11,14/02/2001,0.0,33.8,19.8,26.4,63.25,1,Não ciclo
12,15/02/2001,0.0,34.0,21.2,26.4,68.5,1,Não ciclo
13,16/02/2001,0.0,34.0,22.6,26.6,69.0,1,Não ciclo
14,19/02/2001,0.0,29.2,22.2,24.92,80.5,1,Não ciclo
15,20/02/2001,0.5,32.2,21.0,25.52,77.0,1,Não ciclo
16,21/02/2001,0.0,33.2,22.2,26.24,72.75,3,Não ciclo
17,22/02/2001,0.0,33.4,22.6,26.48,73.5,2,Não ciclo
18,23/02/2001,0.0,34.2,20.4,26.52,72.0,4,Não ciclo
19,28/02/2001,0.1,32.4,23.0,26.84,74.25,1,Não ciclo
20,01/03/2001,0.0,32.8,23.8,26.96,76.5,2,Não ciclo
21,02/03/2001,0.3,32.6,24.5,26.86,78.0,3,Não ciclo
22,05/03/2001,0.0,34.4,21.8,26.68,81.25,1,Não ciclo
23,06/03/2001,0.0,34.4,22.8,27.24,66.75,1,Não ciclo
24,07/03/2001,0.0,34.4,22.0,26.84,64.75,1,Não ciclo
25,08/03/2001,0.0,34.4,20.2,26.68,67.25,2,Não ciclo
26,09/03/2001,0.0,34.4,21.0,26.6,68.5,2,Não ciclo
27,12/03/2001,0.0,33.2,23.6,27.44,68.75,1,Não ciclo
28,13/03/2001,14.0,26.2,21.0,23.52,91.5,2,Não ciclo
29,15/03/2001,10.2,29.8,21.8,24.44,86.5,2,Não ciclo
30,16/03/2001,13.7,29.0,21.8,24.52,93.0,2,Não ciclo
31,19/03/2001,4.3,32.0,20.2,25.56,74.75,2,Não ciclo
32,20/03/2001,0.1,32.2,21.8,26.12,76.5,1,Não ciclo
33,21/03/2001,0.2,31.0,21.8,25.36,78.25,2,Não ciclo
34,22/03/2001,0.6,30.0,21.6,24.84,82.0,3,Não ciclo
35,23/03/2001,0.7,31.2,22.5,25.7,80.25,6,Não ciclo
36,26/03/2001,0.0,32.0,20.6,25.44,74.75,4,Não ciclo
37,27/03/2001,0.0,32.4,21.4,25.68,81.0,1,Não ciclo
38,28/03/2001,0.0,27.4,22.6,25.4,74.5,4,Não ciclo
