,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,09/01/2001,0.0,31.3,22.5,25.98,73.0,1,Não ciclo
1,18/01/2001,0.0,31.5,21.1,25.46,73.5,1,Não ciclo
2,14/02/2002,0.4,32.0,20.9,25.68,70.5,1,Não ciclo
3,15/02/2002,0.0,32.5,20.7,26.06,66.0,1,Não ciclo
4,18/02/2002,0.0,32.9,21.5,26.28,72.75,1,Não ciclo
5,21/02/2002,0.0,33.3,21.3,26.4,63.75,1,Não ciclo
6,27/02/2002,0.0,31.7,20.1,24.9,74.75,2,Não ciclo
7,05/04/2002,9.5,29.8,19.5,24.34,86.25,1,Não ciclo
8,09/04/2002,0.0,31.7,21.0,25.48,77.5,1,Não ciclo
9,23/04/2002,8.5,28.7,21.1,24.78,73.25,1,Não ciclo
10,24/04/2002,13.5,28.7,20.9,24.14,84.5,1,Não ciclo
11,18/07/2002,0.0,23.9,18.7,20.5,89.75,1,Não ciclo
12,25/09/2002,37.8,23.5,20.4,21.48,92.5,1,Não ciclo
13,16/10/2002,0.0,30.5,18.4,23.68,71.5,1,Não ciclo
14,12/11/2002,0.0,31.4,22.4,25.14,73.75,1,Não ciclo
15,22/11/2002,0.2,31.0,22.4,25.0,76.5,1,Não ciclo
16,26/11/2002,0.0,32.5,20.9,25.38,67.75,1,Não ciclo
17,17/12/2002,0.0,33.7,21.5,26.66,68.5,1,Não ciclo
18,10/01/2003,0.0,33.7,22.3,27.3,65.0,1,Não ciclo
19,12/01/2003,0.0,34.7,23.1,26.84,74.0,1,Não ciclo
20,13/01/2003,1.0,32.3,22.3,25.46,88.25,4,Não ciclo
21,14/01/2003,64.1,31.1,23.3,25.46,86.0,2,Não ciclo
22,15/01/2003,12.2,29.5,23.2,25.92,79.5,1,Não ciclo
23,16/01/2003,0.0,32.5,23.4,26.68,70.0,2,Não ciclo
24,18/01/2003,0.0,32.8,21.2,26.18,68.5,1,Não ciclo
25,19/01/2003,0.0,33.0,21.7,26.78,69.5,1,Não ciclo
26,20/01/2003,0.5,32.8,23.2,26.86,71.0,5,Não ciclo
27,21/01/2003,0.0,32.6,23.3,26.9,71.25,1,Não ciclo
28,22/01/2003,0.0,33.6,23.3,26.52,73.25,2,Não ciclo
29,23/01/2003,0.0,33.3,22.7,26.66,72.0,2,Não ciclo
