,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,12/04/2001,0.0,32.4,18.0,24.52,47.25,1,Não ciclo
1,05/06/2001,2.0,28.4,15.5,21.36,67.5,1,Não ciclo
2,11/06/2001,0.0,26.4,17.6,20.36,73.0,1,Não ciclo
3,27/06/2001,0.0,29.2,15.0,21.28,63.75,1,Não ciclo
4,31/01/2002,0.0,30.5,17.9,23.96,63.75,1,Não ciclo
5,04/02/2002,0.1,25.6,20.6,22.64,92.5,1,Não ciclo
6,14/02/2002,0.0,30.2,16.9,23.18,72.0,2,Não ciclo
7,18/02/2002,0.0,29.6,18.1,23.22,70.75,1,Não ciclo
8,22/02/2002,0.0,31.5,17.1,23.68,60.0,3,Não ciclo
9,28/02/2002,0.0,31.0,15.4,22.44,58.25,1,Não ciclo
10,11/03/2002,0.0,28.3,18.5,22.78,67.75,1,Não ciclo
11,26/03/2002,0.0,32.6,19.7,24.9,57.5,1,Não ciclo
12,08/05/2002,0.0,29.4,20.0,23.42,61.25,1,Não ciclo
13,15/05/2002,0.0,29.7,18.3,22.94,56.5,1,Não ciclo
14,16/05/2002,0.0,31.4,16.5,23.34,54.25,1,Não ciclo
15,11/02/2003,0.0,31.6,18.8,24.96,57.5,2,Não ciclo
16,21/03/2003,6.6,29.5,18.9,24.14,64.5,1,Não ciclo
17,09/04/2003,7.2,31.5,19.2,24.94,63.0,1,Não ciclo
18,15/04/2003,0.0,31.2,18.6,24.5,68.0,1,Não ciclo
19,19/04/2003,0.0,29.0,18.2,23.08,75.0,1,Não ciclo
20,02/05/2003,0.0,33.7,17.3,26.62,49.0,1,Não ciclo
21,07/05/2003,0.0,31.8,18.2,24.44,75.0,3,Não ciclo
22,13/05/2003,0.0,27.7,17.4,22.2,77.0,1,Não ciclo
23,14/05/2003,0.0,27.9,18.2,22.7,77.0,1,Não ciclo
24,19/05/2003,0.0,29.2,15.5,22.22,75.0,2,Não ciclo
25,21/05/2003,0.0,30.3,15.9,22.98,66.0,1,Não ciclo
26,22/05/2003,0.0,29.4,16.5,23.2,70.0,1,Não ciclo
