,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,04/01/2001,0.0,27.2,20.0,23.7,86.25,1,Não ciclo
1,05/01/2001,2.0,29.2,21.4,24.36,80.5,5,Ciclo
2,08/01/2001,0.0,32.6,20.4,25.88,57.25,7,Ciclo
3,09/01/2001,0.0,31.6,20.4,25.04,75.5,8,Ciclo
4,10/01/2001,0.9,31.5,22.0,25.26,73.5,5,Ciclo
5,11/01/2001,0.2,27.6,20.8,24.24,76.25,14,Ciclo
6,12/01/2001,0.4,30.0,20.2,23.84,88.5,9,Ciclo
7,15/01/2001,16.4,29.4,21.6,24.48,68.25,1,Ciclo
8,16/01/2001,0.0,31.8,19.0,24.72,56.25,3,Ciclo
9,17/01/2001,0.0,30.8,19.8,24.68,56.0,3,Ciclo
10,18/01/2001,0.0,28.6,20.4,24.08,80.5,2,Ciclo
11,19/01/2001,4.4,32.2,21.6,25.6,57.5,4,Não ciclo
12,22/01/2001,0.0,33.0,20.8,26.36,66.25,4,Não ciclo
13,23/01/2001,0.0,33.2,21.4,26.24,65.75,4,Não ciclo
14,25/01/2001,0.0,34.0,21.4,26.4,64.5,2,Não ciclo
15,26/01/2001,0.0,34.2,22.0,26.76,63.75,6,Não ciclo
16,29/01/2001,0.0,35.4,22.5,27.62,60.25,2,Não ciclo
17,30/01/2001,0.0,34.6,21.0,26.4,65.5,1,Não ciclo
18,31/01/2001,0.0,34.4,20.8,26.92,54.25,1,Não ciclo
19,01/02/2001,0.0,34.6,19.6,26.84,55.75,1,Não ciclo
20,02/02/2001,0.0,35.6,19.2,26.96,63.5,1,Não ciclo
21,06/02/2001,0.0,36.6,20.2,28.64,46.0,1,Não ciclo
22,07/02/2001,0.0,35.8,21.4,28.0,58.25,1,Não ciclo
23,09/02/2001,0.0,35.8,21.8,27.84,57.75,2,Não ciclo
24,12/02/2001,0.0,35.7,20.8,27.22,55.5,7,Não ciclo
25,13/02/2001,0.0,35.2,22.5,27.74,61.5,5,Não ciclo
26,14/02/2001,0.0,35.6,24.0,28.14,65.0,2,Não ciclo
27,20/02/2001,0.0,35.0,21.4,27.36,58.75,2,Não ciclo
28,23/02/2001,0.0,36.6,21.4,27.92,56.5,1,Não ciclo
29,05/03/2001,0.0,36.2,24.9,28.42,58.75,2,Não ciclo
30,06/03/2001,0.0,35.2,24.3,27.86,64.75,2,Não ciclo
31,07/03/2001,0.0,34.6,23.7,28.02,52.75,2,Não ciclo
32,12/03/2001,0.0,32.6,24.3,27.26,70.0,2,Não ciclo
33,16/03/2001,0.0,32.4,22.3,26.1,65.0,2,Não ciclo
34,19/03/2001,0.0,31.8,21.4,26.0,66.5,1,Não ciclo
35,20/03/2001,0.0,33.4,22.3,26.62,62.5,2,Não ciclo
36,22/03/2001,0.0,32.4,20.4,25.64,60.75,3,Não ciclo
37,23/03/2001,0.0,30.6,20.8,25.36,79.25,1,Não ciclo
38,26/03/2001,0.0,30.8,21.4,25.56,68.75,2,Não ciclo
39,27/03/2001,0.0,32.4,20.6,26.16,68.25,3,Não ciclo
40,28/03/2001,0.0,33.0,23.1,26.58,67.75,3,Não ciclo
41,29/03/2001,0.0,32.4,22.5,26.58,65.0,1,Não ciclo
42,30/03/2001,0.0,32.8,21.4,26.4,69.25,1,Não ciclo
43,02/04/2001,0.0,32.6,22.0,26.12,71.0,5,Não ciclo
44,05/04/2001,0.0,29.8,21.2,25.26,77.0,2,Não ciclo
45,06/04/2001,1.0,28.8,20.2,24.6,82.25,1,Não ciclo
46,10/04/2001,0.0,32.4,19.4,25.52,56.25,1,Não ciclo
47,16/04/2001,0.0,30.6,22.9,26.14,70.5,2,Não ciclo
48,18/04/2001,0.0,32.0,19.8,25.48,69.75,2,Não ciclo
49,20/04/2001,0.0,34.0,22.3,27.06,66.75,4,Não ciclo
50,23/04/2001,0.0,33.4,22.5,26.5,60.25,1,Não ciclo
51,24/04/2001,0.0,27.2,20.8,23.8,87.5,6,Não ciclo
52,25/04/2001,8.6,30.4,21.8,24.76,78.0,1,Não ciclo
53,26/04/2001,2.6,30.8,20.2,23.88,74.5,2,Não ciclo
54,27/04/2001,0.0,28.4,19.0,23.28,78.5,2,Não ciclo
55,30/04/2001,0.0,32.4,20.0,25.28,70.25,2,Não ciclo
56,08/05/2001,0.0,32.8,23.5,26.64,61.5,1,Não ciclo
57,09/05/2001,0.0,31.0,24.1,26.32,76.25,2,Não ciclo
58,10/05/2001,0.0,33.6,24.0,27.16,63.75,4,Não ciclo
59,11/05/2001,0.0,34.4,24.3,27.42,58.25,1,Não ciclo
60,15/05/2001,0.0,30.0,22.7,24.94,75.5,3,Não ciclo
61,16/05/2001,0.6,30.0,22.5,24.66,79.25,1,Não ciclo
62,17/05/2001,0.0,33.6,23.1,26.94,58.25,6,Não ciclo
63,18/05/2001,0.0,35.4,23.7,28.1,51.5,1,Não ciclo
64,20/05/2001,4.1,30.2,22.1,24.5,55.5,2,Não ciclo
65,21/05/2001,0.0,29.6,17.8,22.84,71.75,2,Não ciclo
66,22/05/2001,0.0,30.6,17.6,23.6,69.5,2,Não ciclo
67,24/05/2001,0.0,31.4,18.0,23.96,65.25,3,Não ciclo
68,25/05/2001,0.0,31.0,17.8,24.24,68.0,1,Não ciclo
69,29/05/2001,0.0,32.6,23.5,26.42,71.25,10,Não ciclo
70,04/06/2001,19.1,25.4,21.8,23.0,89.75,12,Não ciclo
71,08/06/2001,1.0,29.2,19.0,23.36,67.0,2,Não ciclo
72,15/06/2001,0.0,28.4,17.8,22.32,73.75,2,Não ciclo
73,21/06/2001,0.0,30.8,15.5,22.82,66.25,1,Não ciclo
74,12/07/2001,0.0,29.3,16.7,22.92,67.0,3,Não ciclo
