,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,01/01/2001,0.0,28.8,18.1,22.88,73.5,7,Não ciclo
1,08/01/2001,0.0,27.3,16.3,21.26,72.5,1,Não ciclo
2,09/01/2001,0.0,24.6,17.1,20.38,92.75,1,Não ciclo
3,10/01/2001,4.7,23.9,17.9,20.14,93.25,1,Não ciclo
4,11/01/2001,2.6,27.1,17.7,21.32,79.0,1,Não ciclo
5,12/01/2001,0.0,27.2,16.5,20.74,90.25,1,Não ciclo
6,16/01/2001,0.5,25.7,15.7,20.26,82.75,3,Não ciclo
7,23/01/2001,0.0,29.5,19.2,22.44,76.25,3,Não ciclo
8,24/01/2001,0.0,28.4,16.7,21.6,73.25,3,Não ciclo
9,25/01/2001,0.0,29.3,17.1,21.82,73.0,1,Não ciclo
10,29/01/2001,0.0,29.3,17.5,22.2,73.25,1,Não ciclo
11,30/01/2001,0.0,29.5,18.0,21.96,73.75,3,Não ciclo
12,01/02/2001,0.0,30.9,16.5,22.22,67.25,2,Não ciclo
13,02/02/2001,0.0,31.9,16.4,22.64,73.0,1,Não ciclo
14,05/02/2001,0.0,32.0,18.8,23.68,71.75,2,Não ciclo
15,06/02/2001,0.0,32.9,18.0,23.12,75.25,3,Não ciclo
16,08/02/2001,0.0,31.2,19.2,23.52,69.0,3,Não ciclo
17,10/02/2001,0.0,29.9,16.5,22.06,68.75,2,Não ciclo
18,11/02/2001,0.0,29.6,15.9,21.56,72.25,1,Não ciclo
19,12/02/2001,0.5,30.4,17.1,22.4,69.5,4,Não ciclo
20,13/02/2001,0.0,30.7,17.9,22.74,73.0,2,Não ciclo
21,14/02/2001,0.0,31.1,19.0,23.54,69.75,2,Não ciclo
22,16/02/2001,0.0,30.0,19.0,22.66,77.25,5,Não ciclo
23,17/02/2001,0.0,29.8,18.2,22.44,77.5,24,Ciclo
24,18/02/2001,0.0,30.4,17.6,22.84,69.0,64,Ciclo
25,19/02/2001,0.0,28.0,18.6,21.8,77.25,17,Ciclo
26,20/02/2001,0.0,29.7,17.6,22.82,70.0,6,Ciclo
27,21/02/2001,0.0,30.2,18.0,22.66,73.75,5,Ciclo
28,22/02/2001,0.0,30.2,18.8,22.8,72.5,6,Ciclo
29,23/02/2001,0.0,31.1,17.7,23.06,70.5,12,Ciclo
30,24/02/2001,0.3,30.0,19.0,23.08,76.5,7,Ciclo
31,26/02/2001,0.6,27.5,19.2,21.78,94.25,3,Não ciclo
32,27/02/2001,22.4,25.7,19.5,21.38,90.0,6,Não ciclo
33,28/02/2001,23.9,29.0,18.3,22.26,90.0,1,Não ciclo
34,02/03/2001,7.2,27.6,19.2,22.28,89.0,1,Não ciclo
35,04/03/2001,0.0,29.5,19.8,23.12,80.5,4,Não ciclo
36,05/03/2001,0.0,29.6,19.0,22.94,76.75,11,Não ciclo
37,06/03/2001,0.2,28.3,18.1,22.3,84.25,2,Não ciclo
38,15/03/2001,7.4,24.4,18.8,20.48,92.5,1,Não ciclo
39,16/03/2001,9.2,26.9,17.2,21.1,82.0,3,Não ciclo
40,10/04/2001,0.1,29.4,16.5,21.32,73.25,2,Não ciclo
41,09/08/2001,1.0,23.3,14.5,17.48,82.25,1,Não ciclo
42,22/08/2001,0.1,23.6,16.1,18.84,90.75,1,Não ciclo
43,28/01/2002,0.0,29.7,16.3,21.76,72.75,2,Não ciclo
44,30/01/2002,0.0,29.7,16.1,22.36,71.0,3,Não ciclo
45,31/01/2002,0.0,29.3,17.9,22.2,73.75,3,Não ciclo
46,04/02/2002,21.7,24.3,18.6,20.76,93.75,1,Não ciclo
47,18/02/2002,0.0,29.1,17.6,22.68,78.5,1,Não ciclo
48,23/02/2002,0.0,30.7,17.8,23.34,67.75,1,Não ciclo
49,27/02/2002,0.0,28.6,16.9,21.62,69.0,3,Não ciclo
50,03/03/2002,1.0,27.5,19.3,22.1,81.25,1,Não ciclo
51,04/03/2002,2.1,28.2,19.3,21.94,83.75,1,Não ciclo
52,05/03/2002,0.8,23.5,18.2,20.32,95.75,1,Não ciclo
53,06/03/2002,1.0,24.5,18.1,21.28,88.25,1,Não ciclo
54,08/03/2002,0.6,23.1,17.0,20.52,84.0,1,Não ciclo
55,11/03/2002,1.4,26.5,18.6,21.32,86.25,1,Não ciclo
56,15/03/2002,0.0,29.3,17.7,22.34,78.5,1,Não ciclo
57,16/03/2002,0.0,28.5,18.4,22.16,79.75,4,Não ciclo
58,20/03/2002,0.0,29.0,18.9,22.46,80.5,1,Não ciclo
59,29/03/2002,1.1,27.7,18.0,21.78,78.25,1,Não ciclo
60,17/04/2002,0.0,28.6,18.2,22.38,78.75,2,Não ciclo
61,19/04/2002,0.8,25.1,18.4,20.48,89.0,1,Não ciclo
62,24/04/2002,6.6,24.7,18.1,20.44,94.0,1,Não ciclo
63,30/04/2002,0.4,27.3,17.5,20.74,83.0,1,Não ciclo
64,04/05/2002,0.0,22.3,17.9,20.36,78.75,1,Não ciclo
65,20/05/2002,0.0,27.1,16.5,21.14,78.0,2,Não ciclo
66,21/05/2002,0.0,22.3,16.9,20.76,76.75,1,Não ciclo
67,24/05/2002,6.1,21.7,16.0,17.96,86.5,1,Não ciclo
68,01/06/2002,0.0,25.7,17.6,20.18,82.0,1,Não ciclo
69,02/06/2002,0.0,25.2,16.7,19.52,79.25,1,Não ciclo
70,20/11/2002,0.0,27.7,17.3,22.06,75.25,1,Não ciclo
71,27/11/2002,0.0,29.5,16.5,22.0,69.5,1,Não ciclo
72,30/11/2002,0.1,28.9,18.7,22.18,70.5,2,Não ciclo
73,03/12/2002,0.0,30.8,16.6,22.0,69.0,2,Não ciclo
