,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,18/04/2001,0.0,30.4,21.5,25.78,55.25,1,Não ciclo
1,19/04/2001,0.0,32.7,22.8,26.3,53.5,3,Não ciclo
2,23/04/2001,0.0,32.3,22.5,26.44,49.0,2,Não ciclo
3,25/04/2001,3.5,28.8,18.9,24.14,64.5,2,Não ciclo
4,26/04/2001,1.0,28.8,20.5,24.02,61.25,2,Não ciclo
5,29/04/2001,0.0,31.4,18.5,24.94,55.0,1,Não ciclo
6,30/04/2001,0.0,29.7,21.3,23.92,70.5,3,Não ciclo
7,02/05/2001,0.1,27.6,19.0,22.76,79.75,2,Não ciclo
8,04/05/2001,3.4,29.0,20.8,23.04,72.25,1,Não ciclo
9,06/05/2001,0.0,33.7,17.7,25.48,59.25,2,Não ciclo
10,08/05/2001,0.0,31.6,21.7,25.58,64.25,1,Não ciclo
11,09/05/2001,0.0,31.3,20.2,25.3,67.5,1,Não ciclo
12,13/05/2001,0.0,34.5,20.0,27.14,42.0,1,Não ciclo
13,15/05/2001,0.6,28.8,22.6,24.56,69.0,1,Não ciclo
14,08/06/2001,0.0,28.8,18.9,23.26,57.5,1,Não ciclo
15,24/07/2001,0.0,27.2,17.8,22.44,60.75,2,Não ciclo
16,14/08/2001,0.2,26.5,15.9,20.76,59.25,1,Não ciclo
17,21/08/2001,0.0,30.0,16.6,23.08,50.5,5,Não ciclo
18,19/11/2001,0.0,32.9,23.0,26.9,54.25,1,Não ciclo
19,07/12/2001,0.0,30.6,21.4,24.68,69.5,1,Não ciclo
20,23/02/2002,0.0,34.2,18.4,26.2,58.0,1,Não ciclo
21,13/03/2002,0.0,31.2,19.0,25.4,56.75,2,Não ciclo
22,20/03/2002,0.0,33.0,22.6,26.56,54.25,2,Não ciclo
23,21/03/2002,0.0,33.9,20.0,26.26,55.25,1,Não ciclo
24,22/03/2002,0.0,33.2,20.7,26.18,55.0,1,Não ciclo
25,25/03/2002,0.0,32.3,20.5,25.72,57.0,1,Não ciclo
26,26/03/2002,0.0,31.8,22.7,26.62,57.5,2,Não ciclo
27,01/04/2002,0.0,31.8,20.4,25.92,59.0,2,Não ciclo
28,03/04/2002,0.0,31.4,20.5,25.58,54.5,2,Não ciclo
29,08/04/2002,0.0,32.7,20.5,26.16,54.25,4,Não ciclo
30,09/04/2002,0.0,33.0,20.7,26.74,55.25,1,Não ciclo
31,12/04/2002,0.0,31.7,22.6,25.82,70.75,3,Não ciclo
32,16/04/2002,0.0,32.1,20.8,26.66,53.5,1,Não ciclo
33,17/04/2002,0.0,31.0,22.8,26.08,63.5,2,Não ciclo
34,19/04/2002,0.0,28.8,20.4,23.92,81.0,1,Não ciclo
35,22/04/2002,0.0,31.6,17.6,24.68,58.0,2,Não ciclo
36,24/04/2002,0.0,31.3,20.3,24.16,66.25,1,Não ciclo
37,25/04/2002,0.0,29.8,20.3,23.66,77.5,1,Não ciclo
38,26/04/2002,5.3,29.6,20.2,23.8,65.0,5,Não ciclo
39,29/04/2002,0.0,30.5,21.2,22.74,55.5,1,Não ciclo
40,06/05/2002,0.0,31.7,16.0,24.22,56.5,1,Não ciclo
41,08/05/2002,0.0,30.2,19.5,24.62,58.75,1,Não ciclo
42,09/05/2002,0.0,31.6,18.6,24.68,55.75,2,Não ciclo
43,20/05/2002,0.0,30.3,16.6,23.1,64.0,3,Não ciclo
44,25/06/2002,0.0,26.8,18.0,21.48,64.5,2,Não ciclo
45,13/11/2002,0.0,32.2,18.7,25.14,52.0,1,Não ciclo
46,21/01/2003,0.0,31.0,22.4,26.2,66.25,12,Ciclo
47,22/01/2003,13.0,31.6,21.0,25.16,71.5,9,Ciclo
48,23/01/2003,0.0,32.4,20.7,24.14,74.0,5,Ciclo
49,24/01/2003,4.2,32.2,20.6,25.36,68.5,2,Ciclo
50,27/01/2003,0.0,32.0,20.8,25.76,59.25,9,Ciclo
51,28/01/2003,0.0,33.8,22.7,27.26,54.75,7,Ciclo
52,30/01/2003,0.0,33.1,22.7,25.64,67.5,2,Ciclo
53,03/02/2003,4.4,31.1,22.2,25.7,67.25,1,Ciclo
54,04/02/2003,0.0,31.8,22.7,26.26,63.25,12,Ciclo
55,05/02/2003,0.0,33.8,21.9,26.34,59.5,2,Ciclo
56,06/02/2003,0.0,33.9,20.3,26.92,55.25,2,Ciclo
57,11/02/2003,0.0,33.3,21.4,26.78,53.25,1,Ciclo
58,12/02/2003,0.0,33.7,19.3,26.64,46.25,3,Ciclo
59,13/02/2003,0.0,32.9,21.0,26.42,56.75,1,Ciclo
60,14/02/2003,0.0,32.7,22.4,26.26,62.75,1,Não ciclo
61,17/02/2003,0.0,35.4,22.5,28.26,45.75,6,Não ciclo
62,18/02/2003,0.0,34.6,21.9,27.42,54.0,3,Não ciclo
63,19/02/2003,0.0,35.6,24.3,29.02,45.5,1,Não ciclo
64,21/02/2003,0.0,33.9,22.2,27.62,45.5,1,Não ciclo
65,24/02/2003,0.0,33.3,21.4,26.38,56.75,2,Não ciclo
66,26/02/2003,0.0,35.0,21.6,28.16,44.25,4,Não ciclo
67,20/03/2003,0.0,32.1,22.0,26.22,59.75,1,Não ciclo
68,24/03/2003,0.0,34.0,21.8,27.32,57.25,1,Não ciclo
69,26/03/2003,0.0,33.6,22.2,27.44,53.75,1,Não ciclo
70,24/04/2006,0.0,29.8,21.8,24.28,84.0,1,Não ciclo
71,18/05/2006,0.0,26.5,13.1,19.08,71.75,1,Não ciclo
72,19/05/2006,0.0,26.2,17.6,20.4,71.5,1,Não ciclo
73,08/08/2006,0.0,26.4,13.3,20.38,73.0,1,Não ciclo
74,29/08/2006,0.0,31.9,14.8,23.5,49.75,1,Não ciclo
75,17/04/2007,3.6,29.1,20.1,23.52,83.25,1,Não ciclo
76,20/04/2007,1.0,29.1,20.9,23.84,81.0,1,Não ciclo
