,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,07/01/2001,0.0,31.0,20.3,25.28,60.0,2,Não ciclo
1,15/01/2001,0.2,30.6,20.7,24.96,59.5,1,Não ciclo
2,24/01/2001,0.0,32.0,20.7,25.88,58.25,2,Não ciclo
3,25/01/2001,0.0,31.6,20.8,25.54,57.5,2,Não ciclo
4,26/01/2001,0.0,32.7,21.1,26.22,58.0,2,Não ciclo
5,31/01/2001,0.0,33.1,21.1,26.3,53.5,2,Não ciclo
6,01/02/2001,0.0,33.7,18.8,26.52,46.5,6,Não ciclo
7,02/02/2001,0.0,34.5,20.3,27.54,49.0,1,Não ciclo
8,05/02/2001,0.0,34.7,22.8,27.74,54.0,2,Não ciclo
9,06/02/2001,0.0,35.7,20.6,28.3,45.25,2,Não ciclo
10,07/02/2001,0.0,36.1,19.9,26.92,48.25,22,Não ciclo
11,08/02/2001,0.0,33.3,22.1,26.48,58.25,1,Não ciclo
12,12/02/2001,0.0,34.3,21.4,26.96,47.0,2,Não ciclo
13,14/02/2001,0.0,33.5,22.6,27.36,51.5,1,Não ciclo
14,16/02/2001,0.0,34.3,22.2,27.72,53.0,7,Não ciclo
15,19/02/2001,0.1,30.8,22.1,25.34,69.75,1,Não ciclo
16,20/02/2001,0.0,32.3,21.9,26.62,58.25,1,Não ciclo
17,21/02/2001,0.0,33.5,22.3,26.96,61.0,6,Não ciclo
18,23/02/2001,0.0,34.7,21.9,27.88,54.5,6,Não ciclo
19,02/03/2001,45.6,30.8,21.1,25.3,76.0,2,Não ciclo
20,05/03/2001,0.1,32.7,21.7,26.94,58.75,1,Não ciclo
21,06/03/2001,0.0,31.6,22.5,27.16,57.0,4,Não ciclo
22,07/03/2001,0.0,31.3,21.5,25.12,62.5,3,Não ciclo
23,08/03/2001,0.0,33.1,21.1,25.58,58.5,10,Não ciclo
24,09/03/2001,0.0,33.5,20.9,26.24,58.75,9,Não ciclo
25,12/03/2001,0.2,27.4,20.9,23.48,85.5,4,Não ciclo
26,13/03/2001,7.4,27.3,21.1,23.72,80.5,5,Não ciclo
27,14/03/2001,0.2,29.2,20.8,23.58,81.25,2,Não ciclo
28,16/03/2001,4.0,29.1,21.1,23.64,80.0,16,Não ciclo
29,19/03/2001,0.1,31.3,19.6,25.0,63.5,10,Não ciclo
30,20/03/2001,0.0,31.5,22.2,26.18,63.5,2,Não ciclo
31,21/03/2001,1.0,28.5,21.3,24.68,75.75,3,Não ciclo
32,22/03/2001,3.2,30.8,21.1,25.1,68.0,1,Não ciclo
33,23/03/2001,0.0,31.6,22.8,26.04,66.5,1,Não ciclo
