,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,27/02/2001,1.3,30.0,21.1,24.34,79.75,1,Não ciclo
1,06/03/2001,0.0,33.6,23.2,27.08,64.5,14,Ciclo
2,20/03/2001,0.0,31.2,21.3,24.98,66.0,22,Ciclo
3,21/03/2001,0.3,29.6,22.1,24.28,83.75,23,Ciclo
4,22/03/2001,4.0,30.2,20.1,24.96,64.0,16,Ciclo
5,23/03/2001,0.0,30.8,21.1,25.1,71.25,1,Ciclo
6,27/03/2001,0.0,34.2,19.1,26.68,56.0,36,Ciclo
7,28/03/2001,0.0,28.4,23.2,25.92,65.0,17,Ciclo
8,29/03/2001,1.3,30.6,21.7,25.14,74.0,39,Ciclo
9,30/03/2001,0.0,32.3,21.9,26.22,60.25,6,Ciclo
10,01/04/2001,6.6,29.6,18.9,23.9,75.5,1,Ciclo
11,04/04/2001,0.0,31.6,22.1,25.8,65.0,16,Ciclo
12,09/04/2001,0.3,30.8,20.7,24.92,66.5,8,Ciclo
13,10/04/2001,0.0,31.4,19.1,24.3,61.75,8,Ciclo
14,13/04/2001,0.0,31.6,18.2,25.14,57.75,1,Ciclo
15,16/04/2001,0.0,30.2,19.9,24.36,73.25,1,Ciclo
16,29/04/2001,0.0,30.4,19.8,24.28,68.25,2,Ciclo
17,28/09/2001,0.0,32.2,20.7,25.0,53.25,2,Ciclo
18,02/10/2001,0.0,34.0,18.7,25.4,46.0,5,Ciclo
19,03/10/2001,0.0,34.5,19.3,24.76,52.25,1,Ciclo
20,09/10/2001,0.0,31.8,20.9,24.42,65.25,1,Não ciclo
21,10/10/2001,0.2,30.2,21.1,24.74,71.5,1,Não ciclo
22,12/10/2001,18.4,27.8,18.3,23.14,68.0,1,Não ciclo
23,31/01/2002,0.0,31.4,21.3,25.42,66.25,1,Não ciclo
24,18/03/2002,0.0,33.0,22.6,25.84,63.25,1,Não ciclo
25,22/04/2002,0.2,31.4,18.7,24.62,64.0,1,Não ciclo
26,27/04/2002,0.0,24.8,18.3,23.02,68.75,1,Não ciclo
27,04/05/2002,0.0,24.2,21.1,23.46,67.75,1,Não ciclo
28,05/05/2002,0.0,30.6,20.7,24.66,63.25,1,Não ciclo
29,16/05/2002,0.0,29.6,19.1,22.76,71.5,1,Não ciclo
30,11/06/2002,1.9,26.2,18.5,21.76,76.75,5,Não ciclo
31,03/12/2002,0.0,33.8,19.7,25.7,48.75,3,Não ciclo
32,10/12/2002,9.1,31.2,20.5,24.62,87.0,1,Não ciclo
33,13/12/2002,0.0,30.2,21.1,24.26,73.5,1,Não ciclo
34,14/12/2002,0.1,32.6,20.9,25.7,66.75,1,Não ciclo
35,18/12/2002,0.0,31.7,21.5,25.32,67.25,6,Não ciclo
36,20/12/2002,0.0,34.2,20.2,26.28,53.0,1,Não ciclo
37,02/01/2003,0.0,33.4,19.7,25.86,74.75,1,Não ciclo
38,09/01/2003,0.0,31.4,21.5,25.74,69.25,1,Não ciclo
39,15/01/2003,33.0,32.0,20.0,25.7,77.0,17,Não ciclo
