,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,16/02/2001,0.0,30.1,17.7,23.12,60.25,1,Não ciclo
1,09/03/2001,0.0,31.8,18.5,23.88,51.5,1,Não ciclo
2,15/03/2001,10.7,25.2,17.8,20.36,89.75,1,Não ciclo
3,21/05/2001,0.0,24.6,15.2,19.04,72.5,1,Não ciclo
4,01/06/2001,1.2,24.6,17.1,19.62,81.75,1,Não ciclo
5,02/06/2001,0.6,25.7,17.3,20.44,77.75,3,Não ciclo
6,02/08/2001,8.0,21.6,14.3,17.22,80.5,1,Não ciclo
7,31/12/2001,24.8,25.2,18.1,20.42,84.5,1,Não ciclo
8,05/01/2002,30.2,26.7,18.8,21.58,80.75,2,Não ciclo
9,06/02/2002,48.4,21.8,17.7,19.26,86.75,3,Não ciclo
10,07/02/2002,3.8,25.0,17.5,20.58,81.25,1,Não ciclo
11,09/02/2002,0.0,25.6,16.1,20.58,71.5,1,Não ciclo
12,13/02/2002,0.0,26.6,15.9,20.5,64.5,4,Não ciclo
13,14/02/2002,0.0,27.0,17.3,21.58,68.75,1,Não ciclo
14,15/02/2002,0.0,27.0,18.5,22.1,67.0,1,Não ciclo
15,16/02/2002,0.4,26.5,19.3,21.88,77.25,1,Não ciclo
16,18/02/2002,0.0,28.2,17.9,22.18,67.25,2,Não ciclo
17,19/02/2002,0.0,27.6,19.7,22.26,66.0,2,Não ciclo
18,20/02/2002,0.0,26.8,18.3,21.78,61.25,1,Não ciclo
19,21/02/2002,0.0,27.0,17.8,21.72,58.75,1,Não ciclo
20,22/02/2002,0.0,28.8,17.9,22.26,60.75,1,Não ciclo
21,23/02/2002,0.0,29.6,17.7,22.5,60.75,1,Não ciclo
22,24/02/2002,0.0,29.5,16.9,23.64,48.75,1,Não ciclo
23,25/02/2002,0.0,28.6,15.9,20.98,61.25,1,Não ciclo
24,26/02/2002,0.0,27.0,16.7,20.9,59.25,2,Não ciclo
25,27/02/2002,0.0,26.3,17.5,20.92,62.5,1,Não ciclo
26,28/02/2002,0.0,26.5,15.9,20.84,60.5,3,Não ciclo
27,01/03/2002,0.0,26.8,17.7,21.02,65.75,2,Não ciclo
28,02/03/2002,0.0,26.9,17.5,21.64,64.5,1,Não ciclo
29,04/03/2002,1.9,26.3,18.4,21.14,77.25,5,Não ciclo
30,05/03/2002,0.4,24.9,18.1,20.38,84.75,1,Não ciclo
31,06/03/2002,0.0,27.5,18.4,21.64,81.5,2,Não ciclo
32,07/03/2002,0.9,27.5,18.5,21.66,78.25,1,Não ciclo
33,11/03/2002,0.0,25.8,17.3,21.14,77.75,2,Não ciclo
34,12/03/2002,0.2,26.7,17.9,20.84,78.5,2,Não ciclo
35,14/03/2002,0.0,28.2,18.7,22.1,66.0,1,Não ciclo
36,15/03/2002,0.0,27.7,18.7,22.24,71.25,2,Não ciclo
37,18/03/2002,0.0,26.9,17.6,21.22,71.0,3,Não ciclo
38,19/03/2002,0.0,29.3,19.0,22.46,73.0,1,Não ciclo
39,20/03/2002,0.6,28.4,18.9,22.34,75.25,1,Não ciclo
40,25/03/2002,0.2,28.7,18.9,22.76,66.0,2,Não ciclo
41,27/03/2002,0.0,28.1,18.7,22.64,63.5,2,Não ciclo
42,28/03/2002,0.0,26.0,16.9,21.42,67.25,1,Não ciclo
43,01/04/2002,1.3,25.1,18.2,20.9,78.0,1,Não ciclo
44,02/04/2002,0.0,25.4,18.7,21.08,83.75,2,Não ciclo
45,03/04/2002,0.0,25.8,18.0,20.84,76.25,2,Não ciclo
46,04/04/2002,0.0,26.1,16.6,20.34,98.0,1,Não ciclo
47,05/04/2002,0.0,21.0,18.1,19.98,77.0,2,Não ciclo
48,06/04/2002,0.0,26.7,17.7,21.2,70.75,2,Não ciclo
49,07/04/2002,1.3,26.0,18.9,21.22,83.5,2,Não ciclo
50,08/04/2002,0.3,27.5,18.3,21.68,75.0,2,Não ciclo
51,09/04/2002,0.0,27.3,18.9,21.88,76.0,1,Não ciclo
52,10/04/2002,0.0,27.1,18.9,21.88,73.0,1,Não ciclo
53,11/04/2002,0.0,25.6,18.7,21.34,76.75,1,Não ciclo
54,12/04/2002,0.0,25.8,18.8,21.42,76.75,1,Não ciclo
55,13/04/2002,0.0,26.9,18.7,21.84,73.25,7,Não ciclo
56,15/04/2002,3.2,24.9,18.1,20.66,87.5,2,Não ciclo
57,16/04/2002,1.8,26.5,17.1,21.1,80.25,3,Não ciclo
58,17/04/2002,0.0,28.2,18.6,22.04,68.0,5,Não ciclo
59,18/04/2002,0.0,27.0,18.3,21.5,79.75,1,Não ciclo
60,19/04/2002,0.2,26.9,18.1,21.3,72.5,1,Não ciclo
61,24/04/2002,2.0,24.2,16.8,19.6,84.25,3,Não ciclo
62,28/04/2002,0.0,26.7,15.5,20.16,68.75,1,Não ciclo
63,08/05/2002,3.1,25.5,16.1,19.76,80.0,1,Não ciclo
64,13/05/2002,2.5,24.8,17.0,19.92,82.0,1,Não ciclo
65,20/05/2002,0.0,26.3,18.1,20.8,74.75,2,Não ciclo
66,28/05/2002,0.0,25.6,14.4,18.64,61.0,1,Não ciclo
67,06/06/2002,0.0,25.4,15.9,19.98,80.0,1,Não ciclo
68,12/06/2002,5.4,23.7,16.6,19.22,93.75,1,Não ciclo
69,02/07/2002,2.1,23.4,15.9,18.02,83.25,1,Não ciclo
70,06/07/2002,0.5,23.0,15.3,18.06,81.0,1,Não ciclo
71,11/07/2002,2.2,22.0,16.0,18.04,92.25,1,Não ciclo
72,27/07/2002,0.5,22.5,16.2,18.74,85.0,1,Não ciclo
73,02/10/2002,0.0,28.8,17.1,21.52,64.75,2,Não ciclo
74,25/02/2003,0.0,27.9,18.7,22.2,75.25,1,Não ciclo
75,07/04/2003,0.0,32.2,20.3,24.66,72.25,1,Não ciclo
76,08/04/2003,10.2,29.1,19.7,23.24,74.5,1,Não ciclo
77,15/04/2003,0.2,28.6,19.4,22.82,73.0,3,Não ciclo
78,17/04/2003,1.8,27.6,18.2,21.72,79.5,1,Não ciclo
79,20/04/2003,0.4,27.7,17.9,21.92,74.0,1,Não ciclo
80,23/04/2003,0.0,25.2,17.9,21.22,78.75,2,Não ciclo
81,25/04/2003,0.0,28.3,17.7,22.16,70.5,2,Não ciclo
82,26/04/2003,0.0,27.3,19.1,22.32,75.5,1,Não ciclo
83,27/04/2003,0.0,28.9,17.7,22.56,73.5,2,Não ciclo
84,29/04/2003,0.0,27.9,18.3,21.86,67.0,2,Não ciclo
85,01/05/2003,0.0,29.7,18.3,22.76,60.0,7,Não ciclo
86,03/05/2003,3.6,31.6,19.5,24.5,59.0,1,Não ciclo
87,04/05/2003,1.7,25.6,18.1,19.92,94.75,1,Não ciclo
88,05/05/2003,2.5,23.2,17.9,19.62,89.5,3,Não ciclo
89,06/05/2003,1.8,25.2,17.3,19.86,83.25,2,Não ciclo
90,07/05/2003,0.0,27.5,17.7,21.12,81.5,1,Não ciclo
91,09/05/2003,0.0,26.7,18.9,21.72,73.25,2,Não ciclo
92,12/05/2003,0.1,23.5,16.5,19.68,81.5,16,Não ciclo
93,13/05/2003,0.3,24.6,16.8,19.82,85.0,3,Não ciclo
94,14/05/2003,1.4,23.8,17.5,20.04,87.0,1,Não ciclo
95,16/05/2003,2.7,21.3,16.9,18.18,87.0,1,Não ciclo
96,19/05/2003,1.0,23.8,16.9,19.46,85.0,3,Não ciclo
97,20/05/2003,3.0,21.6,16.3,18.38,88.5,2,Não ciclo
98,21/05/2003,0.0,24.8,16.5,19.54,79.25,1,Não ciclo
99,22/05/2003,0.3,25.6,17.7,20.22,83.0,2,Não ciclo
100,26/05/2003,16.2,26.1,19.0,21.86,83.75,2,Não ciclo
101,27/05/2003,20.5,23.8,17.8,19.8,95.0,1,Não ciclo
102,03/06/2003,2.8,20.8,17.7,18.46,88.75,1,Não ciclo
103,10/06/2003,2.3,22.9,15.1,18.82,88.25,1,Não ciclo
104,13/06/2003,0.2,24.0,14.2,18.4,76.75,1,Não ciclo
105,19/06/2003,0.0,21.2,16.7,18.42,90.0,1,Não ciclo
106,24/07/2003,5.4,23.1,15.3,18.74,83.25,1,Não ciclo
107,03/02/2004,0.0,25.4,17.7,21.3,75.75,1,Não ciclo
108,29/04/2004,8.6,20.8,17.1,18.56,92.75,1,Não ciclo
109,23/12/2004,0.0,28.1,17.7,22.1,59.5,1,Não ciclo
110,11/03/2005,3.4,28.5,19.8,23.48,74.75,1,Não ciclo
111,15/03/2005,1.7,26.9,19.5,22.32,79.25,1,Não ciclo
112,16/03/2005,0.0,27.3,19.1,22.48,72.0,2,Não ciclo
113,17/03/2005,0.0,27.7,18.7,22.68,69.0,1,Não ciclo
114,18/03/2005,0.0,27.8,18.7,22.42,70.75,3,Não ciclo
115,23/03/2005,0.0,27.5,18.4,22.78,70.75,6,Não ciclo
116,28/03/2005,0.0,27.3,19.3,22.56,83.5,1,Não ciclo
117,29/03/2005,0.8,25.8,19.7,21.7,89.0,1,Não ciclo
118,01/04/2005,0.0,26.5,18.5,21.6,82.5,1,Não ciclo
119,03/04/2005,2.2,25.8,18.8,21.12,88.5,6,Não ciclo
120,04/04/2005,1.2,26.4,19.3,21.64,84.25,6,Não ciclo
121,05/04/2005,2.7,23.9,18.9,20.72,84.0,5,Não ciclo
122,07/04/2005,4.6,25.8,18.9,20.56,83.5,1,Não ciclo
123,08/04/2005,0.4,25.9,15.9,20.84,75.5,1,Não ciclo
124,10/04/2005,0.6,24.8,17.7,20.96,78.75,1,Não ciclo
125,11/04/2005,1.4,25.6,18.5,20.78,83.25,2,Não ciclo
126,12/04/2005,0.4,26.3,17.7,21.4,73.25,2,Não ciclo
127,13/04/2005,0.2,22.4,18.3,19.86,94.25,11,Não ciclo
128,15/04/2005,1.4,23.3,17.5,20.0,91.0,3,Não ciclo
129,16/04/2005,10.4,24.2,18.1,20.26,87.25,3,Não ciclo
130,17/04/2005,0.2,25.0,18.9,20.94,86.25,2,Não ciclo
131,18/04/2005,0.8,24.1,18.6,20.58,87.75,2,Não ciclo
132,19/04/2005,0.4,23.7,17.1,19.92,83.25,6,Não ciclo
133,20/04/2005,0.0,25.6,17.9,20.7,82.25,20,Não ciclo
134,22/04/2005,0.6,25.8,18.8,20.78,85.25,1,Não ciclo
135,25/04/2005,0.0,25.2,18.5,20.78,74.75,5,Não ciclo
