,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,10/05/2001,0.0,34.3,23.6,28.24,61.0,1,Não ciclo
1,10/06/2001,2.9,27.7,20.5,23.18,83.75,1,Não ciclo
2,18/07/2001,0.0,29.4,21.1,23.78,81.75,2,Não ciclo
3,24/07/2001,0.3,25.9,18.0,21.6,83.5,2,Não ciclo
4,14/08/2001,0.0,23.9,18.2,20.52,89.75,2,Não ciclo
5,30/09/2001,0.0,33.2,21.3,26.24,56.25,1,Não ciclo
6,17/10/2001,5.8,30.6,20.5,25.28,70.0,2,Não ciclo
7,29/10/2001,0.0,33.6,22.4,26.38,65.25,3,Não ciclo
8,05/11/2001,0.0,36.2,21.6,28.34,55.0,8,Não ciclo
9,12/11/2001,0.0,35.0,22.2,27.58,55.75,2,Não ciclo
10,15/11/2001,0.0,34.5,22.2,27.72,57.5,2,Não ciclo
11,16/11/2001,0.0,36.5,22.0,28.58,55.0,2,Não ciclo
12,19/11/2001,0.0,34.9,21.3,27.22,51.0,2,Não ciclo
13,21/11/2001,0.0,34.1,23.2,27.48,49.75,1,Não ciclo
14,23/11/2001,0.0,34.1,21.5,27.0,54.75,4,Não ciclo
15,05/12/2001,0.0,34.9,22.2,27.66,54.25,2,Não ciclo
16,13/12/2001,1.2,35.0,21.6,27.6,54.5,2,Não ciclo
17,15/01/2002,0.0,29.7,22.4,26.16,78.0,2,Não ciclo
18,01/02/2002,0.0,32.3,22.0,26.46,56.0,2,Não ciclo
19,14/02/2002,0.0,30.7,21.2,24.62,79.75,2,Não ciclo
20,18/02/2002,0.0,32.2,22.1,26.54,68.75,2,Não ciclo
21,19/02/2002,0.0,32.2,22.2,26.74,64.25,4,Não ciclo
22,20/02/2002,0.0,32.0,21.1,26.46,64.25,8,Não ciclo
23,21/02/2002,0.0,30.7,21.8,26.08,67.0,2,Não ciclo
24,22/02/2002,0.0,32.7,21.8,27.1,60.5,2,Não ciclo
25,24/02/2002,0.0,27.1,22.2,26.08,58.25,2,Não ciclo
26,25/02/2002,0.0,33.8,23.2,27.82,60.0,10,Não ciclo
27,26/02/2002,0.0,32.9,22.8,27.1,58.25,2,Não ciclo
28,27/02/2002,0.0,33.7,22.4,27.16,59.0,2,Não ciclo
29,02/03/2002,0.0,27.1,22.8,26.0,59.0,4,Ciclo
30,03/03/2002,0.0,27.1,22.1,25.16,67.0,3,Ciclo
31,04/03/2002,0.2,33.6,22.2,26.02,71.25,2,Ciclo
32,05/03/2002,5.7,30.1,20.6,24.58,75.0,7,Ciclo
33,06/03/2002,0.0,32.8,22.2,26.58,71.75,2,Ciclo
34,07/03/2002,0.0,32.7,22.5,26.84,67.5,3,Ciclo
35,08/03/2002,0.0,32.9,21.9,26.82,60.5,9,Ciclo
36,09/03/2002,0.0,33.2,21.6,26.62,61.25,4,Ciclo
37,10/03/2002,0.0,32.9,21.4,26.7,59.5,3,Ciclo
38,11/03/2002,0.0,32.2,22.0,26.54,62.25,6,Ciclo
39,12/03/2002,0.0,33.8,22.0,27.12,57.75,7,Ciclo
40,13/03/2002,0.0,34.1,21.9,27.12,59.5,19,Ciclo
41,14/03/2002,0.0,26.9,20.5,25.68,59.5,14,Ciclo
42,15/03/2002,0.0,27.9,21.6,26.8,52.25,16,Ciclo
