,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,09/02/2001,0.0,32.3,20.0,26.16,63.5,1,Não ciclo
1,15/02/2001,0.0,32.7,22.3,27.5,62.25,1,Não ciclo
2,06/03/2001,0.0,32.7,23.3,27.78,69.5,2,Não ciclo
3,14/03/2001,5.1,29.7,20.9,24.3,83.75,1,Não ciclo
4,15/03/2001,3.0,29.5,21.9,25.42,80.5,1,Não ciclo
5,22/03/2001,0.0,31.7,21.0,26.2,64.25,1,Não ciclo
6,23/03/2001,0.0,32.7,22.1,26.86,66.5,1,Não ciclo
7,26/03/2001,0.0,33.7,18.8,26.48,62.5,4,Não ciclo
8,28/03/2001,0.0,33.9,20.1,27.26,62.25,1,Não ciclo
9,30/03/2001,0.0,33.7,21.4,27.24,64.5,2,Não ciclo
10,03/04/2001,0.0,32.1,21.9,26.46,66.75,2,Não ciclo
11,09/04/2001,0.0,32.3,21.9,26.46,59.5,2,Não ciclo
12,10/04/2001,0.0,32.9,20.0,26.36,63.25,2,Não ciclo
13,16/04/2001,0.0,33.1,24.3,27.7,67.5,2,Não ciclo
14,17/04/2001,0.0,33.9,23.3,28.14,65.25,5,Não ciclo
15,18/04/2001,0.0,33.7,18.0,26.96,56.25,2,Não ciclo
16,19/04/2001,0.0,33.7,20.0,27.36,59.75,4,Não ciclo
17,23/04/2001,0.0,33.7,21.7,27.18,55.75,1,Não ciclo
18,24/04/2001,0.0,33.3,21.0,27.32,59.75,3,Não ciclo
19,30/04/2001,0.0,32.9,22.2,27.28,54.0,4,Não ciclo
20,02/05/2001,0.0,31.5,21.5,26.58,63.25,1,Não ciclo
21,04/05/2001,0.0,33.1,21.4,26.72,54.0,4,Não ciclo
22,09/05/2001,3.2,35.3,22.3,28.46,63.5,2,Não ciclo
23,14/11/2001,0.0,36.3,24.8,29.96,49.25,2,Não ciclo
24,01/03/2002,0.0,33.5,24.6,28.08,59.5,1,Não ciclo
25,08/03/2002,0.0,32.9,25.2,28.28,58.75,1,Não ciclo
26,01/06/2002,0.0,35.0,23.5,28.4,51.0,1,Não ciclo
27,13/03/2003,0.0,35.3,25.4,30.64,40.25,1,Não ciclo
28,24/03/2003,16.0,29.9,20.0,24.68,70.75,1,Não ciclo
29,23/04/2003,0.0,32.3,23.7,27.9,48.25,1,Não ciclo
30,25/04/2003,0.0,32.5,24.3,27.14,48.75,2,Não ciclo
31,28/04/2003,0.0,28.7,23.1,25.82,57.0,1,Não ciclo
32,05/05/2003,4.0,27.9,23.5,25.5,71.25,1,Não ciclo
33,08/05/2003,0.0,31.9,21.0,27.0,71.0,1,Não ciclo
34,09/05/2003,0.0,32.3,21.5,27.18,64.0,3,Não ciclo
35,14/05/2003,0.0,31.1,20.0,26.44,60.0,1,Não ciclo
36,15/05/2003,0.0,30.1,22.1,26.54,61.0,1,Não ciclo
37,16/05/2003,0.0,31.1,20.0,25.2,70.0,3,Não ciclo
38,21/05/2003,0.0,31.9,19.0,26.48,56.0,2,Não ciclo
39,27/05/2003,0.0,31.3,22.1,26.62,75.0,1,Não ciclo
40,28/05/2003,0.0,31.3,20.8,26.32,70.0,3,Não ciclo
41,29/05/2003,0.0,30.1,21.9,25.9,69.0,3,Não ciclo
42,02/06/2003,0.0,31.1,21.9,26.42,64.0,4,Não ciclo
43,03/06/2003,0.0,30.7,20.0,26.36,58.0,3,Não ciclo
44,04/06/2003,0.0,31.3,21.0,26.4,60.0,1,Não ciclo
45,05/06/2003,0.0,30.5,21.9,26.18,65.0,6,Não ciclo
46,06/06/2003,0.0,30.3,21.7,25.7,62.0,1,Não ciclo
47,09/06/2003,0.0,29.9,22.3,25.66,87.0,3,Não ciclo
48,10/06/2003,0.0,30.3,22.7,25.78,64.0,3,Não ciclo
49,11/06/2003,0.0,31.3,23.5,26.3,65.0,1,Não ciclo
50,12/06/2003,0.0,31.3,20.8,25.68,69.0,2,Não ciclo
51,13/06/2003,0.0,30.9,19.0,25.2,63.0,1,Não ciclo
52,16/06/2003,0.0,30.3,21.7,25.62,65.0,1,Não ciclo
53,17/06/2003,0.0,30.3,20.0,25.4,54.0,1,Não ciclo
54,26/06/2003,0.0,29.9,21.9,25.26,68.0,6,Não ciclo
55,30/06/2003,0.0,30.1,19.4,24.84,63.0,1,Não ciclo
56,03/07/2003,0.0,30.1,19.0,24.88,55.0,1,Não ciclo
57,07/07/2003,0.0,30.9,21.0,25.6,51.0,1,Não ciclo
58,08/07/2003,0.0,31.3,21.0,25.44,60.0,3,Não ciclo
59,11/07/2003,0.0,31.1,20.0,25.92,63.0,1,Não ciclo
60,14/07/2003,0.0,27.7,20.0,23.64,66.0,3,Não ciclo
61,17/07/2003,0.0,28.5,20.0,24.08,71.0,2,Não ciclo
62,25/07/2003,0.0,28.7,19.8,24.84,63.0,1,Não ciclo
63,13/08/2003,0.0,31.9,19.4,25.8,64.0,1,Não ciclo
64,20/08/2003,0.0,29.7,19.6,25.12,54.0,1,Não ciclo
65,30/03/2004,0.0,30.9,19.6,24.82,71.0,1,Não ciclo
66,14/07/2004,0.0,28.1,19.6,24.82,64.0,1,Não ciclo
67,30/08/2004,0.0,32.9,19.6,24.82,46.0,1,Não ciclo
68,21/03/2005,0.0,31.7,22.9,27.66,77.0,1,Não ciclo
69,22/03/2005,0.0,31.9,22.1,27.9,77.0,6,Não ciclo
70,23/03/2005,0.0,32.3,22.1,27.66,77.0,1,Não ciclo
71,28/03/2005,15.3,27.3,23.1,24.34,77.0,1,Não ciclo
72,29/03/2005,0.0,31.3,21.5,25.78,77.0,2,Não ciclo
73,30/03/2005,22.6,29.7,21.5,25.22,77.0,2,Não ciclo
74,31/03/2005,26.4,30.5,22.7,26.26,77.0,3,Não ciclo
75,01/04/2005,0.0,30.7,23.1,26.54,77.0,3,Não ciclo
76,04/04/2005,0.0,31.1,24.1,27.02,77.0,6,Não ciclo
77,05/04/2005,0.0,31.5,24.7,27.18,77.0,2,Não ciclo
78,06/04/2005,0.0,31.9,24.5,27.34,77.0,1,Não ciclo
79,08/04/2005,0.0,31.3,23.7,27.38,77.0,7,Não ciclo
80,11/04/2005,0.0,31.3,24.9,27.7,77.0,4,Não ciclo
81,12/04/2005,0.0,31.1,24.7,27.62,77.0,7,Não ciclo
82,13/04/2005,0.4,30.1,22.9,26.9,77.0,10,Ciclo
83,14/04/2005,0.0,30.9,24.1,27.58,77.0,11,Ciclo
84,15/04/2005,0.0,31.3,24.5,27.38,77.0,7,Ciclo
85,17/04/2005,0.0,31.1,22.5,27.02,77.0,1,Ciclo
86,18/04/2005,0.0,31.5,25.1,27.7,77.0,13,Ciclo
87,19/04/2005,0.2,31.1,25.1,27.86,77.0,14,Ciclo
88,20/04/2005,0.0,30.5,22.3,26.62,77.0,12,Ciclo
89,21/04/2005,0.0,31.3,24.1,27.5,77.0,5,Ciclo
90,22/04/2005,0.0,30.5,22.5,26.66,77.0,8,Ciclo
91,25/04/2005,0.0,32.5,22.5,26.82,77.0,23,Ciclo
92,26/04/2005,0.0,33.1,20.9,27.54,77.0,8,Ciclo
93,27/04/2005,0.0,31.7,22.7,27.66,77.0,15,Ciclo
94,28/04/2005,4.3,30.3,23.1,25.7,77.0,8,Ciclo
95,29/04/2005,0.0,32.1,21.9,26.38,77.0,19,Ciclo
96,02/05/2005,0.2,26.5,21.3,24.54,77.0,19,Ciclo
97,03/05/2005,0.0,28.9,23.5,26.22,77.0,12,Ciclo
98,04/05/2005,0.0,30.1,23.5,26.3,77.0,9,Ciclo
99,05/05/2005,0.0,29.7,24.1,26.46,77.0,9,Ciclo
100,06/05/2005,0.0,27.9,23.5,25.9,77.0,14,Ciclo
101,08/05/2005,0.0,28.9,23.5,25.58,77.0,1,Ciclo
102,09/05/2005,0.4,28.7,22.1,25.18,77.0,16,Ciclo
103,10/05/2005,2.0,29.5,22.9,26.26,77.0,8,Ciclo
104,11/05/2005,0.0,30.3,23.3,26.58,77.0,8,Ciclo
105,12/05/2005,0.0,30.3,23.5,26.58,77.0,15,Ciclo
106,13/05/2005,0.0,29.3,23.9,26.54,77.0,7,Ciclo
107,14/05/2005,0.8,30.5,23.1,26.46,77.0,5,Ciclo
108,16/05/2005,0.0,30.5,23.7,26.82,77.0,36,Ciclo
109,17/05/2005,0.0,30.5,24.1,27.1,77.0,18,Ciclo
110,18/05/2005,0.0,31.3,23.3,26.74,77.0,10,Ciclo
111,19/05/2005,0.0,29.7,22.1,26.22,77.0,9,Ciclo
112,20/05/2005,0.0,30.9,19.0,25.64,77.0,4,Ciclo
113,23/05/2005,0.0,31.7,22.5,26.3,77.0,18,Ciclo
114,24/05/2005,7.8,29.7,22.9,26.38,77.0,9,Ciclo
115,25/05/2005,0.0,31.1,22.1,26.7,77.0,11,Ciclo
116,27/05/2005,0.0,31.7,22.9,27.78,77.0,11,Ciclo
117,30/05/2005,0.0,29.9,22.7,26.7,77.0,13,Ciclo
118,31/05/2005,0.6,29.1,22.9,25.78,77.0,19,Ciclo
119,01/06/2005,3.0,29.3,22.1,25.18,77.0,11,Ciclo
120,02/06/2005,0.2,29.9,21.7,25.46,77.0,13,Ciclo
121,03/06/2005,0.0,29.5,22.5,25.74,77.0,14,Ciclo
122,06/06/2005,0.2,28.3,23.1,25.62,77.0,7,Ciclo
123,07/06/2005,0.0,29.1,23.1,25.54,77.0,8,Ciclo
124,08/06/2005,0.2,29.1,22.5,25.58,77.0,2,Ciclo
125,09/06/2005,0.0,29.5,22.5,25.46,77.0,4,Ciclo
126,10/06/2005,0.0,29.5,20.5,25.14,77.0,1,Não ciclo
127,16/06/2005,0.0,30.1,22.5,25.86,77.0,1,Não ciclo
128,17/06/2005,0.0,30.3,21.9,25.3,77.0,1,Não ciclo
129,20/06/2005,0.0,31.3,22.1,26.78,77.0,6,Não ciclo
130,22/06/2005,0.0,30.5,23.9,26.66,77.0,1,Não ciclo
131,27/06/2005,0.0,29.7,22.7,26.14,77.0,1,Não ciclo
132,28/06/2005,0.0,29.5,23.3,26.14,77.0,1,Não ciclo
133,30/06/2005,0.0,29.3,18.6,24.56,77.0,2,Não ciclo
134,01/07/2005,0.0,28.9,21.9,25.42,77.0,1,Não ciclo
135,11/07/2005,0.0,28.9,20.7,24.62,77.0,1,Não ciclo
136,18/07/2005,0.0,30.1,21.7,24.7,77.0,1,Não ciclo
137,27/07/2005,0.0,31.5,21.5,25.82,77.0,1,Não ciclo
138,02/08/2005,0.0,27.9,19.0,24.16,77.0,1,Não ciclo
139,05/08/2005,0.0,30.1,21.3,25.14,77.0,1,Não ciclo
140,11/08/2005,0.0,31.9,22.1,26.7,77.0,2,Não ciclo
141,15/08/2005,0.0,31.7,21.7,26.34,77.0,1,Não ciclo
142,17/08/2005,0.0,31.5,21.9,25.86,77.0,1,Não ciclo
143,19/08/2005,0.0,30.5,21.1,25.58,77.0,1,Não ciclo
144,15/09/2005,0.0,32.3,21.9,26.26,68.75,1,Não ciclo
145,12/12/2005,0.0,30.9,20.9,26.66,73.25,2,Não ciclo
146,09/01/2006,0.0,32.5,21.7,27.78,62.75,1,Não ciclo
147,10/01/2006,0.0,33.1,21.7,27.46,67.75,1,Não ciclo
148,12/01/2006,0.0,33.9,24.5,28.58,62.25,2,Não ciclo
149,13/01/2006,0.0,33.9,24.7,28.7,68.5,1,Não ciclo
150,18/01/2006,0.0,33.5,24.9,28.86,68.25,1,Não ciclo
151,19/01/2006,0.0,33.7,24.7,28.94,67.5,1,Não ciclo
152,20/01/2006,0.0,33.7,24.7,28.38,64.25,1,Não ciclo
153,21/01/2006,0.0,33.9,24.7,28.78,65.25,1,Não ciclo
154,23/01/2006,0.0,35.1,21.1,28.74,66.0,1,Não ciclo
155,24/01/2006,0.0,36.5,26.4,30.82,60.75,3,Não ciclo
156,25/01/2006,0.0,36.3,26.6,30.92,53.25,6,Não ciclo
157,26/01/2006,0.0,36.3,24.1,30.7,53.0,3,Não ciclo
158,27/01/2006,0.0,36.5,26.4,30.84,57.5,4,Não ciclo
159,30/01/2006,0.0,34.5,23.5,29.5,63.75,10,Não ciclo
160,31/01/2006,0.0,34.5,24.1,29.78,60.25,4,Não ciclo
161,01/02/2006,0.0,34.1,24.7,28.9,67.5,3,Não ciclo
162,02/02/2006,0.0,34.1,21.3,28.58,66.25,1,Não ciclo
163,03/02/2006,0.0,34.3,23.9,29.06,61.25,1,Não ciclo
164,06/02/2006,0.0,33.7,23.7,26.74,74.75,8,Não ciclo
165,08/02/2006,0.0,33.5,22.1,28.06,69.75,3,Não ciclo
166,09/02/2006,0.0,35.3,22.5,28.94,66.25,6,Não ciclo
167,10/02/2006,0.0,34.9,24.7,28.38,65.75,10,Não ciclo
168,11/02/2006,0.0,33.7,23.9,28.02,70.25,1,Não ciclo
169,14/02/2006,2.8,32.3,21.7,25.66,89.75,2,Não ciclo
170,15/02/2006,20.6,31.7,22.1,26.62,78.25,2,Não ciclo
171,16/02/2006,37.6,30.7,20.0,25.64,84.25,2,Não ciclo
172,17/02/2006,0.0,31.7,21.9,26.78,71.5,11,Não ciclo
173,20/02/2006,0.0,32.7,20.9,27.3,71.25,6,Não ciclo
174,21/02/2006,0.0,32.7,22.9,27.62,70.25,1,Não ciclo
175,22/02/2006,0.0,33.7,22.5,30.14,58.75,4,Não ciclo
176,23/02/2006,0.0,29.7,23.5,26.18,85.0,4,Não ciclo
177,24/02/2006,2.6,25.9,20.7,23.7,91.5,2,Não ciclo
178,27/02/2006,9.1,29.5,20.7,25.18,89.5,3,Não ciclo
179,01/03/2006,0.0,31.5,22.7,26.98,71.75,4,Não ciclo
180,02/03/2006,0.0,31.5,22.1,26.9,75.25,4,Não ciclo
181,03/03/2006,0.0,32.3,22.1,27.1,73.0,3,Não ciclo
182,06/03/2006,3.8,30.3,23.3,25.38,86.75,4,Não ciclo
183,07/03/2006,1.6,32.1,22.1,26.74,79.25,6,Não ciclo
184,08/03/2006,10.4,27.1,21.5,24.14,94.25,3,Não ciclo
185,09/03/2006,5.2,26.9,21.1,24.62,88.75,6,Não ciclo
186,10/03/2006,0.3,29.5,22.7,24.58,94.5,3,Não ciclo
187,13/03/2006,0.0,27.7,22.1,25.1,88.5,7,Não ciclo
188,14/03/2006,35.2,30.5,22.1,24.78,89.0,4,Não ciclo
189,15/03/2006,0.8,31.1,20.7,25.94,80.75,10,Não ciclo
190,16/03/2006,0.0,31.7,21.4,27.08,77.0,10,Não ciclo
191,17/03/2006,0.0,31.9,23.3,27.46,79.0,6,Não ciclo
192,20/03/2006,0.0,31.1,22.1,26.86,74.75,4,Não ciclo
193,21/03/2006,0.0,31.7,21.9,27.06,71.0,6,Não ciclo
194,22/03/2006,0.0,30.1,23.5,26.94,71.75,6,Não ciclo
195,23/03/2006,0.0,29.9,22.1,25.94,76.25,9,Não ciclo
196,24/03/2006,0.0,30.1,21.9,25.86,77.5,6,Não ciclo
197,27/03/2006,5.2,28.7,21.5,24.48,87.75,8,Não ciclo
198,28/03/2006,0.0,30.7,20.0,25.44,86.5,7,Não ciclo
199,29/03/2006,0.8,25.7,20.5,23.3,94.0,8,Não ciclo
200,30/03/2006,18.6,29.7,20.7,25.26,83.0,3,Não ciclo
201,31/03/2006,0.6,29.3,22.7,25.3,87.75,2,Não ciclo
202,01/04/2006,5.4,28.7,22.3,24.58,86.25,11,Ciclo
203,03/04/2006,34.6,30.3,23.3,25.58,88.25,14,Ciclo
204,04/04/2006,0.0,30.7,21.7,26.54,72.75,10,Ciclo
205,05/04/2006,0.0,29.9,21.3,26.5,69.25,15,Ciclo
206,06/04/2006,0.0,31.5,22.5,27.14,75.0,8,Ciclo
207,07/04/2006,0.0,31.3,21.9,27.34,68.5,4,Ciclo
208,10/04/2006,0.0,29.7,22.1,26.18,74.25,16,Ciclo
209,11/04/2006,15.6,30.7,22.1,25.58,79.25,10,Ciclo
210,12/04/2006,0.0,28.5,23.3,25.34,87.75,1,Ciclo
211,13/04/2006,6.1,28.7,22.5,25.3,84.75,2,Ciclo
212,17/04/2006,0.0,29.9,21.3,25.42,75.5,6,Ciclo
213,18/04/2006,0.0,29.9,21.9,25.42,75.5,10,Ciclo
214,19/04/2006,6.0,29.1,22.7,25.3,79.25,1,Ciclo
215,20/04/2006,0.0,29.9,22.5,26.34,70.5,4,Ciclo
216,23/04/2006,0.0,31.5,22.5,27.22,68.5,1,Não ciclo
217,24/04/2006,0.0,30.3,22.9,26.78,69.0,16,Não ciclo
218,25/04/2006,0.0,30.5,23.3,26.42,69.0,8,Não ciclo
219,26/04/2006,0.2,29.9,24.3,26.78,58.5,5,Não ciclo
220,27/04/2006,0.0,31.1,21.7,27.18,63.0,10,Não ciclo
221,29/04/2006,0.0,31.5,21.7,27.22,62.0,3,Não ciclo
222,02/05/2006,0.0,31.5,23.7,27.38,66.5,4,Não ciclo
223,03/05/2006,0.0,31.1,24.3,27.58,67.25,7,Não ciclo
224,04/05/2006,0.0,31.3,22.5,26.54,67.25,8,Não ciclo
225,05/05/2006,0.0,31.9,20.9,27.1,65.75,1,Não ciclo
226,08/05/2006,0.0,29.9,21.5,26.18,64.25,2,Não ciclo
227,09/05/2006,0.0,30.7,21.3,26.42,61.75,5,Não ciclo
228,11/05/2006,0.0,31.5,21.5,26.74,66.75,1,Não ciclo
229,12/05/2006,0.0,32.1,22.5,27.54,77.0,1,Não ciclo
