,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,01/01/2001,0.0,30.6,24.0,26.56,78.75,2,Não ciclo
1,02/01/2001,0.0,31.0,23.2,26.26,76.75,3,Não ciclo
2,03/01/2001,0.0,30.1,23.4,26.88,73.25,3,Não ciclo
3,04/01/2001,29.6,29.9,22.7,25.92,81.75,2,Não ciclo
4,05/01/2001,0.8,29.6,23.2,25.84,80.75,2,Não ciclo
5,06/01/2001,1.7,29.2,23.4,25.66,85.75,2,Não ciclo
6,07/01/2001,2.3,30.2,22.7,25.28,85.5,3,Não ciclo
7,12/01/2001,7.8,29.2,23.8,25.82,84.5,1,Não ciclo
8,13/01/2001,2.2,28.3,24.1,26.02,80.75,2,Não ciclo
9,15/01/2001,0.1,30.2,24.4,26.34,76.75,2,Não ciclo
10,16/01/2001,0.0,30.0,23.7,26.8,71.0,2,Não ciclo
11,17/01/2001,0.0,29.6,23.8,26.5,77.5,1,Não ciclo
12,18/01/2001,3.6,29.9,24.0,25.88,83.5,1,Não ciclo
13,19/01/2001,1.5,30.3,23.8,26.7,77.25,2,Não ciclo
14,20/01/2001,6.4,29.7,24.4,26.46,79.25,2,Não ciclo
15,21/01/2001,0.2,30.6,23.8,26.74,75.25,1,Não ciclo
16,22/01/2001,0.0,30.1,23.2,26.54,85.75,2,Não ciclo
17,23/01/2001,7.2,30.4,23.1,26.64,80.0,2,Não ciclo
18,24/01/2001,0.0,30.4,23.2,26.52,76.75,9,Não ciclo
19,25/01/2001,0.0,30.6,23.3,26.54,79.5,4,Não ciclo
20,26/01/2001,0.3,31.2,24.4,27.26,75.25,3,Não ciclo
21,27/01/2001,0.0,31.6,25.1,27.68,73.25,6,Não ciclo
22,29/01/2001,0.0,31.6,24.4,27.28,74.0,1,Não ciclo
23,30/01/2001,0.0,31.4,24.3,27.48,70.0,11,Não ciclo
24,31/01/2001,0.0,31.6,23.6,27.2,69.25,4,Não ciclo
25,01/02/2001,0.0,31.0,23.5,26.3,72.5,3,Não ciclo
26,02/02/2001,0.0,31.9,24.3,27.16,79.25,3,Não ciclo
27,03/02/2001,0.0,31.9,25.0,27.56,79.25,6,Não ciclo
28,04/02/2001,0.0,30.8,25.3,27.32,78.0,1,Não ciclo
29,05/02/2001,10.2,31.2,24.2,27.02,76.0,79,Não ciclo
30,07/02/2001,0.0,32.2,25.0,27.6,76.75,9,Não ciclo
31,08/02/2001,0.0,32.2,24.5,27.32,78.25,8,Não ciclo
32,09/02/2001,0.6,32.0,25.4,27.42,75.25,2,Não ciclo
33,10/02/2001,0.0,31.2,24.6,27.36,71.0,5,Não ciclo
34,12/02/2001,0.0,31.4,24.8,27.58,73.5,17,Não ciclo
35,13/02/2001,0.0,31.9,24.8,27.74,75.5,17,Não ciclo
36,14/02/2001,0.0,32.8,25.2,28.06,72.75,18,Não ciclo
