,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,14/02/2002,0.0,32.6,17.9,24.96,75.75,1,Não ciclo
1,15/02/2002,0.0,32.6,19.7,26.16,77.75,1,Não ciclo
2,06/03/2002,0.0,33.0,21.1,26.36,85.75,1,Não ciclo
3,08/03/2004,0.4,31.6,19.5,25.32,57.75,1,Não ciclo
4,16/03/2004,43.8,30.4,18.9,24.76,71.0,1,Não ciclo
5,31/03/2004,0.0,30.8,19.3,25.0,64.75,1,Não ciclo
6,21/04/2006,0.0,30.0,20.1,24.96,78.25,2,Não ciclo
7,23/04/2006,0.2,29.8,22.2,25.46,80.75,3,Não ciclo
8,28/02/2007,0.0,33.3,22.6,26.42,67.0,1,Não ciclo
9,02/03/2007,0.0,32.3,19.7,25.48,67.0,1,Não ciclo
10,15/01/2008,0.0,32.2,19.7,26.52,46.75,1,Não ciclo
11,25/02/2008,19.4,30.8,22.0,25.62,68.25,1,Não ciclo
12,06/03/2009,1.8,27.0,20.7,23.78,84.25,1,Não ciclo
13,12/03/2009,0.2,32.4,22.8,26.38,63.75,1,Não ciclo
14,19/03/2009,0.0,31.7,19.7,24.66,74.0,2,Não ciclo
15,20/03/2009,1.2,31.7,21.7,26.22,68.75,3,Não ciclo
16,23/03/2009,0.0,32.6,21.3,25.56,77.0,2,Não ciclo
17,25/03/2009,0.4,30.8,20.3,24.48,75.75,1,Não ciclo
18,28/04/2009,0.0,31.8,22.0,25.52,75.5,1,Não ciclo
19,07/05/2009,0.5,32.4,20.7,25.36,75.5,1,Não ciclo
20,18/05/2009,0.0,31.0,21.5,24.5,75.5,3,Não ciclo
21,20/05/2009,0.0,29.9,20.9,24.48,75.5,1,Não ciclo
22,21/05/2009,0.0,29.4,19.3,23.7,75.5,1,Não ciclo
23,22/05/2009,0.0,30.4,18.3,23.6,75.5,1,Não ciclo
24,01/06/2009,0.0,33.4,17.6,25.38,75.5,1,Não ciclo
25,03/06/2009,16.4,26.4,21.3,22.78,75.5,1,Não ciclo
26,05/06/2009,0.0,31.1,18.3,23.84,75.5,2,Não ciclo
27,12/06/2009,0.0,31.8,16.3,23.44,75.5,2,Não ciclo
28,16/06/2009,0.0,31.2,16.7,22.66,75.5,1,Não ciclo
29,19/06/2009,0.0,32.0,14.9,23.58,75.5,1,Não ciclo
30,22/06/2009,0.0,31.2,15.1,22.84,75.5,1,Não ciclo
31,26/06/2009,0.0,33.0,15.3,23.96,75.5,1,Não ciclo
32,29/06/2009,0.0,32.4,15.9,23.88,75.5,1,Não ciclo
33,06/07/2009,0.0,31.2,15.3,23.0,75.5,2,Não ciclo
34,14/07/2009,0.0,32.2,15.7,24.2,75.5,2,Não ciclo
35,20/07/2009,0.0,34.6,16.3,24.26,75.5,2,Não ciclo
36,03/09/2009,0.0,37.0,17.5,27.96,75.5,1,Não ciclo
37,11/09/2009,0.0,34.0,19.7,26.84,75.5,1,Não ciclo
38,08/10/2009,0.0,37.8,24.5,30.56,75.5,1,Não ciclo
39,14/10/2009,0.0,35.0,22.6,27.72,75.5,1,Não ciclo
40,05/11/2009,0.0,32.6,20.3,26.2,57.5,1,Não ciclo
41,19/11/2009,0.0,30.0,21.7,25.94,57.5,2,Não ciclo
42,07/12/2009,19.2,33.4,20.1,24.42,57.5,1,Não ciclo
43,09/12/2009,0.0,35.0,21.1,27.84,57.5,2,Não ciclo
44,08/06/2010,0.0,35.6,16.9,26.04,49.0,4,Não ciclo
45,17/06/2010,0.0,33.6,12.9,22.86,51.75,2,Não ciclo
46,19/08/2010,0.0,29.8,14.5,22.22,42.75,1,Não ciclo
47,20/08/2010,0.0,30.6,11.2,21.38,44.25,18,Não ciclo
