,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,08/02/2001,0.0,33.8,21.9,27.34,46.5,1,Não ciclo
1,20/02/2001,0.1,31.2,21.0,25.12,67.0,1,Não ciclo
2,09/03/2001,0.0,34.3,21.9,27.5,42.25,1,Não ciclo
3,16/04/2001,0.0,30.4,21.3,25.6,62.25,1,Não ciclo
4,24/04/2001,0.0,28.7,20.8,23.92,73.5,1,Não ciclo
5,28/01/2002,0.0,30.4,19.7,24.32,60.75,1,Não ciclo
6,01/02/2002,0.0,31.5,21.3,26.04,57.5,1,Não ciclo
7,12/02/2002,5.7,28.8,19.6,23.68,69.5,1,Não ciclo
8,14/02/2002,0.0,29.3,20.1,24.4,66.0,1,Não ciclo
9,18/02/2002,0.0,29.8,21.0,24.76,65.75,1,Não ciclo
10,20/02/2002,0.0,29.4,21.0,24.2,73.25,1,Não ciclo
11,21/02/2002,0.4,30.0,21.0,25.08,59.0,1,Não ciclo
12,25/02/2002,0.0,30.8,20.2,24.9,56.25,2,Não ciclo
13,26/02/2002,0.0,29.6,20.5,24.92,56.0,1,Não ciclo
14,28/02/2002,0.0,30.0,19.8,24.7,51.75,1,Não ciclo
15,05/03/2002,0.5,28.7,21.0,23.24,79.75,1,Não ciclo
16,14/03/2002,0.0,31.0,21.0,25.48,56.25,1,Não ciclo
17,26/03/2002,0.0,31.0,19.8,25.42,56.5,1,Não ciclo
18,22/11/2002,0.0,33.0,21.5,27.04,47.25,1,Não ciclo
19,27/11/2002,0.0,31.8,20.8,26.04,45.0,1,Não ciclo
20,04/12/2002,0.0,34.0,22.3,27.5,52.5,1,Não ciclo
21,07/01/2003,0.0,36.3,23.8,29.96,37.25,1,Não ciclo
22,27/01/2003,0.0,31.8,22.4,26.98,52.25,1,Não ciclo
23,10/02/2003,1.0,32.6,20.5,26.06,57.0,1,Não ciclo
24,12/02/2003,0.0,31.6,20.1,25.8,46.5,1,Não ciclo
25,19/02/2003,0.0,34.6,21.0,27.16,55.5,1,Não ciclo
26,23/02/2003,0.5,32.0,21.0,26.14,59.25,1,Não ciclo
27,24/02/2003,0.0,32.8,21.3,25.88,63.25,1,Não ciclo
28,27/02/2003,0.0,34.4,19.7,27.26,38.0,3,Não ciclo
29,24/03/2003,5.6,30.8,22.0,25.52,63.75,1,Não ciclo
30,04/04/2003,0.0,32.6,22.0,26.98,57.75,1,Não ciclo
31,19/05/2003,0.0,27.6,19.8,23.1,81.75,1,Não ciclo
32,22/05/2003,1.7,27.4,20.2,23.16,85.5,1,Não ciclo
33,26/05/2003,0.0,31.9,21.3,26.08,67.25,2,Não ciclo
34,09/09/2003,0.0,27.7,18.2,22.0,73.0,1,Não ciclo
35,04/11/2003,95.0,27.6,19.8,21.66,95.0,1,Não ciclo
36,27/12/2003,0.0,31.6,20.2,26.48,47.0,1,Não ciclo
37,09/01/2004,0.0,33.7,22.5,27.86,51.25,1,Não ciclo
38,27/01/2004,2.8,29.7,21.0,24.52,73.25,1,Não ciclo
39,28/01/2004,1.7,29.4,20.3,23.36,83.75,1,Não ciclo
40,17/03/2004,0.0,31.6,21.2,26.36,63.25,1,Não ciclo
41,22/03/2004,0.0,31.6,21.9,25.62,69.5,1,Não ciclo
42,29/07/2004,0.4,24.7,16.0,20.36,72.5,1,Não ciclo
43,14/04/2005,6.4,27.2,19.8,22.78,78.0,1,Não ciclo
44,21/12/2005,0.0,31.6,19.7,25.62,51.75,1,Não ciclo
45,05/04/2006,0.0,28.9,21.0,24.4,73.0,1,Não ciclo
46,22/05/2006,0.0,28.2,17.8,22.48,61.0,2,Não ciclo
47,02/06/2006,0.0,26.8,17.9,21.2,69.5,1,Não ciclo
48,14/07/2006,1.2,23.0,17.3,19.2,83.0,1,Não ciclo
49,25/07/2006,1.2,24.2,16.8,20.24,79.5,1,Não ciclo
50,14/11/2006,0.0,30.8,19.8,24.26,61.25,1,Não ciclo
51,16/11/2006,12.4,25.6,20.1,22.3,85.0,1,Não ciclo
52,05/12/2006,0.0,30.4,20.8,25.22,63.0,1,Não ciclo
53,11/01/2007,0.0,35.9,22.0,28.7,42.0,1,Não ciclo
54,29/01/2007,0.0,35.3,21.6,28.28,44.5,1,Não ciclo
55,01/02/2007,0.0,35.6,21.6,28.34,42.5,2,Não ciclo
56,14/02/2007,8.4,28.8,21.9,24.48,85.5,1,Não ciclo
57,23/02/2007,13.0,28.0,20.3,22.56,86.5,1,Não ciclo
58,26/02/2007,0.2,30.0,22.0,24.2,82.5,1,Não ciclo
59,28/02/2007,0.0,30.0,21.0,24.78,68.75,1,Não ciclo
60,20/03/2007,0.0,31.4,21.1,25.92,66.5,2,Não ciclo
61,21/03/2007,0.0,31.0,22.4,25.82,68.75,1,Não ciclo
62,23/03/2007,0.0,30.6,21.2,25.38,66.0,1,Não ciclo
63,26/03/2007,5.9,30.6,20.8,24.58,73.5,2,Não ciclo
64,29/03/2007,0.0,29.8,19.8,24.22,64.5,1,Não ciclo
65,09/04/2007,0.0,33.8,19.8,26.44,55.25,2,Não ciclo
66,11/04/2007,0.0,27.0,22.2,24.14,80.0,1,Não ciclo
67,12/04/2007,2.0,30.8,21.0,25.14,69.25,1,Não ciclo
68,16/04/2007,0.2,30.4,21.0,25.02,67.75,1,Não ciclo
69,18/04/2007,0.0,29.6,21.1,24.76,67.25,1,Não ciclo
70,26/04/2007,0.0,30.2,20.5,25.1,62.0,1,Não ciclo
71,03/05/2007,0.0,28.6,21.0,24.26,70.75,1,Não ciclo
72,04/05/2007,0.0,25.3,20.9,22.94,71.75,1,Não ciclo
73,14/05/2007,0.0,24.9,18.8,21.46,81.0,1,Não ciclo
74,25/05/2007,0.0,31.6,19.1,24.76,64.25,2,Não ciclo
75,21/06/2007,6.4,25.2,18.8,20.82,83.75,1,Não ciclo
76,19/07/2007,0.0,31.0,17.7,22.72,73.0,1,Não ciclo
77,20/07/2007,0.0,29.0,18.0,22.2,67.5,2,Não ciclo
78,29/08/2007,0.0,29.5,17.8,22.86,64.75,1,Não ciclo
79,13/09/2007,0.0,26.9,16.0,21.4,71.5,1,Não ciclo
80,17/10/2007,0.0,33.0,18.8,25.38,50.5,4,Não ciclo
81,22/10/2007,0.0,31.6,21.0,25.3,60.0,1,Não ciclo
