,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,03/01/2001,0.0,31.8,20.5,25.3,67.25,1,Não ciclo
1,15/01/2001,0.0,31.1,20.9,24.76,69.5,1,Não ciclo
2,22/01/2001,0.0,32.8,21.6,25.76,68.25,1,Não ciclo
3,06/02/2001,0.0,35.7,20.6,27.02,56.5,1,Não ciclo
4,08/02/2001,0.0,35.3,23.0,26.82,65.0,1,Não ciclo
5,09/02/2001,0.0,35.3,21.5,26.48,59.25,1,Não ciclo
6,13/02/2001,0.0,32.7,22.0,26.22,66.5,1,Não ciclo
7,16/02/2001,0.0,33.9,22.3,26.44,57.5,1,Não ciclo
8,19/02/2001,0.0,28.9,22.1,24.18,81.25,2,Não ciclo
9,23/02/2001,0.0,34.7,21.0,26.34,62.75,1,Não ciclo
10,01/03/2001,11.6,33.5,21.7,26.2,70.25,1,Não ciclo
11,02/03/2001,0.0,32.9,23.5,26.36,66.5,2,Não ciclo
12,05/03/2001,0.0,34.9,22.2,26.86,57.75,2,Não ciclo
13,06/03/2001,0.0,34.0,22.5,26.82,57.5,6,Não ciclo
14,07/03/2001,0.0,34.6,21.0,26.56,52.25,1,Não ciclo
15,08/03/2001,0.0,34.9,20.9,26.78,55.75,1,Não ciclo
16,09/03/2001,0.0,34.7,22.0,26.66,61.75,4,Não ciclo
17,11/03/2001,0.0,34.4,23.0,27.24,55.75,2,Não ciclo
18,12/03/2001,0.0,33.2,23.2,26.28,73.0,2,Não ciclo
19,13/03/2001,100.4,25.7,21.6,22.9,88.5,1,Não ciclo
20,14/03/2001,18.2,26.7,21.6,23.22,88.0,1,Não ciclo
21,15/03/2001,11.0,29.3,21.4,24.18,83.75,1,Não ciclo
22,19/03/2001,2.0,32.5,20.6,25.32,73.25,5,Não ciclo
23,20/03/2001,0.0,31.9,21.7,25.32,71.75,8,Não ciclo
24,21/03/2001,15.6,30.0,21.7,24.12,80.0,2,Não ciclo
25,22/03/2001,0.2,29.7,20.3,24.34,75.5,1,Não ciclo
26,23/03/2001,0.0,32.3,21.6,25.46,70.0,8,Ciclo
27,26/03/2001,0.0,32.5,20.9,25.48,66.75,8,Ciclo
28,27/03/2001,0.0,32.9,21.8,25.58,74.5,7,Ciclo
29,29/03/2001,0.0,33.1,21.2,25.78,69.25,7,Ciclo
30,30/03/2001,0.0,31.7,20.9,24.84,74.75,5,Ciclo
31,02/04/2001,2.0,31.5,21.1,24.84,78.75,3,Ciclo
32,03/04/2001,17.1,31.9,21.6,25.26,77.5,1,Ciclo
33,04/04/2001,0.2,29.6,22.0,24.4,76.5,1,Ciclo
34,05/04/2001,0.0,30.5,20.8,24.1,75.5,3,Não ciclo
35,06/04/2001,0.0,29.7,20.9,24.24,79.25,7,Não ciclo
36,07/04/2001,0.3,28.5,20.9,23.48,89.0,2,Não ciclo
37,09/04/2001,0.0,30.5,20.1,24.4,72.75,4,Não ciclo
38,10/04/2001,0.0,31.4,20.4,24.76,69.0,4,Não ciclo
39,11/04/2001,0.0,29.5,19.8,24.0,75.5,9,Não ciclo
40,16/04/2001,0.0,25.0,21.8,23.68,81.0,4,Não ciclo
41,17/04/2001,0.0,31.7,21.0,24.52,73.0,5,Não ciclo
42,18/04/2001,0.0,31.8,20.5,24.82,73.5,2,Não ciclo
43,19/04/2001,0.0,31.7,21.0,24.94,77.5,1,Não ciclo
44,20/04/2001,0.0,32.9,21.5,25.76,70.5,4,Não ciclo
45,22/04/2001,0.0,33.0,22.5,25.9,69.5,4,Não ciclo
46,23/04/2001,0.0,31.5,21.1,24.68,65.25,2,Não ciclo
47,24/04/2001,0.2,30.9,20.3,23.92,75.5,4,Não ciclo
48,02/05/2001,0.2,28.9,20.6,23.94,84.25,1,Não ciclo
49,03/05/2001,6.1,30.9,21.5,24.84,69.5,1,Não ciclo
50,07/05/2001,0.0,34.9,21.0,26.26,66.0,4,Não ciclo
51,08/05/2001,0.0,33.7,22.3,27.04,70.5,1,Não ciclo
52,09/05/2001,0.0,31.9,23.5,25.96,80.25,3,Não ciclo
53,12/05/2001,0.0,35.0,20.5,25.94,67.25,1,Não ciclo
54,15/05/2001,0.0,32.6,21.7,25.68,70.75,1,Não ciclo
55,16/05/2001,0.0,31.5,21.5,25.08,72.75,1,Não ciclo
56,17/05/2001,0.0,33.5,21.8,25.82,66.75,1,Não ciclo
57,21/05/2001,0.0,27.8,19.9,22.98,73.25,2,Não ciclo
58,24/05/2001,0.0,31.3,18.5,23.96,63.5,4,Não ciclo
59,25/05/2001,0.0,31.3,19.8,24.22,74.0,5,Não ciclo
60,26/05/2001,0.0,32.0,20.8,25.2,71.75,1,Não ciclo
61,28/05/2001,0.0,33.3,21.6,25.86,69.25,1,Não ciclo
62,29/05/2001,5.2,33.1,22.3,25.82,72.25,2,Não ciclo
63,30/05/2001,0.0,32.2,21.6,25.4,72.0,1,Não ciclo
64,31/05/2001,0.0,31.0,22.1,24.52,79.25,2,Não ciclo
65,01/06/2001,0.7,30.2,21.1,24.14,75.5,2,Não ciclo
66,04/06/2001,3.1,28.4,20.7,22.7,82.5,1,Não ciclo
67,06/06/2001,0.0,28.0,18.5,22.76,72.75,4,Não ciclo
68,07/06/2001,0.5,28.4,20.0,22.8,78.5,1,Não ciclo
69,08/06/2001,0.0,29.8,18.8,23.48,64.0,1,Não ciclo
70,15/06/2001,3.3,27.7,18.6,21.9,82.5,2,Não ciclo
71,17/06/2001,43.7,25.8,20.0,21.6,85.0,1,Não ciclo
72,18/06/2001,2.8,28.0,18.5,21.98,81.25,2,Não ciclo
73,19/06/2001,0.0,28.0,17.5,21.82,78.0,1,Não ciclo
