,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes,final_label
0,05/01/2001,0.2,25.4,18.4,20.32,88.75,1,Não ciclo
1,09/01/2001,0.0,26.2,15.4,21.12,76.5,2,Não ciclo
2,11/01/2001,0.1,25.8,17.2,20.9,79.0,2,Não ciclo
3,15/01/2001,0.9,22.2,17.5,19.16,88.75,1,Não ciclo
4,25/01/2001,0.0,27.0,19.0,22.06,71.25,1,Não ciclo
5,26/01/2001,0.0,27.0,19.6,21.68,76.75,1,Não ciclo
6,31/01/2001,0.0,29.0,21.3,23.42,62.75,1,Não ciclo
7,02/02/2001,0.0,30.9,16.9,23.92,55.5,1,Não ciclo
8,05/02/2001,0.0,31.5,22.2,25.5,60.0,1,Não ciclo
9,12/02/2001,0.0,28.9,18.8,23.02,70.75,1,Não ciclo
10,14/02/2001,0.0,29.9,18.3,22.82,70.75,2,Não ciclo
11,15/02/2001,2.7,30.1,15.0,23.0,60.25,2,Não ciclo
12,19/02/2001,0.0,29.4,20.2,23.1,70.0,1,Não ciclo
13,20/02/2001,0.0,29.1,19.2,23.06,70.0,2,Não ciclo
14,21/02/2001,0.0,29.3,16.6,22.8,67.5,2,Não ciclo
15,22/02/2001,0.0,29.8,17.4,23.2,66.25,2,Não ciclo
16,23/02/2001,0.0,29.9,19.5,24.1,61.25,1,Não ciclo
17,28/02/2001,0.6,25.5,18.1,20.8,87.25,3,Não ciclo
18,01/03/2001,2.0,25.3,19.1,20.92,85.25,1,Não ciclo
19,11/03/2001,48.6,28.4,19.8,22.48,81.0,1,Não ciclo
20,13/03/2001,16.2,25.4,18.0,21.8,79.25,1,Não ciclo
21,14/03/2001,2.0,24.8,17.6,20.38,87.0,1,Não ciclo
22,16/03/2001,1.4,26.0,16.4,20.9,75.25,1,Não ciclo
23,19/03/2001,0.0,28.8,19.2,22.9,62.5,1,Não ciclo
24,20/03/2001,0.0,28.2,18.0,22.02,73.5,2,Não ciclo
25,21/03/2001,0.0,26.8,19.8,21.86,77.5,4,Não ciclo
26,22/03/2001,0.0,26.2,16.4,20.8,80.25,4,Não ciclo
27,27/03/2001,0.0,29.8,17.0,22.82,74.5,2,Não ciclo
28,28/03/2001,0.0,29.4,20.8,23.42,71.75,1,Não ciclo
29,29/03/2001,0.4,28.2,18.2,22.5,65.25,3,Não ciclo
30,30/03/2001,0.0,27.1,17.0,21.4,80.5,2,Não ciclo
31,02/04/2001,0.1,26.0,20.0,21.72,82.75,6,Não ciclo
32,03/04/2001,0.0,28.0,19.6,22.36,76.5,2,Não ciclo
33,04/04/2001,0.0,27.2,17.1,21.68,73.5,4,Não ciclo
34,05/04/2001,0.0,24.4,19.0,20.92,88.5,10,Não ciclo
35,06/04/2001,0.8,26.3,16.8,20.98,82.25,7,Não ciclo
36,09/04/2001,0.0,27.6,20.0,22.16,72.25,5,Não ciclo
37,10/04/2001,0.0,28.0,15.4,21.52,61.25,2,Não ciclo
38,11/04/2001,0.0,29.2,16.5,21.92,56.25,1,Não ciclo
39,16/04/2001,0.0,27.2,18.8,21.16,81.25,6,Não ciclo
40,17/04/2001,0.0,26.9,17.0,21.48,75.75,2,Não ciclo
41,18/04/2001,0.0,26.0,19.2,21.2,76.75,6,Não ciclo
